,EPIC,Unnamed: 0,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,72,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_i,J_K,r_z,g_z,J-K,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y
707,212085656,74.0,0.627904,21.2171,19.8405,18.0146,17.1751,16.7467,15.449000000000002,14.611,14.49,130.58407809,21.74543581,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,3.202499999999997,0.9590000000000014,2.6653999999999978,4.041999999999998,0.9590000000000014,21.53159688751609,21.2171,19.888800860637186,19.8405,18.02799105468406,18.0146,17.020680265360937,17.1751,17.065298735481402,16.7467
708,212086091,75.0,0.592557,19.5852,18.3268,16.5699,15.7796,15.3533,13.975,13.434,13.069,130.76189763,21.75375056,M4.5,3100.0,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.44003745095898,0.0486,0.15499999999999936,,1.4956048424711975e+29,6.372813724560243e+27,5.801733681715048e+28,2.274461611803033e+27,3.0153,0.9059999999999988,2.5471999999999984,3.8056,0.9059999999999988,19.886903488329686,19.5852,18.368510224554203,18.3268,16.580161279527715,16.5699,15.645788555027766,15.7796,15.620864887934395,15.3533
709,212086391,74.0,0.7463310000000001,19.8832,18.6511,16.9862,16.3186,15.9298,14.414,13.856,13.532,129.69929822,21.75919248,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.8969999999999985,0.8820000000000014,2.3325,3.5645999999999987,0.8820000000000014,20.17672010984959,19.8832,18.68953944948334,18.6511,16.99465064325834,16.9862,16.1961782296503,16.3186,16.169411175343928,15.9298
710,212086697,71.0,0.547078,17.8045,16.6155,15.3223,14.734000000000002,14.4519,13.232,12.609000000000002,12.339,131.16856219,21.76486251,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999955,,8.912155551898872e+29,2.4228762028039462e+29,2.899752914200289e+29,8.089374008782233e+28,2.4822000000000006,0.8930000000000007,1.881499999999999,3.0704999999999987,0.8930000000000007,18.068431255943857,17.8045,16.647053101423385,16.6155,15.325332630868544,15.3223,14.642936439016594,14.734000000000002,14.615898571692654,14.4519
711,212088298,74.0,0.644278,18.2964,17.132,15.7342,15.1198,14.8126,13.597,12.958,12.719,131.04539144,21.79389825,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.562199999999999,0.8780000000000001,2.0122000000000018,3.1765999999999988,0.8780000000000001,18.56616851351918,18.2964,17.164393948634714,17.132,15.73817188059187,15.7342,15.023619538950351,15.1198,14.988764278626508,14.8126
712,212088355,59.0,0.45074,13.284,12.689,12.442,12.314,12.228,11.263,10.843,10.729,127.14550086,21.795065,K3,4830.0,3.684,-0.41,6.57,-0.58,0.98,1.15,0.376,0.7759999999999999,0.537,1.013,2.38,0.483,0.109,0.033,-0.071,-0.031,-0.008,0.78,,,4.76,4.16,6.16,,,0.7290000000000001,K3V,V  ,2.1,0.85,0.32,0.13,0.99,0.58,0.01,4.94,209.99999999915192,0.1458,0.14000000000000012,,1.9224915655288019e+31,1.459927281870955e+32,7.876361928480843e+30,4.706249514527933e+31,0.8420000000000005,0.5339999999999989,0.375,0.9700000000000006,0.5339999999999989,13.40388132302904,13.284,12.722291168419039,12.689,12.433546313419042,12.442,12.2813789724568,12.314,12.25567558266408,12.228
713,212089563,74.0,0.6649930000000001,20.325,19.0824,17.4528,16.6709,16.2776,15.005,14.372,14.08,133.61989540000002,21.81830105,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.8721999999999994,0.9250000000000008,2.4115,3.6541,0.9250000000000008,20.61679274162378,20.325,19.12023503610381,19.0824,17.460886807094965,17.4528,16.550715938427672,16.6709,16.511744377500605,16.2776
714,212092636,71.0,0.632613,18.4846,17.2476,15.9632,15.3808,15.1048,13.89,13.291,13.023,134.52147933,21.87949101,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999955,,8.912155551898872e+29,2.4228762028039462e+29,2.899752914200289e+29,8.089374008782233e+28,2.5214,0.8670000000000009,1.8667999999999976,3.1038,0.8670000000000009,18.751400411932032,18.4846,17.27953937139672,17.2476,15.9666869005566,15.9632,15.287279402870137,15.3808,15.274630090097395,15.1048
715,212094548,73.0,0.403378,20.8348,19.5585,17.637999999999995,16.7881,16.3653,15.053,14.511,14.246,130.28103154,21.91566344,M3.5,3250.0,3.512,-2.27,12.19,-2.07,1.6019999999999999,,1.4669999999999999,1.2,1.178,2.68,5.0,0.5579999999999999,0.26899999999999996,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.058200000000000016,0.375,,2.957123237734915e+29,2.53706284034917e+28,1.2469591636501151e+29,2.190676153566424e+28,3.1968000000000067,0.8070000000000004,2.770399999999998,4.046700000000001,0.8070000000000004,21.14890960155796,20.8348,19.606572858164675,19.5585,17.651290790718907,17.637999999999995,16.634357285206836,16.7881,16.682214249296774,16.3653
716,212095866,74.0,0.527161,20.6444,19.4023,17.6703,16.8727,16.4732,15.278,14.585,14.357,129.73386339,21.94080586,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.9741,0.9209999999999976,2.529600000000002,3.7717000000000014,0.9209999999999976,20.943263486024218,20.6444,19.4427965805742,19.4023,17.679916418816696,17.6703,16.74299233124261,16.8727,16.73066957523407,16.4732
717,212100611,74.0,0.488512,18.1352,16.952,15.4295,14.7069,14.3657,13.112,12.519,12.247,129.34334525,22.03339383,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.7057,0.8650000000000002,2.2451000000000025,3.428300000000002,0.8650000000000002,18.415271442477277,18.1352,16.9864514734976,16.952,15.435279658722033,15.4295,14.600480922688481,14.7069,14.56643125670185,14.3657
718,212103507,73.0,0.71075,18.7382,17.5244,16.1181,15.4789,15.1684,13.941,13.332,13.056,129.83864584,22.08897089,M3.5,3250.0,3.512,-2.27,12.19,-2.07,1.6019999999999999,,1.4669999999999999,1.2,1.178,2.68,5.0,0.5579999999999999,0.26899999999999996,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.058200000000000016,0.375,,2.957123237734915e+29,2.53706284034917e+28,1.2469591636501151e+29,2.190676153566424e+28,2.6201000000000008,0.8849999999999998,2.0455000000000005,3.2593,0.8849999999999998,19.01215024090534,18.7382,17.557535435542995,17.5244,16.122781886844585,16.1181,15.37875833359165,15.4789,15.354035830963852,15.1684
719,212103723,75.0,0.432246,20.7604,19.4564,17.7926,17.0471,16.6536,15.228,14.74,14.4,128.34129669,22.09284738,M4.5,3100.0,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.44003745095898,0.0486,0.15499999999999936,,1.4956048424711975e+29,6.372813724560243e+27,5.801733681715048e+28,2.274461611803033e+27,2.9678000000000004,0.8279999999999994,2.4092999999999978,3.7133,0.8279999999999994,21.05882831059357,20.7604,19.496718139548737,19.4564,17.802119168626376,17.7926,16.918006743546407,17.0471,16.909560301797285,16.6536
