,Unnamed: 0,EPIC,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_z,g_i,J_K,r_z,J-K,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y,thresh20p
615,615,211118985,0.7177819999999999,19.1128,17.838,16.1734,15.3815,14.9982,13.719,13.045,12.802,56.8995218,24.87398384,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631e+29,1.30116155957454e+28,7.16779018986642e+28,1.12351320399495e+28,3.7313,2.9394,0.917,2.4565,0.917,19.409263456004226,19.1128,17.877536836074817,17.838,16.18248519688549,16.1734,15.255133977785844,15.3815,15.247468141948561,14.9982,842.933422731056
616,616,211119314,0.79243,18.8155,17.546,15.8377,14.9846,14.5739,13.183,12.621,12.309,56.74788984,24.87935517,M5,3030,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076999,0.0398,0.25,8.021215831913963e+28,2.01526064735913e+27,2.55112169392775e+28,1.16007728127667e+27,3.8309,2.9778,0.874000000000001,2.5614,0.874000000000001,19.114618951028284,18.8155,17.586602254392947,17.546,15.84737370100459,15.8377,14.854529877704127,14.9846,14.832260196724615,14.5739,951.7881482472206
617,617,211119999,0.755216,14.9901,14.042,13.208,12.875,12.67,11.470999999999998,10.78,10.602,56.90877784,24.89167416,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.3762615801565,0.0868,0.125,1.16202515496483e+30,4.7242320799195404e+29,3.85714455820461e+29,1.3597432953833699e+29,2.1151,1.7821,0.8689999999999979,1.167,0.8689999999999979,15.19916997399785,14.9901,14.072733050241725,14.042,13.204614966087025,13.208,12.815151660667114,12.875,12.761959794968117,12.67,141.04813533273455
618,618,211120561,0.577906,15.0838,13.9409,13.317,12.9041,12.7491,11.6,10.888,10.707,58.24650431,24.90139538,M0.5,3800,3.58,-1.38,9.2,-1.27,1.4409999999999998,,0.902,1.1840000000000002,0.924,1.886,3.84,0.62,0.208,0.13,,,,0.56,,,6.19,5.36,7.9,0.37,,0.535,M0.5V,,,,,,,,,,85.4400374510102,0.107,0.08,2.74418616724048e+30,2.65663092832871e+30,9.064164601647388e+29,4.89369501852531e+29,2.1797,1.7668,0.8929999999999989,1.0368,0.8929999999999989,15.291579385769587,15.0838,13.971697588070304,13.9409,13.313505778392544,13.317,12.844739479696276,12.9041,12.83996289669084,12.7491,103.54278900124685
619,619,211120842,0.794401,9.828,9.454,9.295,9.218,9.192,8.286,8.04,7.939,56.42558573,24.90580182,K1,5170,3.713,-0.26,5.89,-0.36,0.847,0.976,0.301,0.491,0.457,0.879,2.021,0.402,0.094,0.03,-0.064,-0.038,-0.013,0.85,,,4.47,3.97,5.65,,,0.8140000000000001,K1V,,,,,,,,,,120.13880860480499,0.1628,0.1,3.18962810140597e+31,4.72423207991954e+32,9.77921386347374e+30,1.0877946363067e+32,0.609999999999999,0.5329999999999999,0.34700000000000003,0.236000000000001,0.34700000000000003,9.913304280079707,9.828,9.48484992577846,9.454,9.285332324533462,9.295,9.1973472738907,9.218,9.18830426805717,9.192,22.563146443310377
620,620,211121141,0.8117989999999999,14.0228,13.102,12.663,12.392,12.2338,11.069,10.445,10.286,56.20918067,24.91092738,K8,4000,3.602,-1.03,8.47,-1.1,1.356,1.5619999999999998,0.7509999999999999,1.216,0.843,1.632,3.487,0.623,0.17600000000000002,0.081,,,,0.63,,,5.78,4.98,7.44,,,0.5870000000000001,K8V,,,,,,,,,,65.0640709836545,0.1174,0.13,4.38882416325717e+30,7.6618072894805e+30,1.27393506398322e+30,2.29345522251962e+30,1.6308,1.3598,0.783000000000001,0.709999999999999,0.783000000000001,14.19445588618144,14.0228,13.134732755165011,13.102,12.656977143927453,12.663,12.34428106796839,12.392,12.298272033957913,12.2338,37.79665531406154
621,621,211121361,0.995952,17.7433,16.4971,14.9437,14.2759,13.9047,12.496,11.866,11.623,57.08464047,24.9150856,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431299,0.0582,0.375,2.95712323773491e+29,2.53706284034917e+28,1.24695916365012e+29,2.19067615356642e+28,3.4674,2.7996,0.873000000000001,2.2212,0.873000000000001,18.030009641113807,17.7433,16.533319067479965,16.4971,14.950752182433884,14.9437,14.16198138018617,14.2759,14.123587238949478,13.9047,418.56134759429614
622,622,211121734,0.733006,9.166,8.951,8.899,8.897,8.904,8.079,7.933,7.837999999999999,56.33701362,24.92188683,F9,6040,3.781,-0.08,4.15,0.26,0.552,0.5870000000000001,0.175,0.014,0.312,0.62,1.34,0.237,0.063,0.027000000000000003,-0.041,-0.044,-0.014,1.14,9.7,0.378,3.11,2.81,4.07,,,1.23,F9V,,,,,,,,,,125.03332888871799,0.246,0.075,1.51039472097438e+32,1.79610294254284e+34,4.28752534791531e+31,3.10175989573641e+33,0.269,0.267000000000001,0.24100000000000105,0.054000000000000006,0.24100000000000105,9.219029763028288,9.166,8.97715473194954,8.951,8.888331989074539,8.899,8.889908866829302,8.897,8.863583343518831,8.904,8.526965955783062
623,623,211122237,0.7766569999999999,14.584,13.458,12.937,12.602,12.3665,11.189,10.514,10.338,56.66783808,24.93087852,M0,3870,3.588,-1.16,8.91,-1.2,1.408,1.6230000000000002,0.8320000000000001,1.204,0.889,1.766,3.68,0.626,0.193,0.122,,,,0.6,,,6.04,5.22,7.75,0.33,,0.5589999999999999,M0V,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72,69.9999999973643,0.1118,0.08,3.32783719318324e+30,3.75259092847031e+30,1.00876427607227e+30,6.912527945600349e+29,1.982,1.6469999999999998,0.8510000000000011,0.856,0.8510000000000011,14.781513739962088,14.584,13.48934942490834,13.458,12.932688924933345,12.937,12.546292048775301,12.602,12.449150119631431,12.3665,104.06452110953504
624,624,211123901,0.828313,10.645,10.272,10.114,10.036,10.01,9.105,8.851,8.763,56.66170364,24.95945572,G9,5340,3.728,-0.21,5.55,-0.25,0.777,0.894,0.267,0.358,0.423,0.82,1.861,0.365,0.087,0.029,-0.06,-0.038,-0.018000000000000002,0.9,,,4.14,3.69,5.34,,,0.8759999999999999,G9V,,,,,,,,,,108.166538262309,0.1752,0.095,4.47370246437713e+31,9.6456438969968e+32,1.29858019005806e+31,2.10994200570761e+32,0.609,0.531000000000001,0.342,0.236000000000001,0.342,10.730070576952528,10.645,10.30282449348378,10.272,10.10432474408878,10.114,10.0154365296301,10.036,10.006065717113307,10.01,9.233448819546892
