angDist,col1,EPIC,Name,RAJ2000,DEJ2000,OName,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,f_EPIC,t,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.714992,772,2.11089323E8,034425.70+242340.8,56.10711,24.39467,HD23246=HII344,8.17,7.47,0.59,,,,,,,best,,,,1.0,,,,137270561073204239, 56.107324640, 24.394705130,0.031,0.031,90,201482240,24,54353.158067130,4,8,8.1560,,,,16420,8.1630,,,,65572,8.2340,,,,16420,8.2930,,,,114724,8.3050,,,,16420
0.740842,772,2.11089323E8,034425.70+242340.8,56.10711,24.39467,HD23246=HII344,8.17,7.47,0.59,,,,,,,best,,,,1.0,,,,137270561072423878, 56.107252930, 24.394510610,0.001,0.001,90,1343750144,160,56130.813587960,4,14,,,,,64,8.5040,0.0102,11.8531,0.0332,88,7.9547,0.0009,11.9478,0.0135,114808,7.7613,0.0010,12.6443,0.0010,88,7.9355,0.0437,10.1336,0.1169,114808
1.856760,772,2.11089323E8,034425.70+242340.8,56.10711,24.39467,HD23246=HII344,8.17,7.47,0.59,,,,,,,best,,,,1.0,,,,137270561076033941, 56.107617770, 24.394441600,0.001,0.001,90,1352138752,161,56096.034571760,2,6,7.0962,0.0736,13.6862,0.0162,114736,13.2731,0.0010,9.2564,0.0010,16777240,7.2585,0.0010,12.1150,0.0010,24,,,,,0,12.1386,0.0015,,,24
0.603563,773,2.11038095E8,034435.89+233442.0,56.14955,23.57836,HHJ5,20.71,14.02,6.58,,,,,,,best,,,,1.0,,,,136290561496294394, 56.149642950, 23.578215600,0.003,0.003,0,503636096,60,56149.542743060,10,81,21.4785,0.0953,21.6523,0.0997,115000,20.0051,0.0150,20.1299,0.0273,115000,17.9369,0.0039,18.0380,0.0072,115000,16.9618,0.0040,17.0467,0.0097,115000,16.4624,0.0056,16.5417,0.0147,115000
0.738861,774,2.10804032E8,034447.28+195541.7,56.19704,19.92827,DH354,,13.93,5.59,,,,,,,ok,,,,1.0,,,,131910561970884328, 56.197161240, 19.928099320,0.012,0.011,0,503635968,60,56045.596215280,5,69,20.3676,0.0128,20.5648,0.0436,115000,19.0240,0.0065,19.1623,0.0109,115000,17.3172,0.0050,17.3980,0.0064,115000,16.5336,0.0067,16.5938,0.0047,115000,16.1667,0.0057,16.2180,0.0075,115000
0.835590,775,2.11018711E8,034451.23+231608.2,56.213480000000004,23.26896,HII470,8.95,7.98,0.86,,,,,,,best,,,,1.0,,,,135920562137513249, 56.213714620, 23.268873870,0.102,0.102,90,268959744,32,55992.170231480,0,10,9.6961,0.0173,12.5270,0.0166,24,9.5208,0.0010,12.2619,0.0010,24,9.4943,0.0010,12.3620,0.0010,24,8.9150,0.0908,12.5169,0.2534,24,8.9415,0.0204,11.1138,0.1211,24
0.861812,775,2.11018711E8,034451.23+231608.2,56.213480000000004,23.26896,HII470,8.95,7.98,0.86,,,,,,,best,,,,1.0,,,,135920562135442961, 56.213574350, 23.268736850,0.001,0.001,90,1343750144,160,56197.600000000,4,15,9.8272,0.0144,12.6257,0.0736,88,8.5687,0.0010,13.3559,0.0010,114808,8.9262,0.0263,12.9096,0.0239,114808,9.2977,0.0104,12.0714,0.1355,114808,8.7101,0.0051,11.2216,0.0298,114808
1.361706,775,2.11018711E8,034451.23+231608.2,56.213480000000004,23.26896,HII470,8.95,7.98,0.86,,,,,,,best,,,,1.0,,,,135920562133012755, 56.213196330, 23.268685840,0.001,0.001,90,1343750144,160,56130.743969910,1,7,8.8955,0.0569,12.0383,0.0219,114736,9.0571,0.4231,12.1236,0.1436,24,,,,,0,8.6968,0.0010,13.0308,0.0011,24,11.7911,0.0012,10.9837,0.0010,24
1.423091,775,2.11018711E8,034451.23+231608.2,56.213480000000004,23.26896,HII470,8.95,7.98,0.86,,,,,,,best,,,,1.0,,,,135920562133123753, 56.213302730, 23.269320200,0.011,0.011,90,277348352,33,56031.201053240,0,3,,,,,0,,,,,0,14.0977,0.0303,12.8914,0.0010,16777240,,,,,0,14.1112,0.0033,,,16777240
1.665077,775,2.11018711E8,034451.23+231608.2,56.213480000000004,23.26896,HII470,8.95,7.98,0.86,,,,,,,best,,,,1.0,,,,135920562131333235, 56.212991990, 23.268846250,0.042,0.042,90,276901888,33,56922.641435190,0,4,,,,,0,13.7176,0.0598,11.7960,0.0659,16777240,,,,,0,,,,,0,12.7586,0.0000,10.6916,0.0000,16777240
1.954843,775,2.11018711E8,034451.23+231608.2,56.213480000000004,23.26896,HII470,8.95,7.98,0.86,,,,,,,best,,,,1.0,,,,135920562139853741, 56.213955190, 23.269282950,0.070,0.070,90,268959744,32,55941.282719910,0,4,,,,,0,12.8538,0.0011,,,24,9.0826,0.1719,13.1079,0.1207,24,,,,,0,,,,,0
0.450795,776,2.11012313E8,034527.72+231013.2,56.36552,23.17035,SK520,16.59,11.69,4.79,,,,,,,ok,,,,1.0,,,,135800563655684889, 56.365539050, 23.170226010,0.006,0.005,90,503635968,60,56132.912835650,5,78,17.2339,0.0057,17.3057,0.0049,115000,15.9514,0.0052,16.0213,0.0042,115000,14.7445,0.0025,14.7906,0.0016,115000,14.1789,0.0027,14.2333,0.0033,115000,13.8932,0.0015,13.9221,0.0043,115000
0.767449,777,2.11047412E8,034537.75+234350.3,56.407309999999995,23.73065,SHF10,,13.81,7.42,,,,,,,best,,,,1.0,,,,136470564073427175, 56.407382150, 23.730447310,0.012,0.003,0,503635968,60,56174.885057870,5,63,21.8734,0.3279,22.2100,0.1286,115000,20.5141,0.0279,20.6633,0.0835,115000,18.0387,0.0072,18.1355,0.0088,115000,16.8935,0.0050,16.9675,0.0049,115000,16.2667,0.0030,16.3677,0.0097,115000
0.761604,778,2.11085527E8,034537.77+242008.3,56.40741,24.335639999999998,HD23387=HII717,7.18,6.61,0.46,,,,,,,best,,,,1.0,,,,137200564074402882, 56.407547770, 24.335469710,0.001,0.001,90,1343750144,160,55987.012326390,4,4,7.1536,0.0010,10.3201,0.0010,114800,6.4711,0.0010,10.3145,0.0010,114808,,,,,64,7.5539,0.0924,10.5494,0.0466,114808,,,,,114784
0.834203,778,2.11085527E8,034537.77+242008.3,56.40741,24.335639999999998,HD23387=HII717,7.18,6.61,0.46,,,,,,,best,,,,1.0,,,,137200564076833220, 56.407656850, 24.335695750,0.137,0.137,90,268959744,32,56863.700462960,0,6,5.9063,0.0010,10.9355,0.0010,24,7.2440,0.0148,12.8003,0.0275,24,,,,,0,7.5849,0.0010,11.1512,0.0010,24,,,,,0
1.788669,778,2.11085527E8,034537.77+242008.3,56.40741,24.335639999999998,HD23387=HII717,7.18,6.61,0.46,,,,,,,best,,,,1.0,,,,137200564068403288, 56.406866810, 24.335596290,0.069,0.069,90,277348352,33,55439.456932870,0,3,6.9127,,,,24,,,,,0,,,,,0,,,,,0,11.6592,0.0010,,,16777240
