K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer
210754915,KTWO210754915-C04,4,STAR,6,03 44 28.086,+19 11 06.01,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4020_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4104_GO4106,16.200,1.300,-41.800,0.800,,,,,12.668,0.041,11.797,0.030,12.175,0.030,11.499,0.040,11.202,0.060,,,10.002,0.018,9.537,0.019,9.418,0.020,11.494,gri,,,,546-007651,03442808+1911061,,2015-09-03 18:04:44,1.000,0.000,0.984,328.944,325.601,310.882,19,2,66,,,19
210762863,KTWO210762863-C04,4,STAR,6,03 44 11.908,+19 18 19.31,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4020_GO4024_GO4032_GO4048_GO4054_GO4060,22.200,4.300,-36.100,5.100,,,,,16.757,0.200,15.306,0.050,16.047,0.090,14.618,0.060,13.737,0.040,,,11.954,0.022,11.253,0.017,11.048,0.016,14.430,gri,,,,547-007430,03441190+1918194,,2015-09-03 20:22:11,1.000,0.000,0.953,489.657,435.559,416.197,19,2,66,,,19
210769047,KTWO210769047-C04,4,STAR,6,03 56 23.921,+19 23 53.79,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4048,,,,,,,,,,,,,,,,,,,,,13.764,0.027,13.104,0.026,12.891,0.026,16.063,JHK,,,,,03562392+1923537,,2015-09-03 19:06:37,0.999,8.000e-4,0.577,1315.669,1112.249,847.900,13,2,42,,,19
210770541,KTWO210770541-C04,4,STAR,6,03 53 24.072,+19 25 16.96,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4020_GO4032_GO4097,17.000,3.600,-46.900,3.900,,,,,,,,,,,,,,,,,12.169,0.021,11.559,0.019,11.290,0.020,14.486,JHK,,,,548-007856,03532407+1925169,,2015-09-03 19:07:33,1.000,0.000,0.798,288.257,242.818,200.727,13,1,41,,,19
210776021,KTWO210776021-C04,4,STAR,6,03 55 13.616,+19 30 16.85,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048_GO4097,9.100,17.400,-48.000,17.400,,,,,,,,,,,,,,,,,12.615,0.024,11.936,0.027,11.721,0.021,14.977,JHK,,,,548-007952,03551362+1930170,,2015-09-03 20:01:50,1.000,0.000,0.753,1281.181,1114.344,1076.302,13,2,42,,,19
210779549,KTWO210779549-C04,4,STAR,6,03 45 01.656,+19 33 33.72,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4024_GO4032_GO4033_GO4048_GO4086_GO4104,14.300,1.200,-46.100,1.200,,,,,9.898,0.031,9.382,0.026,9.643,0.030,9.772,0.040,9.203,0.060,,,8.404,0.021,8.225,0.031,8.152,0.021,9.740,gri,,1256-516-1,,548-007463,03450166+1933337,,2015-09-03 19:22:18,1.000,0.000,1.000,74.388,71.851,68.508,19,2,66,,,19
210784223,KTWO210784223-C04,4,STAR,6,03 55 15.737,+19 37 46.53,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4020_GO4032_GO4033,20.900,1.800,-53.000,2.200,,,,,,,,,,,,,,,,,10.766,0.024,10.154,0.025,9.976,0.019,12.789,JHK,,,,549-008008,03551573+1937466,,2015-09-03 20:09:45,1.000,0.000,0.943,605.253,472.455,397.363,13,2,42,,,19
210784603,KTWO210784603-C04,4,STAR,6,03 31 03.583,+19 38 05.14,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4032_GO4060,17.600,5.100,-48.800,6.300,,,,,15.449,0.020,14.113,0.036,14.781,0.038,13.603,0.043,12.764,0.062,,,10.995,0.022,10.349,0.021,10.130,0.018,13.369,gri,,,,549-006885,03310357+1938051,,2015-09-03 17:50:26,1.000,0.000,0.940,201.988,194.141,175.756,24,1,81,,,19
210791550,KTWO210791550-C04,4,STAR,6,03 59 16.642,+19 44 27.56,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.610,0.028,12.959,0.027,12.695,0.023,16.029,JHK,,,,,03591663+1944275,,2015-09-03 19:06:59,1.000,0.000,0.692,1398.638,1175.350,980.776,13,2,42,,,19
