,EPIC,Name,RAJ2000,DEJ2000,OName,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,f_EPIC,t
760,210899735,033202.35+212310.8,53.009809999999995,21.38635,                       ,     ,12.11,4.89,,,,,,,best,,,,1,, , 
761,210904850,033211.53+212756.1,53.048069999999996,21.46559,UGCSJ033211.55+212755.7,     ,13.9,7.11,,,,,,,best,,,,1,, , 
762,210971138,033310.49+223119.3,53.293730000000004,22.52204,DH027                  ,15.55,11.25,4.19,,,,,,,best,,,,1,, , 
763,211029507,033518.74+232621.0,53.828109999999995,23.43919,DH045                  ,     ,13.98,6.22,,,,,,,best,,,,1,, , 
764,211018285,033652.52+231545.2,54.21886,23.26258,DH065                  ,13.66,10.62,2.93,,,,,,,ok  ,,,,1,, ,t
765,211071563,033935.45+240706.3,54.89773,24.11842,HHJ407                 ,15.66,11.18,4.37,,,,,,,best,,,,1,, ,t
766,211073598,034138.85+221640.5,55.41189,22.277929999999998,HHJ176                 ,     ,12.6,5.34,,,,,,,best,,,,1,, , 
767,211059010,034142.40+235457.2,55.42669,23.91589,HHJ6                   ,     ,13.73,7.18,,,,,,,best,,,,1,, , 
768,210817106,034318.73+200744.8,55.82808000000001,20.12912,UGCSJ034318.74+200744.3,     ,12.49,4.96,,,,,,,best,,,,1,, , 
769,211075777,034321.10+241109.2,55.83795,24.18589,HHJ65                  ,     ,13.35,5.64,,,,,,,best,,,,1,, , 
770,211088007,034343.25+242228.3,55.930209999999995,24.37455,HII158                 ,     ,7.55,0.57,,,,,,,best,,,,1,, , 
771,210967607,034425.49+222750.0,56.10624,22.463910000000002,DH335                  ,     ,14.24,6.6,,,,,,,best,,,,1,, , 
772,211089323,034425.70+242340.8,56.10711,24.39467,HD23246=HII344         ,8.17,7.47,0.59,,,,,,,best,,,,1,, , 
773,211038095,034435.89+233442.0,56.14955,23.57836,HHJ5                   ,20.71,14.02,6.58,,,,,,,best,,,,1,, , 
774,210804032,034447.28+195541.7,56.19704,19.92827,DH354                  ,     ,13.93,5.59,,,,,,,ok  ,,,,1,, , 
775,211018711,034451.23+231608.2,56.213480000000004,23.26896,HII470                 ,8.95,7.98,0.86,,,,,,,best,,,,1,, , 
776,211012313,034527.72+231013.2,56.36552,23.17035,SK520                  ,16.59,11.69,4.79,,,,,,,ok  ,,,,1,, , 
777,211047412,034537.75+234350.3,56.407309999999995,23.73065,SHF10                  ,     ,13.81,7.42,,,,,,,best,,,,1,, , 
778,211085527,034537.77+242008.3,56.40741,24.335639999999998,HD23387=HII717         ,7.18,6.61,0.46,,,,,,,best,,,,1,, , 
779,211078009,034544.40+241313.1,56.43504,24.22033,HII761                 ,10.56,8.75,1.7,,,,,,,best,,,,1,,a, 
780,211066835,034551.63+240220.0,56.465140000000005,24.0389,HD23409=HII804         ,7.85,7.32,0.42,,,,,,,best,,,,1,, , 
781,211067590,034557.69+240305.1,56.49041,24.05144,HHJ27                  ,     ,13.79,5.97,,,,,,,best,,,,1,, , 
782,211097879,034602.88+243140.3,56.51203,24.52787,22Tau=HII859           ,     ,6.43,-0.11,,,,,,,best,,,,1,, , 
783,211076042,034616.00+241123.4,56.566680000000005,24.18984,HD23479+ADS2755A=HII956,7.96,7.11,0.74,,,,,,,best,,,,1,, , 
784,211080301,034627.28+241518.1,56.61366999999999,24.255029999999998,HD23489=HII1028        ,7.35,7.08,0.16,,,,,,,best,,,,1,, , 
785,211094556,034632.02+242834.4,56.633430000000004,24.476229999999997,BPL106                 ,     ,14.24,6.67,,,,,,,best,,,,1,,a, 
786,211040918,034634.20+233726.4,56.64252,23.624010000000002,HII1084                ,     ,7.06,0.15,,,,,,,best,,,,1,, , 
787,211090558,034642.97+242450.7,56.679069999999996,24.4141,BPL108                 ,     ,14.42,9.21,,,,,,,best,,,,1,, , 
788,211056608,034700.35+235248.3,56.75148000000001,23.8801,UGCSJ034700.35+235248.1,     ,13.1,6.24,,,,,,,best,,,,1,, , 
789,210837725,034705.34+202639.5,56.772259999999996,20.44432,s4798986               ,     ,10.61,4.62,,,,,,,ok  ,,,,1,, ,t
790,211080604,034709.41+241534.9,56.78921,24.2597,HHJ37                  ,19.71,13.56,6.04,,,,,,,best,,,,1,, , 
791,211078329,034711.78+241331.4,56.79909,24.22541,BPL130                 ,     ,13.88,7.18,,,,,,,best,,,,1,, , 
792,211078745,034711.85+241353.9,56.7994,24.23165,DH499                  ,     ,13.13,6.26,,,,,,,best,,,,1,, , 
793,211072836,034719.34+240820.8,56.830619999999996,24.139120000000002,HII1362                ,8.25,7.64,0.5,,,,,,,best,,,,1,, , 
794,211051770,034720.96+234812.0,56.837340000000005,23.80336,HII1380                ,6.99,6.89,-0.01,,,,,,,best,,,,1,, , 
795,211101694,034724.05+243518.4,56.85021999999999,24.58847,HII1384                ,7.66,7.0,0.55,,,,,,,best,,,,1,, , 
796,211082420,034729.45+241718.0,56.87274,24.288339999999998,HII1431                ,6.81,6.61,0.09,,,,,,,best,,,,1,, , 
797,211103431,034744.42+243656.0,56.9351,24.61557,UGCSJ034744.44+243655.6,     ,13.15,5.14,,,,,,,ok  ,,,,1,, , 
798,211127791,034808.81+250145.8,57.03671,25.02939,BPL167                 ,16.19,11.25,4.83,,,,,,,best,,,,1,, , 
799,211080885,034814.29+241550.8,57.059569999999994,24.264120000000002,BPL169                 ,     ,14.24,6.56,,,,,,,best,,,,1,, , 
800,211093202,034842.68+242719.6,57.17784,24.45545,HHJ44                  ,19.29,13.49,5.69,,,,,,,best,,,,1,, , 
801,211102810,034915.11+243622.7,57.31298,24.60631,BPL202                 ,     ,14.48,7.31,,,,,,,best,,,,1,, , 
802,211088413,034921.73+242251.4,57.34056999999999,24.38097,HD23873=HII2263        ,     ,6.65,-0.17,,,,,,,best,,,,1,, , 
803,211060530,034936.11+235623.4,57.40047,23.93984,HCG373                 ,17.46,12.28,5.07,,,,,,,best,,,,1,,a, 
804,211023311,034940.91+232029.7,57.4205,23.34161,HD23924=HII2415        ,8.1,7.65,0.34,,,,,,,best,,,,1,, , 
805,211052416,035012.59+234849.1,57.55246999999999,23.81364,DH660                  ,     ,13.59,5.85,,,,,,,best,,,,1,, , 
806,210837336,035208.80+202618.9,58.03669,20.4386,PELS063                ,11.93,9.14,2.68,,,,,,,ok  ,,,,1,, ,t
807,211136223,035242.19+251042.4,58.1758,25.17845,DH762                  ,     ,13.77,5.78,,,,,,,best,,,,1,, , 
808,211142460,035254.23+251743.5,58.226000000000006,25.29542,HCG464                 ,     ,12.46,5.21,,,,,,,best,,,,1,, , 
809,211142730,035307.47+251803.5,58.281130000000005,25.30099,BPL279                 ,     ,13.59,6.35,,,,,,,ok  ,,,,1,, , 
810,211067949,035321.66+240326.8,58.34028000000001,24.05745,BPL282                 ,     ,13.25,5.99,,,,,,,best,,,,1,, , 
811,210770541,035324.07+192516.8,58.35033000000001,19.42136,s4543478               ,     ,11.29,5.03,,,,,,,best,,,,1,, , 
812,211052796,035348.04+234909.8,58.45019,23.81941,HHJ28                  ,     ,13.51,6.54,,,,,,,best,,,,1,, , 
813,211004088,035610.38+230224.1,59.04326,23.04004,                       ,     ,11.62,4.59,,,,,,,best,,,,1,, , 
814,211135624,035652.30+251005.3,59.217940000000006,25.16815,HHJ17                  ,20.74,13.98,6.65,,,,,,,best,,,,1,, , 
815,211115160,035657.08+244834.7,59.237840000000006,24.809639999999998,HCG511                 ,16.04,11.23,4.7,,,,,,,best,,,,1,, , 
816,211132306,035813.92+250627.7,59.55801999999999,25.1077,s5305712               ,     ,11.41,4.85,,,,,,,ok  ,,,,1,, , 
817,210914325,035850.05+213653.2,59.70856,21.6148,UGCSJ035850.06+213652.8,     ,13.19,6.58,,,,,,,best,,,,1,, , 
818,211083805,035856.39+241832.4,59.73499,24.30901,HHJ292ab               ,     ,12.21,5.15,,,,,,,best,,,,1,, , 
819,210917578,035929.31+213956.4,59.87215,21.665670000000002,DH878                  ,     ,13.61,6.08,,,,,,,best,,,,1,, , 
820,211162249,035955.89+253951.0,59.982890000000005,25.664179999999998,                       ,     ,12.07,5.08,,,,,,,best,,,,1,, , 
821,211029542,040016.91+232623.0,60.07049,23.43975,UGCSJ040016.93+232622.5,     ,12.32,4.91,,,,,,,best,,,,1,, , 
822,211038138,040105.79+233444.3,60.27414,23.57897,UGCSJ040105.81+233443.8,     ,12.33,5.01,,,,,,,best,,,,1,, ,t
823,211143760,040159.57+251912.5,60.498219999999996,25.32016,DH902                  ,     ,14.22,5.85,,,,,,,best,,,,1,, , 
824,210998086,040344.16+225639.4,60.93402,22.9443,PELS174                ,9.73,8.18,1.44,,,,,,,best,,,,1,, , 
825,211026906,040437.17+232351.5,61.1549,23.39764,s5092529               ,     ,11.36,4.67,,,,,,,best,,,,1,, ,t
