,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,corrected,myenerg,myenerg_err,L_bol,L_bol_err,myed,ED_true,count_true,energ_true
0,0.06491384205985258,0.12259126918797847,499.8314484506318,115.10007547552937,514,520,514.0,520.0,2.428571428571429,8.650006903154868e+34,4.35600547719244e+34,2.3017597493486285e+33,5.034997802178657e+32,621.8578922598653,1806.8389158784098,2.428571428571429,2.513302362126475e+35
1,0.045700932209899126,0.10215941111528082,311.6933422743188,94.86191725011557,546,551,546.0,551.0,5.666666666666666,5.3441588777559045e+34,3.036630181727147e+34,2.3017597493486285e+33,5.034997802178657e+32,384.19707785563065,1288.8935297059688,5.666666666666666,1.792843359898904e+35
2,0.02494535112357448,0.08172757165448273,130.75676969125476,45.45455454810913,585,589,585.0,589.0,6.0,2.290423046258442e+34,1.3772659475579134e+34,2.3017597493486285e+33,5.034997802178657e+32,164.66086835262655,585.5746172275801,6.0,8.145308669997799e+34
3,0.01913105689345894,0.04086371196171967,56.26323912539174,15.070109629554025,621,623,621.0,623.0,6.0,1.4529586732287483e+34,7.396821901756433e+33,2.3017597493486285e+33,5.034997802178657e+32,104.45469329569887,585.5746172275801,6.0,8.145308669997799e+34
4,0.016909233724884464,0.04086369334254414,49.190218822524606,13.453373707814364,650,652,650.0,652.0,6.0,1.5630794185728476e+34,8.029500784117281e+33,2.3017597493486285e+33,5.034997802178657e+32,112.37138693079768,585.5746172275801,6.0,8.145308669997799e+34
5,0.03898910924753059,0.12259099619404876,307.6630088654611,55.236259378966395,692,698,692.0,698.0,5.666666666666666,4.795426553628331e+34,2.189617205777862e+34,2.3017597493486285e+33,5.034997802178657e+32,344.7481467371626,1267.846320097989,5.666666666666666,1.7635668144586647e+35
6,-0.005697611888031862,0.0817272846979904,-57.071350088811954,65.23827348199265,730,734,730.0,734.0,6.0,5.615490633712665e+33,7.372062035797914e+33,2.3017597493486285e+33,5.034997802178657e+32,40.37033968391334,585.5746172275801,6.0,8.145308669997799e+34
7,0.04516946589422281,0.06129543371935142,135.51232045752948,27.911370555280772,764,767,764.0,767.0,9.0,2.6592968981250012e+34,1.246579594687532e+34,2.3017597493486285e+33,5.034997802178657e+32,191.17958892704058,695.3795295589828,9.0,9.672688577029734e+34
8,0.04420923672516089,0.08172706595360069,216.391900174218,41.77754923484246,830,834,833.0,834.0,6.0,2.131395259312948e+34,1.0630698666545794e+34,2.3017597493486285e+33,5.034997802178657e+32,153.22819719896455,585.5746172275801,6.0,8.145308669997799e+34
9,0.04711215041800388,0.06129521776892944,208.6376850655648,41.88806214893292,899,902,899.0,902.0,,3.925970123771025e+34,1.8226695095267226e+34,2.3017597493486285e+33,5.034997802178657e+32,282.24202981306473,748.3172082897709,,1.0409048591363937e+35
10,0.07747205168819417,0.12259058571362402,593.859474826378,110.84011826985923,929,935,929.0,935.0,14.0,7.785536266951899e+34,3.606157021376598e+34,2.3017597493486285e+33,5.034997802178657e+32,559.7102091691552,1585.3129477321718,14.0,2.2051610363439163e+35
11,0.010895876828304051,0.04086345747782616,35.4776682348157,11.46710033783698,1078,1080,1078.0,1080.0,6.0,1.1767006430514794e+34,6.522410116549242e+33,2.3017597493486285e+33,5.034997802178657e+32,84.59421939211833,585.5746172275801,6.0,8.145308669997799e+34
