,EPIC,IDX,Class,Cat,Period,FVI,Std,Stdc,RAJ2000,DEJ2000,N16,H16
484,211422704,S1624 ,BM,rot  ,19.609331,3.37,0.523,0.499,133.14851399999998,11.981160000000001,N16,H16
486,211422813,      ,M,rot  ,10.553986,1.6,6.962000000000001,5.43,132.50093600000002,11.982667999999999,N16,H16
490,211423010,S640  ,SM,mult ,44.79183,3.83,1.4669999999999999,1.416,132.589044,11.9858,N16,H16
493,211423302,S1627 ,SM,rot  ,29.057743,2.08,0.985,0.8640000000000001,133.108914,11.989965,N16,H16
494,211423434,S1832 ,SM,mult ,12.272136,2.4,0.247,0.22399999999999998,133.298953,11.991975,N16,H16
496,211423623,      ,M,none ,33.125164,1.69,3.9960000000000004,3.22,132.480177,11.994872,N16,H16
498,211423883,S505  ,SM,mult ,36.594093,3.37,0.644,0.615,132.541442,11.998322,N16,H16
501,211424343,F5925 ,M,mult ,14.987520000000002,4.54,3.8810000000000002,3.785,133.304852,12.005257,N16,H16
503,211424429,      ,M,rot  ,27.497744,2.02,13.804,12.0,133.20525800000001,12.006608,N16,H16
504,211424980,      ,M,rot  ,15.665698999999998,5.93,5.034,4.962,132.46791499999998,12.015049000000001,N16,H16
508,211425363,      ,M,rot  ,15.503312,2.24,2.439,2.1830000000000003,133.220152,12.021009,N16,H16
511,211425595,      ,M,mult ,15.344254999999999,2.09,4.652,4.086,133.111386,12.024726,N16,H16
512,211425760,      ,M,rot  ,28.855915000000003,2.35,2.432,2.201,133.054696,12.027169,N16,H16
515,211425896,S1493 ,M,rot  ,21.907183,3.06,2.149,2.031,133.02528,12.029361,N16,H16
517,211425911,S1735 ,SM,rot  ,19.933409,1.88,1.571,1.329,133.160187,12.029521,N16,H16
524,211426502,      ,M,rot  ,27.517979999999998,2.28,12.27,11.023,132.993426,12.03858,N16,H16
530,211426841,S647  ,SM,mult ,31.479721,2.78,0.511,0.47600000000000003,132.668226,12.044022,N16,H16
533,211426999,S1736 ,SM,mult ,41.695,3.23,1.135,1.079,133.20353799999998,12.046645,N16,H16
534,211427009,F1029 ,SM,mult ,16.042091,1.99,1.886,1.63,132.41415800000001,12.046826,N16,H16
537,211427165,S1113 ,BM,rot  ,2.820888,565.19,85.344,85.344,132.855432,12.049022,N16,H16
540,211427268,S1115 ,SM,rot  ,30.159342,3.53,0.614,0.589,132.78776399999998,12.050613,N16,H16
543,211427425,S648  ,SM,mult ,8.107582,4.19,0.5820000000000001,0.5660000000000001,132.677582,12.052796,N16,H16
544,211427431,      ,M,rot  ,24.03999,1.95,7.732,6.638999999999999,133.067201,12.052854,N16,H16
549,211427574,S1340 ,SM,rot  ,14.60694,1.97,0.341,0.293,132.905624,12.055409,N16,H16
550,211427666,      ,M,rot  ,14.471260000000001,2.68,5.199,4.823,133.124639,12.056957,N16,H16
551,211427749,S1503 ,SM,rot  ,16.88994,2.64,0.307,0.284,133.014425,12.058327,N16,H16
552,211427761,      ,M,rot  ,20.683218,1.41,14.440999999999999,10.158999999999999,132.72728500000002,12.058487,N16,H16
553,211427784,S1504 ,SM,mult ,10.161054,7.4,1.4409999999999998,1.4280000000000002,132.97161699999998,12.058889,N16,H16
555,211427873,S2225 ,SM,mult ,24.018032,37.38,17.57,17.563,132.719295,12.060278,N16,H16
557,211427940,S844  ,SM,mult ,44.79183,3.15,0.513,0.48700000000000004,132.70259,12.061484,N16,H16
559,211428054,      ,M,none ,26.84621,2.11,6.523,5.7410000000000005,132.963729,12.063222,N16,H16
560,211428172,S1505 ,SM,rot  ,16.451483,2.5,0.578,0.53,133.00652,12.065056,N16,H16
564,211428454,S1118 ,SM,mult ,36.169304,2.49,0.9740000000000001,0.892,132.810465,12.06906,N16,H16
