,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster.1,istop_no_sys_no_thruster.1,istart_no_sys_no_thruster.2,istop_no_sys_no_thruster.2,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,count_true,falsepos_corrected,ED_true,energ_true
0,0.013881321918614265,0.04086428344453452,39.432427415372146,9.074444716063077,417,419,417,419,417,419,417,419,5.333333333333333,46.84266137834402,7.338172655049457e+31,4.076045406411585e+31,8.40100463596628e+29,3.38520490716622e+29,5.333333333333333,0.0,86.99191454073043,1.3627784368125386e+32
1,0.0053348297282472075,0.1021597292710794,33.37415062389378,9.682828054714717,755,759,759,759,759,759,759,759,1.3529411764705883,,,,,,1.3529411764705883,1.0,1487.682507595406,2.330540318462569e+33
2,0.0018780657428468246,0.061295454324863385,9.442530489298074,2.2044280131935485,1099,1101,1099,1101,1099,1101,1099,1101,,19.577222944681758,3.0668847125088175e+31,1.7137405346007433e+31,8.40100463596628e+29,3.38520490716622e+29,,0.5,16.43908283603262,2.5752769930625166e+31
3,0.015066156015075613,0.040863652240659576,31.64214025838693,6.839782495213948,1122,1124,1122,1124,1122,1124,1122,1124,1.7272727272727273,51.81096755322528,8.11648642804277e+31,4.395011819149187e+31,8.40100463596628e+29,3.38520490716622e+29,1.7272727272727273,0.0,116.55624839077893,1.825920751615935e+32
4,0.016508288425274374,0.06129494454216911,58.374418977814294,12.49744562185538,1552,1555,1552,1555,1552,1555,1552,1555,1.5454545454545454,60.924147449004664,9.544118538259965e+31,5.148312314498425e+31,8.40100463596628e+29,3.38520490716622e+29,1.5454545454545454,0.0,144.8424356509215,2.2690401640495507e+32
5,0.038324441971078316,0.1021575837439741,152.40039349379634,30.996147636921172,2168,2173,2171,2173,2171,2173,2171,2173,,10.817007029200472,1.6945464423986324e+31,3.7796484140115487e+31,8.40100463596628e+29,3.38520490716622e+29,,0.0,16.43908283603262,2.5752769930625166e+31
