,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster.1,istop_no_sys_no_thruster.1,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,count_true,falsepos_corrected,ED_true,energ_true
0,0.238012172472596,0.28605013988999417,1238.640060477566,229.30947321970922,282,290,282,290,282,290,3.230769230769231,1224.5426297565461,1.422949339103891e+33,7.35754449814229e+32,4.7242320799195404e+29,1.3597432953833699e+29,3.230769230769231,0.0,2524.8393589592965,2.9339268473559784e+33
1,0.014098932875811869,0.04086383373942226,33.73119500886537,8.242738392290955,742,744,742,744,742,744,,44.404868861380976,5.159957461983918e+31,2.973675271021682e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,127.56951704685532,1.482389878151606e+32
2,0.00921492798401811,0.04086363757232903,22.465905996445365,5.464419089032197,852,854,852,854,852,854,,27.25018151698857,3.1665396400098387e+31,1.8212815133014355e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,127.56951704685532,1.482389878151606e+32
3,0.03564110682974486,0.061295578540011775,132.84203033190894,27.18341908483139,873,876,873,876,873,876,16.0,133.03965614619338,1.5459542704974807e+32,8.29501277639468e+31,4.7242320799195404e+29,1.3597432953833699e+29,16.0,0.0,316.0325643130709,3.672377895198288e+32
4,0.012671651463036159,0.06129537201923085,36.37036092787486,24.92025267863963,1045,1047,1045,1047,1045,1047,,40.932671459458184,4.756479389580137e+31,4.837878005867218e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,127.56951704685532,1.482389878151606e+32
5,0.003637991855265489,0.04086356388143031,10.505036963347699,26.908751739313768,1069,1071,1069,1071,1069,1071,,11.898965458232217,1.382689718052345e+31,4.0007331153893756e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,127.56951704685532,1.482389878151606e+32
6,0.025300078312943824,0.0612948383713956,65.53765692743508,13.240897913226155,1697,1700,1697,1700,1697,1700,30.0,100.86378671730719,1.1720625739051845e+32,6.258438216041517e+31,4.7242320799195404e+29,1.3597432953833699e+29,30.0,0.0,263.4505145478643,3.0613612499304623e+32
7,0.01897098335406627,0.040863294270820916,49.67284413166517,10.79825433921032,1792,1794,1792,1794,1792,1794,,54.453310518532334,6.327611659364554e+31,3.4758864474307028e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,127.56951704685532,1.482389878151606e+32
8,-0.05993524523072233,0.0612947476838599,-330.42040142319,464.6967006046389,1900,1903,1900,1903,1900,1903,,22.49079152736457,2.6134865509867505e+31,4.543058003576386e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,127.56951704685532,1.482389878151606e+32
9,0.0068596794302898225,0.040863043737772387,17.907280179435848,21.682699621453324,2000,2002,2000,2002,2000,2002,,17.829562837275564,2.071840051894031e+31,3.1963612916137846e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,127.56951704685532,1.482389878151606e+32
10,0.03936869183601936,0.12258944495988545,184.67242278433378,54.40734334335446,2234,2236,2234,2236,2234,2236,,190.4610285059211,2.2132050616435387e+32,1.3866800577427743e+32,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,356.7749419239585,4.1458145717675616e+32
11,0.03099226462571793,0.04086324293166399,91.38378731943098,20.133743516930217,2948,2950,2948,2950,2948,2950,30.0,110.44556720913279,1.2834052735137109e+32,7.087653163032136e+31,4.7242320799195404e+29,1.3597432953833699e+29,30.0,0.0,263.4505145478643,3.0613612499304623e+32
