,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster.1,istop_no_sys_no_thruster.1,istart_no_sys_no_thruster.2,istop_no_sys_no_thruster.2,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,count_true,falsepos_corrected,ED_true,energ_true
0,0.0021323616938741133,0.0612964656247641,6.532024823183695,1.4067022113980088,272,274,272,274,272,274,272,274,,40.08077967035506,4.3278732363038806e+32,2.7815552813514382e+32,4.40890990654803e+31,1.62430243634741e+31,,0.0,22.608344514547348,2.4412212024412535e+32
1,0.0144954833191396,0.14302337964909384,148.68357295637844,23.836751358198534,761,768,761,768,761,768,761,768,1.6666666666666667,180.32465546242406,1.947123425841856e+33,1.1442682912892645e+33,4.40890990654803e+31,1.62430243634741e+31,1.6666666666666667,0.0,308.90474976419284,3.335515451712656e+33
2,0.1884029294731716,0.286042701540282,856.2192000433454,149.49805414192537,1658,1672,1658,1672,1658,1672,1658,1672,1.75,952.185151054611,1.0281578016066356e+34,6.189047825216806e+33,4.40890990654803e+31,1.62430243634741e+31,1.75,0.0,1237.7664120456616,1.3365249307888141e+34
3,0.016840591422714213,0.040863146881747525,52.373579040425646,12.441976763517694,1983,1985,1983,1985,1983,1985,1983,1985,6.5,48.46872244493824,5.233592968812405e+32,3.479892327512187e+32,4.40890990654803e+31,1.62430243634741e+31,6.5,0.0,112.56135108143559,1.2154236090069416e+33
