,error,flux_gap,flux_model,time
0,2727.2184421687507,6639886.336036397,6639870.161490646,2228.8001672273385
1,2727.2184421687507,6639886.336036397,6639870.161490646,2228.82059962488
2,2727.2184421687507,6639886.336036397,6639870.161490646,2228.8410319214963
3,2727.2184421687507,6639886.336036397,6639870.161490646,2228.861464217647
4,2727.2184421687507,6639886.336036397,6639870.161490646,2228.881896513325
5,2727.2184421687507,6639886.336036397,6639870.161490646,2228.9023288085446
6,2727.2184421687507,6639886.336036397,6639870.161490646,2228.9227611028327
7,2727.2184421687507,6639886.336036397,6639870.161490646,2228.9431933971136
8,2727.2184421687507,6639886.336036397,6639870.161490646,2228.9636255904697
9,2727.2184421687507,6639886.336036397,6639870.161490646,2228.9840579833617
10,2727.2184421687507,6639886.336036397,6639870.161490646,2229.0044902753143
11,2727.2184421687507,6639886.336036397,6639870.161490646,2229.0249224668078
12,2727.2184421687507,6639886.336036397,6639870.161490646,2229.045354857837
13,2727.2184421687507,6639886.336036397,6639870.161490646,2229.0657871483927
14,2727.2184421687507,6639886.336036397,6639870.161490646,2229.086219338489
15,2727.2184421687507,6639886.336036397,6639870.161490646,2229.106651727656
16,2665.380760177471,6639886.336036397,6639870.161490646,2229.127084016349
17,2660.8799622301763,6639886.336036397,6639870.161490646,2229.147516404584
18,2518.117643263478,6639886.336036397,6639870.161490646,2229.1679485923523
19,2661.324909547036,6639886.336036397,6639870.161490646,2229.1883808791827
20,2695.1502669153383,6639886.336036397,6639870.161490646,2229.208813266021
21,2699.1027012105537,6639886.336036397,6639870.161490646,2229.2292454519265
22,2861.125347592633,6639886.336036397,6639870.161490646,2229.2496777368942
23,2936.727689391183,6639886.336036397,6639870.161490646,2229.27011012187
24,2941.381799458699,6639886.336036397,6639870.161490646,2229.290542305913
25,2943.4486903299107,6639886.336036397,6639870.161490646,2229.3109745894835
26,2951.31320428059,6639886.336036397,6639870.161490646,2229.3314069725966
27,2924.925855013188,6639886.336036397,6639870.161490646,2229.351839255236
28,2906.7869959604404,6639886.336036397,6639870.161490646,2229.3722715369513
29,2918.25630539,6639886.336036397,6639870.161490646,2229.392703818201
30,2888.799852915844,6639886.336036397,6639870.161490646,2229.413136098985
31,2649.3750117781947,6638996.228863077,6639870.161490646,2229.433568379296
32,2396.6261480442004,6640610.450763153,6639870.161490646,2229.454000658683
33,2409.8706212694146,6635180.899128448,6639870.161490646,2229.4948653160536
34,2391.933994822671,6643127.399693181,6639870.161490646,2229.515297494043
35,2358.572870534189,6641468.321217922,6639870.161490646,2229.5357297715673
36,2428.572933876285,6634640.114693946,6639870.161490646,2229.556162148154
37,2429.7465965623824,6643398.493367998,6639870.161490646,2229.5765943242804
38,2844.4730974900567,6641092.306101624,6639870.161490646,2229.597026599935
39,2857.5221583065736,6640561.925558559,6639870.161490646,2229.6174588746653
40,2907.3065362493785,6638543.845838562,6639870.161490646,2229.6378911493957
41,2870.524968807272,6641033.286574321,6639870.161490646,2229.658323323194
42,2688.592287923382,6642695.88801354,6639870.161490646,2229.678755696521
43,2684.4271200611333,6638356.359372298,6639870.161490646,2229.6991879693887
44,2690.383841639734,6639786.995521799,6639870.161490646,2229.7400525127887
45,2692.706209627921,6639682.830309556,6639870.161490646,2229.760484783794
46,2703.430572311461,6639209.987800149,6639870.161490646,2229.7809171543267
