,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster.1,istop_no_sys_no_thruster.1,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,count_true,falsepos_corrected,ED_true,energ_true
0,0.023346304850986564,0.061296273772313725,59.539266234742676,12.488610585904059,405,408,405,408,408.0,408.0,,117.22703387826391,1.0447455608108063e+32,5.59069192390357e+31,2.4228762028039504e+29,8.08937400878224e+28,,0.2,119.08377051942986,1.0612930865757876e+32
1,0.03205917254249328,0.04086404421104817,103.74147293603144,22.80412118289104,544,546,849,851,849.0,851.0,4.666666666666667,88.82533720680301,7.916252221368985e+31,4.386958464491273e+31,2.4228762028039504e+29,8.08937400878224e+28,4.666666666666667,0.0,253.219266292601,2.2567294899373616e+32
2,0.019810150946684764,0.06129564256843877,76.09935790677311,17.411577809375643,849,851,883,890,883.0,890.0,1.75,596.8002010958701,5.3187762255709194e+32,2.6466249462083142e+32,2.4228762028039504e+29,8.08937400878224e+28,1.75,0.0,970.3834839649857,8.648208554089513e+32
3,0.07060150799057809,0.2860462013341021,685.8678426596382,113.57589818276014,883,896,1143,1151,1143.0,1151.0,2.125,824.9040813363247,7.351673488265561e+32,9.141842396637901e+32,2.4228762028039504e+29,8.08937400878224e+28,2.125,0.0,1227.9581121359718,1.0943753706571854e+33
4,0.8187534902683886,0.4290672725837794,2178.7646530627144,391.51492176249326,1141,1161,1156,1156,1161.0,1161.0,3.0,,,,,,3.0,0.875,1154.099010752704,1.0285509906120702e+33
5,0.012670838932043408,0.04086319264024496,33.112898614346825,8.52044512044629,1568,1570,1161,1161,1568.0,1570.0,3.0,,,,,,3.0,0.875,1154.099010752704,1.0285509906120702e+33
6,0.017562837825653616,0.061294917766645085,80.88746111735513,18.12391166806129,2029,2031,1568,1570,2297.0,2300.0,24.0,63.18758602059425,5.631375955645264e+31,3.2813213053406444e+31,2.4228762028039504e+29,8.08937400878224e+28,24.0,1.0,214.26300596230666,1.9095452381535115e+32
7,0.0140029497674117,0.061294668637856375,44.167511155166146,9.33175553951882,2297,2300,2297,2300,2336.0,2338.0,22.0,107.83012631010939,9.609988588565975e+31,5.157215145306955e+31,2.4228762028039504e+29,8.08937400878224e+28,22.0,0.0,269.7547243274254,2.4040960640656125e+32
8,0.012123513844256695,0.04086311103310436,35.819679284138864,8.945335277659963,2336,2338,2336,2338,2785.0,2791.0,,56.91696797147938,5.0725287210427e+31,2.91722632268943e+31,2.4228762028039504e+29,8.08937400878224e+28,,0.0,57.832460910729914,5.154118875855359e+31
9,0.005995622927411042,0.14302106492687014,40.59807345210356,5.9927535442879725,2785,2791,2785,2791,3258.0,3262.0,3.0,199.98985953044132,1.7823407369376973e+32,8.430156516912253e+31,2.4228762028039504e+29,8.08937400878224e+28,3.0,0.0,432.2505387175112,3.8522840384425436e+32
10,0.00928705382358238,0.08172677770198787,39.27871643494849,6.896672537688215,3258,3262,3258,3262,,,3.2857142857142856,99.06746928913066,8.829046964376964e+31,4.422941857121648e+31,2.4228762028039504e+29,8.08937400878224e+28,3.2857142857142856,0.0,257.74041180539547,2.297022642020156e+32
