,error,flux_gap,flux_model,time,tpf_flags,tpf_time,isflare,new_isflare,new_tpf_flags,tpf_flags_wo_systematics,isflare_wo_systematics,isflare_no_sys_no_thruster
0,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.800166893925,524288,2228.800166893925,0.0,0.0,524288,524288,0.0,False
1,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.8205992868093,0,2228.8205992868093,0.0,0.0,0,0,0.0,False
2,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.8410315787696,0,2228.8410315787696,0.0,0.0,0,0,0.0,False
3,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.861463870264,0,2228.861463870264,0.0,0.0,0,0,0.0,False
4,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.8818961608195,0,2228.8818961608195,0.0,0.0,0,0,0.0,False
5,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.9023284513823,0,2228.9023284513823,0.0,0.0,0,0,0.0,False
6,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.922760741014,0,2228.922760741014,0.0,0.0,0,0,0.0,False
7,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.9431930301726,0,2228.9431930301726,0.0,0.0,0,0,0.0,False
8,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.963625218872,0,2228.963625218872,0.0,0.0,0,0,0.0,False
9,2.884611890683342,1155.2889607299976,1155.2889607299976,2228.9840576066417,0,2228.9840576066417,0.0,0.0,0,0,0.0,False
10,2.884611890683342,1155.2889607299976,1155.2889607299976,2229.0044898939373,0,2229.0044898939373,0.0,0.0,0,0,0.0,False
11,2.884611890683342,1155.2889607299976,1155.2889607299976,2229.0249220807746,8192,2229.0249220807746,0.0,0.0,8192,8192,0.0,False
12,2.884611890683342,1155.2889607299976,1155.2889607299976,2229.045354467148,0,2229.0453544671477,0.0,0.0,0,0,0.0,False
13,2.884611890683342,1155.2889607299976,1155.2889607299976,2229.0657867530467,0,2229.0657867530467,0.0,0.0,0,0,0.0,False
14,2.884611890683342,1155.2889607299976,1155.2889607299976,2229.0862189380205,0,2229.0862189380205,0.0,0.0,0,0,0.0,False
15,2.884611890683342,1155.2889607299976,1155.2889607299976,2229.1066513225305,0,2229.1066513225305,0.0,0.0,0,0,0.0,False
16,2.9072583063417192,1155.2889607299976,1155.2889607299976,2229.127083606567,0,2229.127083606567,0.0,0.0,0,0,0.0,False
17,2.9772612749222405,1155.2889607299976,1155.2889607299976,2229.14751598968,0,2229.14751598968,0.0,0.0,0,0,0.0,False
18,2.973502910209387,1155.2889607299976,1155.2889607299976,2229.1679481727915,0,2229.1679481727915,0.0,0.0,0,0,0.0,False
19,2.9636627766292127,1155.2889607299976,1155.2889607299976,2229.1883804549648,0,2229.1883804549648,0.0,0.0,0,0,0.0,False
20,2.930854633118799,1155.2889607299976,1155.2889607299976,2229.2088128366813,8192,2229.2088128366813,0.0,0.0,8192,8192,0.0,False
21,3.011816399188739,1155.2889607299976,1155.2889607299976,2229.2292450174646,0,2229.2292450174646,0.0,0.0,0,0,0.0,False
22,2.9451264782118947,1155.2889607299976,1155.2889607299976,2229.2496772982413,0,2229.2496772982413,0.0,0.0,0,0,0.0,False
23,2.9201573222301764,1155.2889607299976,1155.2889607299976,2229.2701096780947,0,2229.2701096780947,0.0,0.0,0,0,0.0,False
24,2.891526859799217,1155.2889607299976,1155.2889607299976,2229.290541857481,0,2229.290541857481,0.0,0.0,0,0,0.0,False
25,2.804345894634309,1155.2889607299976,1155.2889607299976,2229.310974136395,0,2229.310974136395,0.0,0.0,0,0,0.0,False
26,2.852940043083084,1155.2889607299976,1155.2889607299976,2229.331406514386,0,2229.331406514386,0.0,0.0,0,0,0.0,False
27,3.0166697827375177,1155.2889607299976,1155.2889607299976,2229.351838791903,0,2229.351838791903,0.0,0.0,0,0,0.0,False
28,3.1912189582703103,1155.2889607299976,1155.2889607299976,2229.3722710689617,0,2229.3722710689617,0.0,0.0,0,0,0.0,False
29,3.1395694769589086,1155.2889607299976,1155.2889607299976,2229.3927033455548,0,2229.3927033455548,0.0,0.0,0,0,0.0,False
30,3.622097070756556,1155.2889607299976,1155.2889607299976,2229.413135621682,0,2229.413135621682,0.0,0.0,0,0,0.0,False
31,3.6388976775593793,1158.4127559085991,1155.2889607299976,2229.433567896871,0,2229.433567896871,0.0,0.0,0,0,0.0,False
32,3.5844340466140343,1152.7291464395562,1155.2889607299976,2229.4540001716014,0,2229.4540001716014,0.0,0.0,0,0,0.0,False
33,3.5795226266078384,1154.4984553019765,1155.2889607299976,2229.4948648196587,0,2229.4948648196587,0.0,0.0,0,0,0.0,False
34,3.4574863191971423,1157.8756460590025,1155.2889607299976,2229.5152969925257,8192,2229.5152969925257,0.0,0.0,8192,8192,0.0,False
35,3.4010170320573634,1150.925075843211,1155.2889607299976,2229.535729264928,0,2229.535729264928,0.0,0.0,0,0,0.0,False
36,3.4051419647087515,1157.4057434687065,1155.2889607299976,2229.5561616368577,0,2229.5561616368577,0.0,0.0,0,0,0.0,False
37,3.5106862659520472,1155.9881005689867,1155.2889607299976,2229.5765938083277,0,2229.5765938083277,0.0,0.0,0,0,0.0,False
38,3.537556440667895,1157.3610975756685,1155.2889607299976,2229.5970260793256,0,2229.5970260793256,0.0,0.0,0,0,0.0,False
39,3.1707918017456724,1157.3203925957573,1155.2889607299976,2229.6174583493994,0,2229.6174583493994,0.0,0.0,0,0,0.0,False
40,3.1394799049461204,1158.2484868121385,1155.2889607299976,2229.6378906190075,8192,2229.6378906190075,0.0,0.0,8192,8192,0.0,False
