,error,flux_gap,flux_model,time,tpf_flags,tpf_time
0,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.800274774141,524288,2228.800274774141
1,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.8207072247683,0,2228.820707224768
2,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.8411395744697,0,2228.8411395744697
3,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.861571923706,0,2228.861571923706
4,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.8820042720035,0,2228.8820042720035
5,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.9024366198432,0,2228.902436619843
6,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.9228689672163,0,2228.9228689672163
7,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.943301314117,0,2228.943301314117
8,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.9637335600933,0,2228.963733560093
9,9.668149573609533,2021.0981347714398,2021.0981347714398,2228.98416600607,0,2228.98416600607
10,9.668149573609533,2021.0981347714398,2021.0981347714398,2229.0045983506425,0,2229.0045983506425
11,9.668149573609533,2021.0981347714398,2021.0981347714398,2229.0250305952213,0,2229.0250305952213
12,9.668149573609533,2021.0981347714398,2021.0981347714398,2229.0454630388704,0,2229.0454630388704
13,9.668149573609533,2021.0981347714398,2021.0981347714398,2229.0658953820457,0,2229.0658953820457
14,9.668149573609533,2021.0981347714398,2021.0981347714398,2229.086327624762,0,2229.086327624762
15,9.668149573609533,2021.0981347714398,2021.0981347714398,2229.106760067014,0,2229.106760067014
16,9.663537717630934,2021.0981347714398,2021.0981347714398,2229.1271924083267,0,2229.1271924083267
17,9.608407718842146,2021.0981347714398,2021.0981347714398,2229.1476248491817,0,2229.1476248491817
18,9.616375425738982,2021.0981347714398,2021.0981347714398,2229.168057089569,0,2229.1680570895696
19,9.88765551552476,2021.0981347714398,2021.0981347714398,2229.18848942902,0,2229.1884894290197
20,9.947681544719552,2021.0981347714398,2021.0981347714398,2229.208921868012,0,2229.208921868012
21,9.974701754013633,2021.0981347714398,2021.0981347714398,2229.2293541065374,0,2229.2293541065374
22,9.91635481700858,2021.0981347714398,2021.0981347714398,2229.2497864445904,0,2229.2497864445904
23,9.986643030097383,2021.0981347714398,2021.0981347714398,2229.2702188817198,0,2229.27021888172
24,10.425810494927699,2021.0981347714398,2021.0981347714398,2229.2906511188485,0,2229.2906511188485
25,10.38584603004849,2021.0981347714398,2021.0981347714398,2229.311083454573,0,2229.3110834545732
26,9.660078516055806,2021.0981347714398,2021.0981347714398,2229.331515890306,0,2229.331515890306
27,8.70615375431303,2021.0981347714398,2021.0981347714398,2229.3519482250995,0,2229.3519482250995
28,7.849336538238144,2021.0981347714398,2021.0981347714398,2229.3723805594345,0,2229.3723805594345
29,7.827202253301049,2021.0981347714398,2021.0981347714398,2229.392812893304,0,2229.392812893304
30,7.788515187378618,2021.0981347714398,2021.0981347714398,2229.413245226708,0,2229.4132452267077
31,7.8436568928392765,2019.1865820947132,2021.0981347714398,2229.433677559173,0,2229.433677559173
32,7.682037724452051,2018.7662491631786,2021.0981347714398,2229.4541098911795,8192,2229.4541098911795
33,7.729296338991049,2034.0134584452155,2021.0981347714398,2229.494974653324,0,2229.494974653324
34,7.725810883823099,2029.9738960639288,2021.0981347714398,2229.515406883933,0,2229.515406883933
35,7.825789493315075,2026.0445995284801,2021.0981347714398,2229.5358392136113,0,2229.5358392136113
36,7.662521785127928,2017.0116970512129,2021.0981347714398,2229.556271642352,0,2229.556271642352
37,7.486250347134803,2030.1749291397728,2021.0981347714398,2229.5767038710987,0,2229.5767038710983
38,7.503194200750543,2005.8368684392576,2021.0981347714398,2229.597136198907,0,2229.597136198907
39,7.724325287982897,2017.159380529056,2021.0981347714398,2229.617568526257,0,2229.617568526257
40,7.684531852471722,2019.2619009491195,2021.0981347714398,2229.638000853141,0,2229.6380008531414
41,7.541869827298874,2031.6369789061594,2021.0981347714398,2229.658433079094,0,2229.658433079094
42,7.658318370680269,2022.0078277677435,2021.0981347714398,2229.678865504575,0,2229.678865504575
43,7.46394774617653,2020.6237316153174,2021.0981347714398,2229.699297829597,0,2229.6992978295966
44,6.919012980395932,2020.0564908250626,2021.0981347714398,2229.7401624777704,0,2229.7401624777704
45,6.922519452247292,2015.9806949003405,2021.0981347714398,2229.760594800929,0,2229.7605948009295
46,6.918883983465107,2021.6161561119925,2021.0981347714398,2229.7810272236165,0,2229.7810272236165
47,6.906249803590169,2026.2606036595887,2021.0981347714398,2229.801459445844,0,2229.8014594458436
48,6.888404373819103,2022.937380731474,2021.0981347714398,2229.8218917671397,0,2229.82189176714
49,6.919886469693212,2014.9631029917025,2021.0981347714398,2229.842324187965,0,2229.8423241879646
50,6.850170855851222,2025.8733667815839,2021.0981347714398,2229.8627565083293,0,2229.8627565083298
51,6.822467985766117,2027.2324088129046,2021.0981347714398,2229.8831887282286,0,2229.8831887282286
52,6.803719626850611,2025.9391626272204,2021.0981347714398,2229.9036211471907,0,2229.9036211471903
53,6.51578561243462,2032.1089346353647,2021.0981347714398,2229.924053465693,0,2229.924053465693
54,6.055274331092037,2017.4379647203725,2021.0981347714398,2229.944485683729,0,2229.944485683729
55,6.045262471266691,2021.9176934353927,2021.0981347714398,2229.9649181012937,0,2229.9649181012937
56,6.226805726398907,2013.145940336254,2021.0981347714398,2229.985350417933,0,2229.9853504179337
57,6.148533506489059,2022.1271677391778,2021.0981347714398,2230.005782634107,0,2230.005782634107
