,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster.1,istop_no_sys_no_thruster.1,istart_no_sys_no_thruster.2,istop_no_sys_no_thruster.2,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,count_true,falsepos_corrected,ED_true,energ_true
0,0.0036481575760263186,0.061296838153793935,15.350441066701329,27.00314719600789,51,54,51,54,51,54,51,54,,47.64333793802873,5.53627571504796e+31,1.1576602223365151e+32,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,197.09130566552994,2.2902505500820812e+32
1,0.12269280791490955,0.08172880659549264,318.69052284064225,64.89842254147389,140,144,730,733,730,733,730,733,3.0,369.7659556742106,4.2967734194304304e+32,2.3011403928479846e+32,4.7242320799195404e+29,1.3597432953833699e+29,3.0,0.0,733.4213789770838,8.522540915603652e+32
2,0.11107225347732952,0.061295773186429876,347.86751453608167,70.83202596349287,730,733,1435,1439,1435,1439,1435,1439,,68.037759824463,7.90615884034815e+31,1.174108986379791e+32,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,197.09130566552994,2.2902505500820812e+32
3,-0.12390338082999362,0.08172658725379732,-1058.9022192747584,1221.0447064045645,1435,1439,1785,1787,1785,1787,1785,1787,7.5,159.19828037135136,1.84992406418654e+32,1.030024012344299e+32,4.7242320799195404e+29,1.3597432953833699e+29,7.5,0.0,286.3896460713283,3.327919728563581e+32
4,0.1334380211297019,0.04086329833808122,153.1622916202161,34.440015473009375,1785,1787,1796,1800,1796,1800,1796,1800,5.333333333333333,127.42616779288691,1.4807241237610385e+32,1.5513951524150657e+32,4.7242320799195404e+29,1.3597432953833699e+29,5.333333333333333,0.0,360.13881765431074,4.1849036539360114e+32
5,0.032129735710568035,0.18388437343674013,154.0958389715453,91.5292227215386,1796,1805,1804,1805,1804,1805,1804,1805,,13.60462174010723,1.5808912685786e+31,5.81779667965323e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,197.09130566552994,2.2902505500820812e+32
6,0.22250225151274705,0.08172623986320103,994.5924866671852,193.56818397062648,2149,2153,2149,2153,2149,2153,2149,2153,3.666666666666667,1121.533792733581,1.303250479299533e+33,6.862311834517568e+32,4.7242320799195404e+29,1.3597432953833699e+29,3.666666666666667,0.0,1923.293164626973,2.2349150376684567e+33
7,0.0032193801294354805,0.04086311719584046,9.443108117494598,2.3426556132730565,2175,2177,2175,2177,2175,2177,2175,2177,,55.644129420089556,6.465987811226263e+31,3.750363169346968e+31,4.7242320799195404e+29,1.3597432953833699e+29,,0.0,197.09130566552994,2.2902505500820812e+32
8,0.07493812082709901,0.040863304275262635,198.9044393551598,43.743205382974416,3174,3176,3174,3176,3174,3176,3174,3176,3.4,242.10773383272942,2.8133527692516124e+32,1.552559064535638e+32,4.7242320799195404e+29,1.3597432953833699e+29,3.4,0.0,567.5581865970406,6.59516889731984e+32
9,0.02323279314750222,0.08172662706056144,72.98945449458597,15.2508324791961,3193,3197,3193,3197,3193,3197,3193,3197,14.0,195.39778504252902,2.2705714144382935e+32,1.228103631165453e+32,4.7242320799195404e+29,1.3597432953833699e+29,14.0,0.0,444.51963653263823,5.1654299952674886e+32
