,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster.1,istop_no_sys_no_thruster.1,istart_no_sys_no_thruster.2,istop_no_sys_no_thruster.2,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,count_true,falsepos_corrected,ED_true,energ_true
0,0.012446769003163915,0.12259338759758975,54.137826055743616,11.001632701623551,193,199,193,199,193,199,193,199,3.75,43.75767461353133,1.3957070859949814e+33,7.115446444123124e+32,4.72423207991954e+32,1.0877946363067e+32,3.75,0.0,67.25215092417255,2.1450935046773625e+33
1,0.0005303241264526108,0.06129503581178144,2.336605002974026,0.6163197537652418,1461,1463,1461,1463,1461,1463,1461,1463,34.0,4.273749398651756,1.3631671180306505e+32,7.774978644022144e+31,4.72423207991954e+32,1.0877946363067e+32,34.0,0.0,8.756708903799435,2.7930644795390544e+32
2,0.006508237560283081,0.06129490472812904,14.089175594889035,3.303456738931452,1643,1645,1643,1645,1643,1645,1643,1645,2.888888888888889,12.952704287029535,4.1314309583110985e+32,2.2353598095636765e+32,4.72423207991954e+32,1.0877946363067e+32,2.888888888888889,0.05882352941176471,18.924410750692825,6.036183233295908e+32
3,0.007436636083329714,0.040863139198336285,11.492351559443884,2.7181284453697234,2052,2054,2052,2054,2052,2054,2052,2054,3.875,10.583465667541002,3.375731950345407e+32,1.8333953655017344e+32,4.72423207991954e+32,1.0877946363067e+32,3.875,0.0,19.430233634716046,6.197521921817376e+32
4,0.0010714190036906323,0.04086321836075514,2.7458698791670098,0.9385038049823192,2173,2175,2173,2175,2173,2175,2173,2175,34.0,2.7579731569476893,8.796908684323687e+31,5.703753731071132e+31,4.72423207991954e+32,1.0877946363067e+32,34.0,1.0,8.756708903799435,2.7930644795390544e+32
5,-5.163528934808073e-05,0.040863109279598575,-0.7135843388586489,0.2859876619858909,2245,2247,2245,2247,2245,2247,2245,2247,34.0,4.192988624859176,1.3374074346726401e+32,9.460424736549781e+31,4.72423207991954e+32,1.0877946363067e+32,34.0,0.0,8.756708903799435,2.7930644795390544e+32
6,0.0008550878708270834,0.04086300695780665,2.4511196483237607,1.5212603732889145,2269,2271,2269,2271,2269,2271,2269,2271,34.0,3.9005337421354254,1.244125203439734e+32,1.1535941209729469e+32,4.72423207991954e+32,1.0877946363067e+32,34.0,0.0,8.756708903799435,2.7930644795390544e+32
7,0.002588621471038123,0.061294659091799986,11.935988408980643,3.984122234717807,2279,2282,2279,2282,2279,2282,2279,2282,4.25,8.011635095653372,2.55541364393063e+32,1.6364483050082813e+32,4.72423207991954e+32,1.0877946363067e+32,4.25,0.0,14.473575400368835,4.61653228248346e+32
8,0.0014702235762176336,0.0817263012213516,9.52232169490452,9.572686516641948,2382,2385,2382,2385,2382,2385,2382,2385,46.0,5.144553919014589,1.6409213749287146e+32,2.1526973556658385e+32,4.72423207991954e+32,1.0877946363067e+32,46.0,0.0,9.126424618241181,2.910990042770532e+32
9,-0.002633821413424857,0.10215775155666053,-28.345840441426816,30.300932672108512,2447,2451,2447,2448,2447,2448,2447,2448,34.0,0.5175259070616236,1.650715176369369e+31,4.24411840139574e+31,4.72423207991954e+32,1.0877946363067e+32,34.0,1.0,8.756708903799435,2.7930644795390544e+32
