,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
0,4.724232079919543e+32,1.0877946363067007e+32,5170.0,7000.0,3000.0,126.84427003744509,27.79486583997847,4.0458604821376264e+33,2.1269900956324333e+33,1.375,6.943777656606611e+33,178,0.5257200798255505
1,3.752590928470313e+30,6.912527945600352e+29,3870.0,7000.0,3000.0,375.3565706140915,83.24128168046785,1.2491255563952857e+33,6.55659732408997e+32,4.666666666666667,1.9545371735533372e+33,178,0.5248949787730653
2,4.408909906548035e+33,1.4212646318039756e+33,5770.0,7000.0,3000.0,13.374929350895265,2.92210400009633,1.1174172942831862e+33,5.342609251170759e+32,,7.47563888099146e+32,178,0.47812122458673756
3,3.752590928470313e+30,6.912527945600352e+29,3870.0,7000.0,3000.0,278.78001086398166,57.553440973934485,9.277344888691866e+32,4.7275179731135906e+32,1.6,1.9813349714829656e+33,178,0.5095766116096375
4,2.656630928328716e+30,4.893695018525311e+29,3800.0,7000.0,3000.0,76.01173422533117,18.808468735073678,2.0859034960911387e+32,1.2051222679727193e+32,,6.756009335837854e+32,178,0.5777459361044497
5,3.3445001854313527e+33,2.3102988811470355e+32,5680.0,7000.0,3000.0,25.191827803822356,5.456256921672177,1.893617568149214e+33,8.321518668986655e+32,9.0,4.1024099411201027e+33,178,0.43945085897782143
6,1.493933356778037e+33,2.2359406402083954e+32,5490.0,7000.0,3000.0,70.94618185924676,15.69256124702587,3.86701551767844e+33,1.936872210745178e+33,2.2,7.092511321535728e+33,178,0.5008700383772904
