,error,flux_gap,flux_model,time,tpf_flags,tpf_time,isflare,new_isflare,new_tpf_flags,tpf_flags_wo_systematics,isflare_wo_systematics,isflare_no_sys_no_thruster
0,4.42468487378449,2655.624609310685,2655.021572161423,2228.8003342642332,524288,2228.800334264233,0.0,0.0,524288,524288,0.0,False
1,4.42468487378449,2655.624609310685,2655.021572161423,2228.82076672557,0,2228.82076672557,0.0,0.0,0,0,0.0,False
2,4.42468487378449,2655.624609310685,2655.021572161423,2228.841199086448,8192,2228.841199086448,0.0,0.0,8192,8192,0.0,False
3,4.42468487378449,2655.624609310685,2655.021572161423,2228.86163144686,0,2228.86163144686,0.0,0.0,0,0,0.0,False
4,4.42468487378449,2655.624609310685,2655.021572161423,2228.882063806799,0,2228.882063806799,0.0,0.0,0,0,0.0,False
5,4.42468487378449,2655.624609310685,2655.021572161423,2228.9024961658147,0,2228.9024961658147,0.0,0.0,0,0,0.0,False
6,4.42468487378449,2655.624609310685,2655.021572161423,2228.922928524364,0,2228.922928524364,0.0,0.0,0,0,0.0,False
7,4.42468487378449,2655.624609310685,2655.021572161423,2228.9433608819745,0,2228.9433608819745,0.0,0.0,0,0,0.0,False
8,4.42468487378449,2655.624609310685,2655.021572161423,2228.963793139592,0,2228.963793139592,0.0,0.0,0,0,0.0,False
9,4.42468487378449,2655.624609310685,2655.021572161423,2228.9842255962794,0,2228.9842255962794,0.0,0.0,0,0,0.0,False
10,4.42468487378449,2655.624609310685,2655.021572161423,2229.0046579524933,0,2229.0046579524933,0.0,0.0,0,0,0.0,False
11,4.42468487378449,2655.624609310685,2655.021572161423,2229.025090207783,0,2229.025090207783,0.0,0.0,0,0,0.0,False
12,4.42468487378449,2655.624609310685,2655.021572161423,2229.0455226626073,0,2229.0455226626073,0.0,0.0,0,0,0.0,False
13,4.42468487378449,2655.624609310685,2655.021572161423,2229.0659550169585,0,2229.0659550169585,0.0,0.0,0,0,0.0,False
14,4.42468487378449,2655.624609310685,2655.021572161423,2229.0863872708505,8192,2229.0863872708505,0.0,0.0,8192,8192,0.0,False
15,4.42468487378449,2655.624609310685,2655.021572161423,2229.106819723813,0,2229.106819723813,0.0,0.0,0,0,0.0,False
16,4.2317308871640416,2655.624609310685,2655.021572161423,2229.127252076767,0,2229.127252076767,0.0,0.0,0,0,0.0,False
17,4.278281800369892,2655.624609310685,2655.021572161423,2229.1476845283323,8192,2229.1476845283323,0.0,0.0,8192,8192,0.0,False
18,4.265036840051967,2655.624609310685,2655.021572161423,2229.168116779896,0,2229.168116779896,0.0,0.0,0,0,0.0,False
19,4.0415087688704885,2655.624609310685,2655.021572161423,2229.188549130522,0,2229.188549130522,0.0,0.0,0,0,0.0,False
20,3.9796802344111,2655.624609310685,2655.021572161423,2229.2089815806908,0,2229.2089815806908,0.0,0.0,0,0,0.0,False
21,3.934829657407228,2655.624609310685,2655.021572161423,2229.2294138303914,0,2229.2294138303914,0.0,0.0,0,0,0.0,False
22,4.069645196552951,2655.624609310685,2655.021572161423,2229.2498461791547,0,2229.2498461791547,0.0,0.0,0,0,0.0,False
23,4.133504998634565,2655.624609310685,2655.021572161423,2229.270278627461,0,2229.270278627461,0.0,0.0,0,0,0.0,False
24,4.0881214120088085,2655.624609310685,2655.021572161423,2229.2907108752993,0,2229.2907108752993,0.0,0.0,0,0,0.0,False
25,4.294842342591602,2655.624609310685,2655.021572161423,2229.311143222665,0,2229.311143222665,0.0,0.0,0,0,0.0,False
26,4.282109525878116,2655.624609310685,2655.021572161423,2229.331575669108,0,2229.331575669108,0.0,0.0,0,0,0.0,False
27,15.216761074520324,2655.624609310685,2655.021572161423,2229.352008015077,0,2229.352008015077,0.0,0.0,0,0,0.0,False
28,19.51450176742545,2655.624609310685,2655.021572161423,2229.3724403605884,0,2229.3724403605884,0.0,0.0,0,0,0.0,False
29,20.084417835617174,2655.624609310685,2655.021572161423,2229.3928727056336,0,2229.3928727056336,0.0,0.0,0,0,0.0,False
30,20.49069027888919,2655.624609310685,2655.021572161423,2229.413305049748,0,2229.413305049748,0.0,0.0,0,0,0.0,False
31,20.86489363666764,2662.6917329187545,2655.021572161423,2229.4337373933886,0,2229.4337373933886,0.0,0.0,0,0,0.0,False
32,20.82560610448105,2662.899161738768,2655.021572161423,2229.4541697361055,0,2229.4541697361055,0.0,0.0,0,0,0.0,False
33,20.665502939877747,2655.6748275671184,2655.021572161423,2229.4950345206016,0,2229.4950345206016,0.0,0.0,0,0,0.0,False
34,20.661972034403973,2657.141752546022,2655.021572161423,2229.5154667619213,0,2229.5154667619213,0.0,0.0,0,0,0.0,False
35,20.567363317140448,2654.0494218029244,2655.021572161423,2229.5358991023095,0,2229.5358991023095,0.0,0.0,0,0,0.0,False
36,20.543349102369238,2647.9803508632376,2655.021572161423,2229.556331542692,0,2229.556331542692,0.0,0.0,0,0,0.0,False
37,20.514903599343224,2658.34279581592,2655.021572161423,2229.576763782148,0,2229.576763782148,0.0,0.0,0,0,0.0,False
38,20.374758730993992,2655.775734086249,2655.021572161423,2229.597196121133,0,2229.597196121133,0.0,0.0,0,0,0.0,False
39,20.5986806497687,2647.0170112692954,2655.021572161423,2229.617628459193,0,2229.617628459193,0.0,0.0,0,0,0.0,False
40,20.60139652660862,2653.323594283449,2655.021572161423,2229.638060796788,0,2229.638060796788,0.0,0.0,0,0,0.0,False
41,20.55910427757852,2734.198411391292,2655.021572161423,2229.658493033916,0,2229.658493033916,0.0,0.0,0,0,0.0,False
