,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.024936105850394408,0.08172819552419243,139.9111294450793,28.433197232242073,533,537,533,537
1,1,0.03235537891540989,0.04086383280082373,87.53207648540923,19.642084408300114,809,811,809,811
2,2,0.10953757880393504,0.040863726280804265,169.86638288510875,37.01611633108127,1058,1060,1058,1060
3,3,0.07806660880072368,0.2043171056793653,689.8003551237892,116.02054479490059,1319,1329,1319,1329
4,4,0.1385012140051943,0.08172668969928054,382.4776285365088,74.8068544445769,1400,1404,1400,1404
5,5,0.04154489924434388,0.04086328238918213,98.01507505121458,46.521385152213675,1623,1625,1623,1625
6,6,0.08060093311734252,0.040863176567654584,108.06868983225027,26.1379222115006,1636,1638,1638,1638
7,7,0.020308280636518683,0.12258940968604293,147.87266738658838,157.33473687966773,2074,2080,2074,2080
8,8,0.012991538358219614,0.1225893897790229,80.37149483929312,72.68428877432954,2110,2116,2110,2116
9,9,0.01020991739642918,0.12258940485480707,42.392004760490494,48.48677329166835,2366,2372,2366,2372
