,Unnamed: 0,error,flux_gap,flux_model,time,tpf_flags,tpf_time,isflare,new_isflare,new_tpf_flags,tpf_flags_wo_systematics,isflare_wo_systematics,isflare_no_sys_no_thruster
0,0,22.167698863133808,732.0923359619327,732.0923359619327,2228.800417916093,524288,2228.800417916093,0.0,0.0,524288,524288,0.0,False
1,1,22.167698863133808,732.0923359619327,732.0923359619327,2228.8208504212016,0,2228.8208504212016,0.0,0.0,0,0,0.0,False
2,2,22.167698863133808,732.0923359619327,732.0923359619327,2228.8412828258515,0,2228.8412828258515,0.0,0.0,0,0,0.0,False
3,3,22.167698863133808,732.0923359619327,732.0923359619327,2228.86171522957,0,2228.86171522957,0.0,0.0,0,0,0.0,False
4,4,22.167698863133808,732.0923359619327,732.0923359619327,2228.8821476328158,0,2228.8821476328158,0.0,0.0,0,0,0.0,False
5,5,22.167698863133808,732.0923359619327,732.0923359619327,2228.902580035603,0,2228.902580035603,0.0,0.0,0,0,0.0,False
6,6,22.167698863133808,732.0923359619327,732.0923359619327,2228.9230124379246,0,2228.9230124379246,0.0,0.0,0,0,0.0,False
7,7,22.167698863133808,732.0923359619327,732.0923359619327,2228.943444839308,0,2228.943444839308,0.0,0.0,0,0,0.0,False
8,8,22.167698863133808,732.0923359619327,732.0923359619327,2228.9638771402315,0,2228.9638771402315,0.0,0.0,0,0,0.0,False
9,9,22.167698863133808,732.0923359619327,732.0923359619327,2228.9843096406908,0,2228.9843096406908,0.0,0.0,0,0,0.0,False
10,10,22.167698863133808,732.0923359619327,732.0923359619327,2229.004742040212,0,2229.004742040212,0.0,0.0,0,0,0.0,False
11,11,22.167698863133808,732.0923359619327,732.0923359619327,2229.025174339273,0,2229.0251743392732,0.0,0.0,0,0,0.0,False
12,12,22.167698863133808,732.0923359619327,732.0923359619327,2229.04560683787,0,2229.04560683787,0.0,0.0,0,0,0.0,False
13,13,22.167698863133808,732.0923359619327,732.0923359619327,2229.0660392359932,0,2229.066039235993,0.0,0.0,0,0,0.0,False
14,14,22.167698863133808,732.0923359619327,732.0923359619327,2229.0864715331923,0,2229.0864715331923,0.0,0.0,0,0,0.0,False
15,15,22.167698863133808,732.0923359619327,732.0923359619327,2229.106904029926,0,2229.106904029926,0.0,0.0,0,0,0.0,False
16,16,22.160012684255967,732.0923359619327,732.0923359619327,2229.1273364257213,0,2229.1273364257213,0.0,0.0,0,0,0.0,False
17,17,22.19830025369914,732.0923359619327,732.0923359619327,2229.1477689210587,0,2229.1477689210587,0.0,0.0,0,0,0.0,False
18,18,22.23944827976253,732.0923359619327,732.0923359619327,2229.168201215929,0,2229.168201215929,0.0,0.0,0,0,0.0,False
19,19,22.284097294939645,732.0923359619327,732.0923359619327,2229.188633610327,0,2229.188633610327,0.0,0.0,0,0,0.0,False
20,20,22.280968898036214,732.0923359619327,732.0923359619327,2229.209066103802,0,2229.209066103802,0.0,0.0,0,0,0.0,False
21,21,22.36293804559824,732.0923359619327,732.0923359619327,2229.2294983968095,0,2229.2294983968095,0.0,0.0,0,0,0.0,False
22,22,22.26094190191568,732.0923359619327,732.0923359619327,2229.249930789345,0,2229.249930789345,0.0,0.0,0,0,0.0,False
23,23,22.33529662583472,732.0923359619327,732.0923359619327,2229.2703632814228,0,2229.2703632814228,0.0,0.0,0,0,0.0,False
24,24,22.30888173086172,732.0923359619327,732.0923359619327,2229.290795572568,0,2229.290795572568,0.0,0.0,0,0,0.0,False
25,25,22.187716684262547,732.0923359619327,732.0923359619327,2229.3112279632405,0,2229.3112279632405,0.0,0.0,0,0,0.0,False
26,26,18.97700220537112,732.0923359619327,732.0923359619327,2229.3316604529896,0,2229.3316604529896,0.0,0.0,0,0,0.0,False
27,27,18.85306819127789,732.0923359619327,732.0923359619327,2229.352092842266,0,2229.352092842266,0.0,0.0,0,0,0.0,False
28,28,11.989069816304314,732.0923359619327,732.0923359619327,2229.3725252310833,0,2229.3725252310833,0.0,0.0,0,0,0.0,False
29,29,11.397408893513806,732.0923359619327,732.0923359619327,2229.392957619435,0,2229.392957619435,0.0,0.0,0,0,0.0,False
30,30,11.110675719493715,732.0923359619327,732.0923359619327,2229.4133900068555,0,2229.4133900068555,0.0,0.0,0,0,0.0,False
31,31,10.624338181504527,740.6376263467587,732.0923359619327,2229.433822393803,0,2229.433822393803,0.0,0.0,0,0,0.0,False
32,32,11.008671628516495,723.2420896749858,732.0923359619327,2229.454254780292,0,2229.454254780292,0.0,0.0,0,0,0.0,False
33,33,10.578924816442546,740.5942707498482,732.0923359619327,2229.495119651401,0,2229.495119651401,0.0,0.0,0,0,0.0,False
34,34,10.508998502279656,727.1409413139756,732.0923359619327,2229.515551936027,0,2229.515551936027,0.0,0.0,0,0,0.0,False
35,35,11.459884496979905,721.4837670312718,732.0923359619327,2229.535984319722,0,2229.535984319722,0.0,0.0,0,0,0.0,False
36,36,11.538367058643,737.8890923372572,732.0923359619327,2229.556416802945,0,2229.556416802945,0.0,0.0,0,0,0.0,False
37,37,11.478407469060881,746.633284364218,732.0923359619327,2229.576849085708,0,2229.576849085708,0.0,0.0,0,0,0.0,False
38,38,11.553614115054705,743.9314777386708,732.0923359619327,2229.597281467999,8192,2229.597281467999,0.0,0.0,8192,8192,0.0,False
39,39,11.651150094627836,732.2514367618663,732.0923359619327,2229.6177138498315,0,2229.6177138498315,0.0,0.0,0,0,0.0,False
40,40,11.619541275507613,716.9877808892418,732.0923359619327,2229.6381462307327,0,2229.6381462307327,0.0,0.0,0,0,0.0,False
41,41,11.431573618414873,717.2588436693491,732.0923359619327,2229.658578510702,0,2229.658578510702,0.0,0.0,0,0,0.0,False
42,42,11.430802794386006,721.8702233975107,732.0923359619327,2229.679010990665,0,2229.679010990665,0.0,0.0,0,0,0.0,False
43,43,11.54940500712073,739.9430950747618,732.0923359619327,2229.699443369704,0,2229.699443369704,0.0,0.0,0,0,0.0,False
44,44,11.736712319946838,748.5184162677783,732.0923359619327,2229.7403081263765,0,2229.7403081263765,0.0,0.0,0,0,0.0,False
45,45,11.841902191582145,704.9768526010663,732.0923359619327,2229.7607405035524,0,2229.7607405035524,0.0,0.0,0,0,0.0,False
46,46,12.439974136137366,715.2273618086772,732.0923359619327,2229.781172980256,0,2229.781172980256,0.0,0.0,0,0,0.0,False
47,47,12.32561682970077,731.7558132683113,732.0923359619327,2229.8016052565,0,2229.8016052565,0.0,0.0,0,0,0.0,False
48,48,12.260623063545834,738.5995643460913,732.0923359619327,2229.822037631813,0,2229.822037631813,0.0,0.0,0,0,0.0,False
49,49,12.160266031538804,758.3247530329138,732.0923359619327,2229.84247010712,0,2229.84247010712,0.0,0.0,0,0,0.0,False
50,50,12.327010314020141,739.8899311971402,732.0923359619327,2229.862902481036,0,2229.862902481036,0.0,0.0,0,0,0.0,False
51,51,12.419333407953973,723.4221821735695,732.0923359619327,2229.883334754952,0,2229.883334754952,0.0,0.0,0,0,0.0,False
52,52,12.398530896394998,724.7881122629997,732.0923359619327,2229.90376722793,0,2229.90376722793,0.0,0.0,0,0,0.0,False
53,53,16.665957493888097,723.2247062850549,732.0923359619327,2229.9241996004494,0,2229.9241996004494,0.0,0.0,0,0,0.0,False
54,54,17.13545507008731,729.1153480023088,732.0923359619327,2229.944631872502,0,2229.944631872502,0.0,0.0,0,0,0.0,False
55,55,17.335016475813045,727.4091837739792,732.0923359619327,2229.9650643440837,0,2229.9650643440837,0.0,0.0,0,0,0.0,False
56,56,17.16339716567365,731.0494034595198,732.0923359619327,2229.9854967147407,0,2229.9854967147407,0.0,0.0,0,0,0.0,False
57,57,17.014453020287952,720.4275918928819,732.0923359619327,2230.0059289849305,0,2230.0059289849305,0.0,0.0,0,0,0.0,False
58,58,16.954563940283425,716.5238857237483,732.0923359619327,2230.026361454184,0,2230.026361454184,0.0,0.0,0,0,0.0,False
59,59,17.057000206982256,740.934754146195,732.0923359619327,2230.0467938229776,0,2230.0467938229776,0.0,0.0,0,0,0.0,False
60,60,17.03901418902965,751.4671324696228,732.0923359619327,2230.0672262913067,0,2230.0672262913067,0.0,0.0,0,0,0.0,False
61,61,16.413147594236893,727.5223774907097,732.0923359619327,2230.0876585591614,0,2230.0876585591614,0.0,0.0,0,0,0.0,False
62,62,16.059522000796076,734.4732859784773,732.0923359619327,2230.1080909265584,0,2230.1080909265584,0.0,0.0,0,0,0.0,False
63,63,16.437828045032266,726.0156544888582,732.0923359619327,2230.128523393025,0,2230.128523393025,0.0,0.0,0,0,0.0,False
64,64,16.431655914972932,742.4192858206288,732.0923359619327,2230.148955659017,0,2230.1489556590172,0.0,0.0,0,0,0.0,False
65,65,16.15215898996497,744.4610980375661,732.0923359619327,2230.1693880240855,0,2230.1693880240855,0.0,0.0,0,0,0.0,False
66,66,16.12935995735451,726.9223022363024,732.0923359619327,2230.189820488682,0,2230.189820488682,0.0,0.0,0,0,0.0,False
67,67,16.003800444627974,794.0289767145758,732.0923359619327,2230.2306851164903,0,2230.2306851164903,0.0,0.0,0,0,0.0,False
68,68,15.937903432344893,708.2525981187183,732.0923359619327,2230.251117579697,0,2230.251117579697,0.0,0.0,0,0,0.0,False
69,69,16.076356168200466,717.5860284269178,732.0923359619327,2230.2715498419643,0,2230.2715498419643,0.0,0.0,0,0,0.0,False
70,70,16.075026031368793,725.2569708467278,732.0923359619327,2230.291982203773,0,2230.291982203773,0.0,0.0,0,0,0.0,False
71,71,16.181658739289016,740.6301372736534,732.0923359619327,2230.3124146646437,0,2230.3124146646437,0.0,0.0,0,0,0.0,False
72,72,16.22044804967834,740.5937833257843,732.0923359619327,2230.332846925521,0,2230.332846925521,0.0,0.0,0,0,0.0,False
73,73,16.003860185508433,745.359657427081,732.0923359619327,2230.353279285468,0,2230.353279285468,0.0,0.0,0,0,0.0,False
74,74,15.655830892582813,747.9846968375009,732.0923359619327,2230.3737117444834,0,2230.3737117444834,0.0,0.0,0,0,0.0,False
75,75,15.643625683163586,749.3911330896814,732.0923359619327,2230.3941440034905,0,2230.3941440034905,0.0,0.0,0,0,0.0,False
76,76,15.706575711602348,727.5399098526016,732.0923359619327,2230.4145763615743,0,2230.4145763615743,0.0,0.0,0,0,0.0,False
77,77,16.997839688911743,715.8045206146941,732.0923359619327,2230.435008819186,0,2230.435008819186,0.0,0.0,0,0,0.0,False
78,78,17.007259054613495,737.8395668712616,732.0923359619327,2230.4554410763376,0,2230.4554410763376,0.0,0.0,0,0,0.0,False
79,79,18.117005983885946,751.9872597630201,732.0923359619327,2230.4758735325595,0,2230.4758735325595,0.0,0.0,0,0,0.0,False
80,80,19.772303401768447,737.4756841066263,732.0923359619327,2230.496305888315,0,2230.496305888315,0.0,0.0,0,0,0.0,False
81,81,19.735097091017774,737.1050103329183,732.0923359619327,2230.5167381435967,0,2230.5167381435967,0.0,0.0,0,0,0.0,False
82,82,19.6991262163588,728.5879888862773,732.0923359619327,2230.537170597956,0,2230.537170597956,0.0,0.0,0,0,0.0,False
83,83,16.136148795054574,718.6592873125372,732.0923359619327,2230.557602952307,0,2230.557602952307,0.0,0.0,0,0,0.0,False
84,84,15.611477896262395,729.2869191728214,732.0923359619327,2230.5780352057336,0,2230.5780352057336,0.0,0.0,0,0,0.0,False
85,85,15.630118128671976,722.3748524028267,732.0923359619327,2230.5984676582293,8192,2230.5984676582298,0.0,0.0,8192,8192,0.0,False
86,86,15.778028823051205,727.6116361791755,732.0923359619327,2230.618900010726,0,2230.618900010726,0.0,0.0,0,0,0.0,False
87,87,15.819756616950436,736.0844462841006,732.0923359619327,2230.6393322622826,0,2230.6393322622826,0.0,0.0,0,0,0.0,False
88,88,15.80130290321772,741.4891258681737,732.0923359619327,2230.659764713382,0,2230.659764713382,0.0,0.0,0,0,0.0,False
89,89,15.587904776634467,739.7732143470224,732.0923359619327,2230.6801970635424,0,2230.6801970635424,0.0,0.0,0,0,0.0,False
90,90,15.569009871833918,717.3208840579628,732.0923359619327,2230.7210617629457,0,2230.7210617629457,0.0,0.0,0,0,0.0,False
91,91,15.133975324928533,771.2835713909413,732.0923359619327,2230.741494111251,0,2230.741494111251,0.0,0.0,0,0,0.0,False
92,92,15.288277906249625,739.7297001656441,732.0923359619327,2230.7619264595487,0,2230.7619264595487,0.0,0.0,0,0,0.0,False
93,93,15.242208983687785,700.8778290406209,732.0923359619327,2230.7823588069227,0,2230.7823588069227,0.0,0.0,0,0,0.0,False
94,94,15.207110854355085,691.2717401453972,732.0923359619327,2230.802791153823,0,2230.802791153823,0.0,0.0,0,0,0.0,False
95,95,14.709006372528524,742.3189039817381,732.0923359619327,2230.8232235002647,0,2230.8232235002647,0.0,0.0,0,0,0.0,False
96,96,14.603495929109366,731.515859435315,732.0923359619327,2230.843655945777,0,2230.843655945777,0.0,0.0,0,0,0.0,False
97,97,14.48494699729233,724.6567528519867,732.0923359619327,2230.8640881908213,0,2230.8640881908213,0.0,0.0,0,0,0.0,False
98,98,14.500672368344645,723.5040208249196,732.0923359619327,2230.884520535393,0,2230.884520535393,0.0,0.0,0,0,0.0,False
99,99,14.701933293173445,717.0701333182997,732.0923359619327,2230.9049529795084,0,2230.9049529795084,0.0,0.0,0,0,0.0,False
100,100,14.890958919287732,718.5710939342267,732.0923359619327,2230.925385222683,0,2230.925385222683,0.0,0.0,0,0,0.0,False
101,101,14.875674439494693,720.3913988089473,732.0923359619327,2230.9458176654007,0,2230.9458176654007,0.0,0.0,0,0,0.0,False
102,102,14.91962291530824,739.7179280655516,732.0923359619327,2230.966250007652,0,2230.966250007652,0.0,0.0,0,0,0.0,False
103,103,14.860707975400956,726.3873878603513,732.0923359619327,2230.9866822489707,0,2230.9866822489707,0.0,0.0,0,0,0.0,False
104,104,15.856728925507367,712.2062338388263,732.0923359619327,2231.007114689819,0,2231.007114689819,0.0,0.0,0,0,0.0,False
