,Unnamed: 0,Unnamed: 0.1,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0,inf,0.04086419322993606,inf,inf,411,413,411,413,411,413
1,1,1,inf,0.06129627004702343,,,423,426,423,426,423,426
2,2,2,inf,0.12259229329356458,inf,inf,502,508,502,508,502,508
3,3,3,inf,0.12259076033660675,inf,inf,1064,1070,1064,1070,1064,1070
