,Unnamed: 0,Unnamed: 0.1,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0,0.10582821707177248,0.06129687016800745,323.9094228167898,66.70416581300921,172,175,172,175,172,175
1,1,1,0.11614396785200932,0.08172766188363312,288.4748886956805,75.16667946561333,827,831,827,831,827,831
2,2,2,0.022623667733835947,0.06129538598906947,85.50742507635387,19.3831037285975,1122,1124,1122,1124,1122,1124
3,3,3,0.009279327125183829,0.06129472544853343,6.518287938378488,1.699860827352627,2028,2031,2028,2031,2028,2031
4,4,4,0.02871309175133225,0.061294719045690726,112.98258712383652,27.4814069228392,2047,2050,2047,2050,2047,2050
5,5,5,0.2601693396950517,0.04086316175380489,542.7801990460438,120.06846575797218,2893,2895,2893,2895,2893,2895
6,6,6,0.045842157186678015,0.04086309667763999,105.31058936805893,21.205401265888348,3007,3009,3007,3009,3007,3009
