,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.023346304850986564,0.061296273772313725,59.539266234742676,12.488610585904059,405,408,405,408
1,1,0.03205917254249328,0.04086404421104817,103.74147293603144,22.80412118289104,544,546,544,546
2,2,0.019810150946684764,0.06129564256843877,76.09935790677311,17.411577809375643,849,851,849,851
3,3,0.07060150799057809,0.2860462013341021,685.8678426596382,113.57589818276014,883,896,883,896
4,4,0.8187534902683886,0.4290672725837794,2178.7646530627144,391.51492176249326,1141,1161,1141,1161
5,5,0.012670838932043408,0.04086319264024496,33.112898614346825,8.52044512044629,1568,1570,1568,1570
6,6,0.017562837825653616,0.061294917766645085,80.88746111735513,18.12391166806129,2029,2031,2029,2031
7,7,0.0140029497674117,0.061294668637856375,44.167511155166146,9.33175553951882,2297,2300,2297,2300
8,8,0.012123513844256695,0.04086311103310436,35.819679284138864,8.945335277659963,2336,2338,2336,2338
9,9,0.005995622927411042,0.14302106492687014,40.59807345210356,5.992753544287972,2785,2791,2785,2791
10,10,0.00928705382358238,0.08172677770198787,39.27871643494849,6.8966725376882145,3258,3262,3258,3262
