,error,flux_gap,flux_model,time
0,19.407398275902178,5103.797270156818,5103.406985427866,2228.799989313993
1,19.407398275902178,5103.797270156818,5103.406985427866,2228.820421625387
2,19.407398275902178,5103.797270156818,5103.406985427866,2228.8408538367876
3,19.407398275902178,5103.797270156818,5103.406985427866,2228.8612860472567
4,19.407398275902178,5103.797270156818,5103.406985427866,2228.881718257253
5,19.407398275902178,5103.797270156818,5103.406985427866,2228.902150466325
6,19.407398275902178,5103.797270156818,5103.406985427866,2228.9225826753973
7,19.407398275902178,5103.797270156818,5103.406985427866,2228.943014883531
8,19.407398275902178,5103.797270156818,5103.406985427866,2228.963446991671
9,19.407398275902178,5103.797270156818,5103.406985427866,2228.983879298881
10,19.407398275902178,5103.797270156818,5103.406985427866,2229.004311505152
11,19.407398275902178,5103.797270156818,5103.406985427866,2229.0247436114296
12,19.407398275902178,5103.797270156818,5103.406985427866,2229.045175916777
13,19.407398275902178,5103.797270156818,5103.406985427866,2229.065608122117
14,19.407398275902178,5103.797270156818,5103.406985427866,2229.0860402265316
15,19.407398275902178,5103.797270156818,5103.406985427866,2229.1064725304823
16,19.572994819608404,5103.797270156818,5103.406985427866,2229.1269047334936
17,19.503530139809474,5103.797270156818,5103.406985427866,2229.147337036513
18,19.690823772836577,5103.797270156818,5103.406985427866,2229.1677691385994
19,19.647068819000033,5103.797270156818,5103.406985427866,2229.1882013402137
20,19.862400771264824,5103.797270156818,5103.406985427866,2229.2086336413704
21,20.120962593652173,5103.797270156818,5103.406985427866,2229.22906574206
22,20.476863962247077,5103.797270156818,5103.406985427866,2229.2494979418116
23,20.71819192907145,5103.797270156818,5103.406985427866,2229.2699302415713
24,21.093321182305054,5103.797270156818,5103.406985427866,2229.290362340398
25,21.093174851004324,5103.797270156818,5103.406985427866,2229.310794538753
26,21.111507907973305,5103.797270156818,5103.406985427866,2229.33122683665
27,21.07091935623376,5103.797270156818,5103.406985427866,2229.3516590340732
28,20.64486394063051,5103.797270156818,5103.406985427866,2229.3720912305726
