,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.028980021543863012,0.18389028582168976,440.40709461921836,1687.830796060948,118,126,118,126
1,1,0.0014785863218596475,0.2451869293290656,23.40631440878223,72.24699176170499,132,144,132,139
2,2,0.029366741991015563,0.1430245893279789,344.5838311154428,1338.682770097103,444,451,444,451
3,3,-0.0001754326824393199,0.3882091504201526,-17.610429751467112,1.975382702286648,457,476,457,476
4,4,0.00021391629097903883,0.0817278458198416,0.4249847265915208,0.04914663995119965,670,673,670,673
5,5,0.0002606154489701138,0.12259148443990853,1.1707458007514386,9.44315049181828,765,771,765,771
6,6,0.00017534517596093257,0.2656131639596424,-5.4930229125665235,10.897643069409757,1089,1101,1089,1101
7,7,0.005899454277571765,0.4699308968920377,26.20057103997719,4.841220431233597,1107,1129,1107,1129
8,8,0.00118707125600492,0.08172675116657048,2.2082958106487443,0.3854320903762864,1301,1305,1301,1305
9,9,0.00035240556621905485,0.163453262510302,-0.7152294933830085,0.05541159546547122,1500,1508,1500,1508
10,10,0.001344554233211082,0.12259001818893013,10.327315849592237,0.9003673543155805,1521,1527,1521,1527
11,11,0.0007990422149856726,0.1021583413676126,4.2518446538818315,0.3569734496099075,1542,1547,1542,1547
12,12,7.894705463015827e-05,0.2860426089828252,-6.727444903310327,16.148441068246544,1743,1755,1743,1755
13,13,-0.00014238704399815313,0.2656107603397686,-9.9820900287974,17.681457567769577,1761,1774,1761,1774
14,14,0.0014474848624027286,0.040863204390916515,4.084314660199518,0.7839952694075012,1782,1784,1782,1784
15,15,0.000382608246369489,0.04086313384323148,1.2427948522161376,14.224830277881221,2081,2083,2081,2083
16,16,0.04151432803646755,0.08172636513336329,240.55814082976963,1843.3673191836533,2088,2092,2088,2092
17,17,0.019265143789090732,0.10215789526409937,74.91246071500379,14.895257539462655,2207,2212,2207,2212
18,18,0.018413804832740764,0.20431566340994325,122.59680946159749,205.32598264362124,2392,2402,2392,2402
19,19,0.0008144180008337016,0.5107908261634293,-75.81830117014526,14.464300192224961,2986,3005,2986,3005
