,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.23801217247259596,0.28605013988999417,1238.640060477566,229.30947321970916,282,290,282,290
1,1,0.014098932875811869,0.04086383373942226,33.73119500886537,8.242738392290955,742,744,742,744
2,2,0.00921492798401811,0.04086363757232903,22.465905996445365,5.464419089032197,852,854,852,854
3,3,0.03564110682974486,0.061295578540011775,132.84203033190894,27.18341908483139,873,876,873,876
4,4,0.012671651463036159,0.06129537201923085,36.37036092787486,24.92025267863963,1045,1047,1045,1047
5,5,0.003637991855265489,0.04086356388143031,10.505036963347699,26.908751739313768,1069,1071,1069,1071
6,6,0.025300078312943824,0.0612948383713956,65.53765692743508,13.240897913226155,1697,1700,1697,1700
7,7,0.01897098335406627,0.040863294270820916,49.67284413166517,10.79825433921032,1792,1794,1792,1794
8,8,-0.05993524523072233,0.0612947476838599,-330.42040142319,464.6967006046389,1900,1903,1900,1903
9,9,0.0068596794302898225,0.04086304373777239,17.907280179435848,21.682699621453324,2000,2002,2000,2002
10,10,0.03936869183601936,0.12258944495988545,184.67242278433378,54.40734334335446,2234,2236,2234,2236
11,11,0.03099226462571793,0.04086324293166399,91.38378731943098,20.133743516930217,2948,2950,2948,2950
