,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.3148292810697832,0.04086364071554272,778.685567987165,172.9222787379577,955,957,955.0,957.0
1,1,-0.015247709890571032,0.040863626054488116,-86.52259520351845,149.6873362347981,968,970,968.0,970.0
2,2,9.180302870853023,0.06129515059728874,33688.68428022669,7026.4019788728465,1228,1231,1270.0,1275.0
3,3,0.4658951707103203,0.12259011249261675,1647.6962327728281,659.9623676830461,1270,1275,1298.0,1300.0
4,4,0.3127658612355155,0.04086338949127821,948.8829761639917,209.15598088759862,1298,1300,1324.0,1326.0
5,5,7.498510822570718,0.04086327412369428,18928.331252731547,4161.029496010782,1324,1326,1383.0,1390.0
6,6,8.875619216193291,0.14302178674552124,16830.075643819247,3229.9794620131524,1383,1390,1443.0,1453.0
7,7,0.19749150767735832,0.2451798522088211,1101.0130821080163,198.9330550510268,1443,1453,1486.0,1488.0
8,8,1.2596129617792995,0.0408632907710853,4087.007405644632,2595.479885126547,1486,1488,1768.0,1778.0
9,9,0.5311969835786747,0.2043159224340343,468.74602224181257,91.47805322799532,1768,1778,1807.0,1811.0
10,10,1.5812963223536483,0.08172644859587308,10763.635400071309,8407.581073691825,1807,1811,1859.0,1867.0
11,11,0.4814854039121676,0.1634526432972052,5072.711642024352,7268.757669359641,1859,1867,1959.0,1974.0
12,12,0.36386089498274027,0.3269052152390941,321.78011904449954,61.715781705262486,1959,1974,,
