,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.064034549932057,0.04086432221811265,167.1243884096756,35.50457021051081,197,199,197.0,199.0
1,1,-0.0026103127001427125,0.06129586446331814,-34.872504703975636,7.6337105881336775,602,605,714.0,723.0
2,2,0.14486151978906486,0.1838871360887424,850.5986164745071,151.38245468291828,714,723,742.0,745.0
3,3,0.0441846798631549,0.0612956784243579,160.29250958257083,30.342107050782047,742,745,1243.0,1245.0
4,4,0.17038655373783665,0.04086351859587012,437.1977297062371,94.7078965834582,1243,1245,1706.0,1717.0
5,5,0.6479599788349875,0.2451792242645752,2855.875639632733,512.1130631013469,1706,1717,1804.0,1808.0
6,6,0.10398562504687828,0.0817263502322021,282.07824451383294,55.394274664016685,1804,1808,1867.0,1869.0
7,7,0.059221591614534864,0.04086325933894841,161.79700979587014,36.491486161006385,1867,1869,2288.0,2291.0
8,8,0.041288285440619465,0.06129466043785215,76.70694273142728,15.975873449981432,2288,2291,2535.0,2537.0
9,9,0.5872814736265117,0.04086302370706108,652.0020267839595,144.65984279426002,2535,2537,,
