,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.01931071180060335,0.0612964581741835,33.49930474261413,7.030795630831753,269,272,269,272
1,1,0.022488157246113787,0.04086403222027002,64.31105653602668,14.615691676759656,433,435,433,435
2,2,0.036629983904248924,0.08172775117418496,168.78996472976377,32.124217002694394,751,755,751,755
3,3,0.003076807197847771,0.040863414986233686,7.421547803684237,17.273866666742318,1146,1148,1146,1148
4,4,0.06271267265390354,0.040863607071514714,153.1277867655971,32.64187305899179,1158,1160,1158,1160
5,5,0.09435805847062308,0.26561037464853143,436.9082328951567,76.32830368334501,2374,2386,2374,2386
6,6,0.01456020020690423,0.04086311338323867,38.0021391759304,9.261417941586657,2536,2538,2536,2538
7,7,0.04647660131128385,0.3473373852466466,416.9701390317358,64.4745829066497,2913,2929,2913,2929
8,8,0.006194399961514488,0.04086321633076295,17.097956478632135,25.697020099160103,2972,2974,2972,2974
9,9,0.021814570375843216,0.06129479442461161,75.59751402809256,14.112063438365235,3090,3093,3090,3093
