,Unnamed: 0,error,flux_gap,flux_model,time,tpf_flags,tpf_time,isflare,new_isflare,new_tpf_flags,tpf_flags_wo_systematics,isflare_wo_systematics,isflare_no_sys_no_thruster
0,0,144.3371750672413,2555412.780105398,2555412.784910201,2228.8001962669077,524288,2228.8001962669077,0.0,0.0,524288,524288,0.0,False
1,1,144.3371750672413,2555412.780105398,2555412.784910201,2228.8206286760906,0,2228.8206286760906,0.0,0.0,0,0,0.0,False
2,2,144.3371750672413,2555412.780105398,2555412.784910201,2228.8410609843486,0,2228.8410609843486,0.0,0.0,0,0,0.0,False
3,3,144.3371750672413,2555412.780105398,2555412.784910201,2228.861493292141,0,2228.861493292141,0.0,0.0,0,0,0.0,False
4,4,144.3371750672413,2555412.780105398,2555412.784910201,2228.8819255994604,0,2228.8819255994604,0.0,0.0,0,0,0.0,False
5,5,144.3371750672413,2555412.780105398,2555412.784910201,2228.902357905856,0,2228.902357905856,0.0,0.0,0,0,0.0,False
6,6,144.3371750672413,2555412.780105398,2555412.784910201,2228.922790212251,0,2228.922790212251,0.0,0.0,0,0,0.0,False
7,7,144.3371750672413,2555412.780105398,2555412.784910201,2228.943222517708,8192,2228.943222517708,0.0,0.0,8192,8192,0.0,False
8,8,144.3371750672413,2555412.780105398,2555412.784910201,2228.96365472224,0,2228.96365472224,0.0,0.0,0,0,0.0,False
9,9,144.3371750672413,2555412.780105398,2555412.784910201,2228.9840871267734,0,2228.9840871267734,0.0,0.0,0,0,0.0,False
10,10,144.3371750672413,2555412.780105398,2555412.784910201,2229.0045194303675,0,2229.0045194303675,0.0,0.0,0,0,0.0,False
11,11,144.3371750672413,2555412.780105398,2555412.784910201,2229.0249516335025,0,2229.0249516335025,0.0,0.0,0,0,0.0,False
12,12,144.3371750672413,2555412.780105398,2555412.784910201,2229.0453840361733,8192,2229.0453840361733,0.0,0.0,8192,8192,0.0,False
13,13,144.3371750672413,2555412.780105398,2555412.784910201,2229.0658163383705,0,2229.0658163383705,0.0,0.0,0,0,0.0,False
14,14,144.3371750672413,2555412.780105398,2555412.784910201,2229.086248539643,0,2229.086248539643,0.0,0.0,0,0,0.0,False
15,15,144.3371750672413,2555412.780105398,2555412.784910201,2229.106680940451,0,2229.106680940451,0.0,0.0,0,0,0.0,False
16,16,142.60424905295082,2555412.780105398,2555412.784910201,2229.127113240785,0,2229.127113240785,0.0,0.0,0,0,0.0,False
17,17,142.60032498710825,2555412.780105398,2555412.784910201,2229.1475456401968,0,2229.1475456401968,0.0,0.0,0,0,0.0,False
18,18,141.450450785971,2555412.780105398,2555412.784910201,2229.1679778396065,0,2229.1679778396065,0.0,0.0,0,0,0.0,False
19,19,142.5261118673324,2555412.780105398,2555412.784910201,2229.188410138079,0,2229.188410138079,0.0,0.0,0,0,0.0,False
20,20,147.15230609569474,2555412.780105398,2555412.784910201,2229.208842536093,0,2229.208842536093,0.0,0.0,0,0,0.0,False
21,21,149.16809980180324,2555412.780105398,2555412.784910201,2229.229274733174,0,2229.229274733174,0.0,0.0,0,0,0.0,False
22,22,149.3006421940566,2555412.780105398,2555412.784910201,2229.249707030249,0,2229.249707030249,0.0,0.0,0,0,0.0,False
23,23,149.10101298453085,2555412.780105398,2555412.784910201,2229.2701394264004,0,2229.2701394264004,0.0,0.0,0,0,0.0,False
24,24,147.6405644965664,2555412.780105398,2555412.784910201,2229.290571622085,0,2229.290571622085,0.0,0.0,0,0,0.0,False
25,25,147.86551072531583,2555412.780105398,2555412.784910201,2229.3110039168314,0,2229.3110039168314,0.0,0.0,0,0,0.0,False
26,26,137.87686432665396,2555412.780105398,2555412.784910201,2229.331436311586,0,2229.331436311586,0.0,0.0,0,0,0.0,False
27,27,139.45974441109792,2555412.780105398,2555412.784910201,2229.3518686054013,0,2229.3518686054013,0.0,0.0,0,0,0.0,False
28,28,138.36503451614,2555412.780105398,2555412.784910201,2229.372300898758,8192,2229.372300898758,0.0,0.0,8192,8192,0.0,False
29,29,145.28366781427184,2555412.780105398,2555412.784910201,2229.392733191184,8192,2229.392733191184,0.0,0.0,8192,8192,0.0,False
30,30,151.30478262813813,2555412.780105398,2555412.784910201,2229.413165483609,0,2229.413165483609,0.0,0.0,0,0,0.0,False
31,31,150.53226327568672,2555425.60502208,2555412.784910201,2229.433597775096,0,2229.433597775096,0.0,0.0,0,0,0.0,False
32,32,150.5240580078566,2555378.221077941,2555412.784910201,2229.4540300661247,8192,2229.4540300661247,0.0,0.0,8192,8192,0.0,False
33,33,150.74349382901732,2555520.066381216,2555412.784910201,2229.494894746313,0,2229.494894746313,0.0,0.0,0,0,0.0,False
34,34,151.94723020959069,2555218.873468461,2555412.784910201,2229.5153269359434,0,2229.5153269359434,0.0,0.0,0,0,0.0,False
35,35,152.30785909123546,2555549.4207835267,2555412.784910201,2229.5357592246437,0,2229.5357592246437,0.0,0.0,0,0,0.0,False
36,36,157.87550271768313,2555464.355091134,2555412.784910201,2229.556191612406,0,2229.556191612406,0.0,0.0,0,0,0.0,False
37,37,158.00859415723366,2555501.55573497,2555412.784910201,2229.5766238001747,0,2229.5766238001747,0.0,0.0,0,0,0.0,False
38,38,154.2759367706463,2555196.9308923227,2555412.784910201,2229.5970560870046,0,2229.5970560870046,0.0,0.0,0,0,0.0,False
