,Unnamed: 0,error,flux_gap,flux_model,time,tpf_flags,tpf_time,isflare,new_isflare,new_tpf_flags,tpf_flags_wo_systematics,isflare_wo_systematics,isflare_no_sys_no_thruster
0,0,875.4392887351268,24449.212350520138,24448.540184388155,2228.8001345206867,524288,2228.8001345206867,0.0,0.0,524288,524288,0.0,False
1,1,875.4392887351268,24449.212350520138,24448.540184388155,2228.820566897273,0,2228.820566897273,0.0,0.0,0,0,0.0,False
2,2,875.4392887351268,24449.212350520138,24448.540184388155,2228.840999172935,0,2228.840999172935,0.0,0.0,0,0,0.0,False
3,3,875.4392887351268,24449.212350520138,24448.540184388155,2228.861431447665,0,2228.861431447665,0.0,0.0,0,0,0.0,False
4,4,875.4392887351268,24449.212350520138,24448.540184388155,2228.8818637223885,0,2228.8818637223885,0.0,0.0,0,0,0.0,False
5,5,875.4392887351268,24449.212350520138,24448.540184388155,2228.9022959966533,0,2228.9022959966533,0.0,0.0,0,0,0.0,False
6,6,875.4392887351268,24449.212350520138,24448.540184388155,2228.9227282699867,0,2228.9227282699867,0.0,0.0,0,0,0.0,False
7,7,875.4392887351268,24449.212350520138,24448.540184388155,2228.943160542847,0,2228.943160542847,0.0,0.0,0,0,0.0,False
8,8,875.4392887351268,24449.212350520138,24448.540184388155,2228.963592714783,0,2228.963592714783,0.0,0.0,0,0,0.0,False
9,9,875.4392887351268,24449.212350520138,24448.540184388155,2228.98402508672,0,2228.98402508672,0.0,0.0,0,0,0.0,False
10,10,875.4392887351268,24449.212350520138,24448.540184388155,2229.004457357718,0,2229.004457357718,0.0,0.0,0,0,0.0,False
11,11,875.4392887351268,24449.212350520138,24448.540184388155,2229.024889528257,0,2229.024889528257,0.0,0.0,0,0,0.0,False
12,12,875.4392887351268,24449.212350520138,24448.540184388155,2229.045321898331,0,2229.045321898331,0.0,0.0,0,0,0.0,False
13,13,875.4392887351268,24449.212350520138,24448.540184388155,2229.065754167932,0,2229.065754167932,0.0,0.0,0,0,0.0,False
