,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
233,211040347.0,2.01526064735913e+27,1.16007728127667e+27,3030.0,3249.0,3000.0,153.69800311615816,35.54176129480781,1.2328448559288895e+31,6.771904484550253e+30,2.428571428571429,4.3541940633925055e+31,307,0.5492908902513892
30,210880560.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,87.20674138916624,945.9566038347668,1.7408460991746483e+31,1.9508537917083512e+32,3.5,4.367860474751779e+31,307,11.20635415521952
231,211040347.0,2.01526064735913e+27,1.16007728127667e+27,3030.0,3249.0,3000.0,315.4568045025636,155.04600018001088,2.530347114560951e+31,2.0484261287824535e+31,2.3333333333333335,5.525152176285513e+31,307,0.8095435274451991
220,211038588.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,69.73620715883305,14.881929678486493,1.3920942609463368e+31,7.969318698409396e+30,3.666666666666667,5.581856435621086e+31,307,0.5724697617093761
26,210877263.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,93.18308248528953,20.37448263839811,1.8601475421456138e+31,1.074638077587164e+31,3.5999999999999996,5.631046049059975e+31,307,0.5777165806684383
142,211011910.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,87.61584388893947,19.055403078682613,1.7490127211530415e+31,1.008401433143794e+31,4.2,5.836577043834789e+31,307,0.5765546590644592
185,211029076.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,130.08052144038243,30.726579679957414,2.5967048501163925e+31,1.545762722535401e+31,4.0,6.0381802709202715e+31,307,0.5952785594658997
116,211005799.0,6.372813724560239e+27,2.2744616118030298e+27,3100.0,3249.0,3000.0,281.02114921799995,75.19248241855551,4.202965916072624e+31,2.754992274918563e+31,4.666666666666667,6.213207388796091e+31,307,0.6554876556060464
212,211035282.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,161.75248784071408,33.09577806413269,3.2289497692925317e+31,1.8200753533941433e+31,1.7142857142857142,7.081371175979058e+31,307,0.5636740994558502
71,210965709.0,6.372813724560239e+27,2.2744616118030298e+27,3100.0,3249.0,3000.0,191.1240539502467,70.04537703961068,2.858460606007158e+31,2.156452912120698e+31,3.142857142857143,7.087172035667485e+31,307,0.754410575954356
325,211065494.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,95.9233572158266,21.84171533487444,1.9148496958935e+31,1.1235691137706008e+31,3.666666666666667,7.131129086015295e+31,307,0.586766217829084
85,210977069.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,172.55499284727932,42.3590513927533,3.444592486844296e+31,2.0824215740918917e+31,2.428571428571429,7.627570206768053e+31,307,0.6045480218763603
183,211027758.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,145.74250912764882,32.909162169726365,2.9093539611412683e+31,1.70159390477942e+31,2.75,7.6323890269005105e+31,307,0.5848700183981486
368,211078239.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,184.81772928810688,41.05997323101605,3.6893847650347693e+31,2.1443857234751684e+31,3.25,7.75465005116132e+31,307,0.5812312512910156
33,210882573.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,174.96251665233905,38.12663082584234,3.4926521707396627e+31,2.015189400726374e+31,3.666666666666667,8.526947433653393e+31,307,0.5769796997276152
31,210882573.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,180.40071755208083,36.661623727437494,3.601211104051895e+31,2.0249243899636937e+31,3.666666666666667,8.526947433653393e+31,307,0.5622898329079776
281,211059734.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,240.94325093032705,53.24674620493196,4.80977859994464e+31,2.789957560479442e+31,2.3333333333333335,8.589163475738145e+31,307,0.5800594564813345
13,210833622.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,3249.0,3000.0,99.2744345442139,28.16090563218218,1.981744867095028e+31,1.273734430483345e+31,2.2857142857142856,9.188978525448982e+31,307,0.6427338108111105
