,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,logE,low_yerr,maxenerg,n_obj,nflares
447,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.8893900151185297,-5.898774513064754,32.30256721053839,6.105002125456578,3.104128995695364e+33,740,123
154,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.8928505472280364,-5.898741919146744,32.308518817819,6.105054534554246,3.104128995695364e+33,740,123
445,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.8963388750738575,-5.898128884473373,32.31796045570227,6.106042172877265,3.104128995695364e+33,740,123
225,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.8998554487966945,-5.898004414312422,32.32158691060232,6.106243147517334,3.104128995695364e+33,740,123
519,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.903400729561344,-5.8974332665356215,32.32798736155397,6.107167281230483,3.104128995695364e+33,740,123
395,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9069751899196428,-5.897801888116343,32.32829039714363,6.106570476801173,3.104128995695364e+33,740,123
446,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.910579314188468,-5.897188383790144,32.341785304773055,6.10756448488368,3.104128995695364e+33,740,123
19,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9142135988435616,-5.897237956672017,32.345056407289235,6.107484029473465,3.104128995695364e+33,740,123
119,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.917878552929967,-5.896657951747278,32.34750737632912,6.10842687191666,3.104128995695364e+33,740,123
126,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.921574698489931,-5.896078126528644,32.35191922921082,6.109372736168,3.104128995695364e+33,740,123
195,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.925302571009174,-5.8956357367521015,32.3547729737045,6.110096643222039,3.104128995695364e+33,740,123
311,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.929062719882481,-5.894965949446108,32.366219385392625,6.111196364175705,3.104128995695364e+33,740,123
404,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.93285570889962,-5.8950968265286185,32.36895077968348,6.110981125178947,3.104128995695364e+33,740,123
64,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9366821167526727,-5.895068475666292,32.38040461671861,6.111027736139453,3.104128995695364e+33,740,123
386,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.940542537565911,-5.8949277644543905,32.39003980893612,6.111259195125261,3.104128995695364e+33,740,123
310,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.944437581449435,-5.895333523525082,32.392794321703356,6.110592291144904,3.104128995695364e+33,740,123
205,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9483678750778677,-5.894772832976629,32.3957820918721,6.111514274941618,3.104128995695364e+33,740,123
452,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.952334062295469,-5.894278971453009,32.4011631097804,6.112328980871454,3.104128995695364e+33,740,123
237,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9563368047491427,-5.894104124136109,32.40188514404946,6.112618009534912,3.104128995695364e+33,740,123
372,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.960376782550883,-5.894458552909139,32.4193302876973,6.11203244759555,3.104128995695364e+33,740,123
345,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.964454694971322,-5.8939794902411276,32.41992792098232,6.112824222265793,3.104128995695364e+33,740,123
12,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9685712611661543,-5.8935195763242,32.420378820822506,6.113586533571277,3.104128995695364e+33,740,123
499,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9727272209373123,-5.892906114842868,32.421632688533705,6.114606699949709,3.104128995695364e+33,740,123
453,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9769233355309206,-5.892298350885743,32.42437628547697,6.115621187188629,3.104128995695364e+33,740,123
370,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.981160388474175,-5.892117226163963,32.43363781817834,6.115924256986464,3.104128995695364e+33,740,123
98,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.98543918645345,-5.8914451365338,32.438038978864824,6.117051802196123,3.104128995695364e+33,740,123
152,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9897605602360926,-5.890649403542443,32.4486073168296,6.118392843967559,3.104128995695364e+33,740,123
53,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.994125365638543,-5.889958266385522,32.44937113066339,6.1195629850740225,3.104128995695364e+33,740,123
298,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-3.9985344845435975,-5.889144520869557,32.44966169862958,6.120947163796427,3.104128995695364e+33,740,123
48,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.002988825969847,-5.889136536690115,32.4610665625816,6.120960779614248,3.104128995695364e+33,740,123
233,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.007489327196524,-5.888645674942857,32.467517695015545,6.121799173331785,3.104128995695364e+33,740,123
401,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.012036954947245,-5.887917379959605,32.47243869260891,6.123047847716689,3.104128995695364e+33,740,123
402,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.016632706636394,-5.887699947518127,32.47874988014747,6.123421743412229,3.104128995695364e+33,740,123
121,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.021277611682158,-5.8872508181069545,32.482891806756946,6.124195678944282,3.104128995695364e+33,740,123
95,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.025972732890537,-5.886523995282669,32.4870400627295,6.125452765760292,3.104128995695364e+33,740,123
302,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.030719167914999,-5.88654457145777,32.50562437987855,6.125417098865896,3.104128995695364e+33,740,123
518,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.035518050796767,-5.885663351219122,32.507392750407305,6.126948762077807,3.104128995695364e+33,740,123
204,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.040370553591179,-5.886482375042382,32.515695733844694,6.125524924716586,3.104128995695364e+33,740,123
466,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.0452778880859235,-5.886440645613511,32.529390227857,6.125597291961415,3.104128995695364e+33,740,123
428,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.050241307617474,-5.885882858497512,32.54756876935133,6.126566436450222,3.104128995695364e+33,740,123
268,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.055262108992525,-5.886537314642017,32.547728312342485,6.1254296773568475,3.104128995695364e+33,740,123
421,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.0603416345218,-5.885642252507305,32.5523492201391,6.126985538568775,3.104128995695364e+33,740,123
43,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.065481274174211,-5.884740020298594,32.570563516334936,6.1285627909606015,3.104128995695364e+33,740,123
123,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.070682467860019,-5.883936320406338,32.572812903144566,6.129975408877121,3.104128995695364e+33,740,123
469,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.075946707852376,-5.882906972202016,32.573920041456134,6.131795217682722,3.104128995695364e+33,740,123
444,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.081275541357443,-5.882105542756607,32.574563855626,6.133220387797722,3.104128995695364e+33,740,123
309,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.086670573244149,-5.88100807589378,32.57495665525282,6.135183913103086,3.104128995695364e+33,740,123
539,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.092133468945651,-5.880003182227565,32.5787324439123,6.136994015847546,3.104128995695364e+33,740,123
387,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.097665957545612,-5.879142124263851,32.586071044624035,6.138554408095393,3.104128995695364e+33,740,123
150,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.10326983506361,-5.87821510764041,32.58709994503404,6.140244101736032,3.104128995695364e+33,740,123
283,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.108946967955301,-5.8772517755856,32.59206999821263,6.142010830279519,3.104128995695364e+33,740,123
273,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.1146992968443925,-5.876281462717838,32.59488966130975,6.143801647216028,3.104128995695364e+33,740,123
90,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.120528840505116,-5.875079004207119,32.59536544188511,6.146036807922447,3.104128995695364e+33,740,123
157,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.126437700115637,-5.874037801192367,32.59614617956148,6.14798660070208,3.104128995695364e+33,740,123
384,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.132428063804824,-5.873564289631196,32.599652410400644,6.14887777299153,3.104128995695364e+33,740,123
211,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.138502211517017,-5.87255428137235,32.60233112687964,6.150788058596627,3.104128995695364e+33,740,123
399,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.144662520221836,-5.871519636617043,32.604120979011,6.152758335329915,3.104128995695364e+33,740,123
159,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.150911469498837,-5.871242530257293,32.61068519615474,6.1532883510286975,3.104128995695364e+33,740,123
287,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.157251647529856,-5.869987513985217,32.61629413426733,6.155701191999508,3.104128995695364e+33,740,123
435,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.163685757535266,-5.868697053259353,32.621891944854205,6.158203578868557,3.104128995695364e+33,740,123
485,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.170216624694223,-5.867452585808902,32.637868938840526,6.160637625559495,3.104128995695364e+33,740,123
217,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.176847203593237,-5.866926387121734,32.638014808237955,6.1616730431331925,3.104128995695364e+33,740,123
189,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.183580586252205,-5.867720317168949,32.641288455127935,6.160112228424705,3.104128995695364e+33,740,123
275,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.1904200107825105,-5.866669135645548,32.64505001071961,6.162180602583847,3.104128995695364e+33,740,123
238,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.197368870737838,-5.865127252540067,32.646943823173494,6.16524160511541,3.104128995695364e+33,740,123
1,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.2044307252253255,-5.864686964771958,32.64964749486694,6.166121662699231,3.104128995695364e+33,740,123
338,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.211609309852449,-5.863575697060631,32.651730209516266,6.168354850575903,3.104128995695364e+33,740,123
31,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.218908548593948,-5.862951427027709,32.66080786323431,6.169616953323785,3.104128995695364e+33,740,123
93,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.226332566673156,-5.864142982825655,32.67119015267061,6.167212692478166,3.104128995695364e+33,740,123
467,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.233885704563601,-5.863741311370135,32.67148025435276,6.168020942254476,3.104128995695364e+33,740,123
313,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.241572533229892,-5.862178548289442,32.67695435068004,6.171187128960231,3.104128995695364e+33,740,123
108,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.2493978707418485,-5.86051855410472,32.67900558892746,6.174588429036961,3.104128995695364e+33,740,123
451,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.2573668004131235,-5.85871485093239,32.680674574994114,6.178329589579109,3.104128995695364e+33,740,123
438,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.2654846906353034,-5.857339778273396,32.68547189478195,6.181214082993639,3.104128995695364e+33,740,123
475,7000.0,3000.0,-2.1731599481258943,0.026925149571148794,40.07536286447658,0.8781012517944004,M44,-4.273757216601293,-5.855648169214991,32.70432571499265,6.184801757115659,3.104128995695364e+33,740,123
