,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
51,211931651.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,404.55844781029646,72.89484096506317,8.075912303795799e+31,4.35493789255053e+31,2.3333333333333335,4.363351071783791e+31,248,0.5392502702764175
52,211931651.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,95.7828693777851,21.103091881519653,1.9120452371906527e+31,1.1078175122220404e+31,2.3333333333333335,4.408228299688566e+31,248,0.5793887564343115
53,211931651.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,78.27304898297646,92.8482639275927,1.5625091572272502e+31,2.414508590254081e+31,2.0,5.079947409364705e+31,248,1.5452764414761868
154,212088298.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,201.58900799165403,44.71806317930264,4.0241778629553898e+31,2.3376225760198885e+31,2.444444444444444,6.941517209257012e+31,248,0.5808944474196572
65,211945502.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,182.89888142667496,39.179877755012605,3.6510801711321475e+31,2.0931008169794787e+31,4.333333333333333,8.814437116064796e+31,248,0.573282622914971
32,211898716.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,294.25040756861296,56.687397803269484,5.873911420568312e+31,3.240735353469035e+31,1.875,1.0365054371513184e+32,248,0.5517167559117683
4,211748286.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,223.4674612193104,49.44086102810671,4.460921850296628e+31,2.5887205899092423e+31,1.7999999999999998,1.1683326940214284e+32,248,0.5803106794478154
148,212078299.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,230.08269883631192,45.5245691788984,4.592977129707643e+31,2.55795907887816e+31,4.0,1.1991221937582942e+32,248,0.5569283291948336
145,212031039.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,212.95415164153223,49.30078539897131,4.251052135222464e+31,2.510567162584722e+31,1.7999999999999998,1.2370989804301692e+32,248,0.5905754817220891
149,212078299.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3249.0,3000.0,284.33814610653167,62.78803194268902,5.676040001164409e+31,3.291468959516515e+31,2.111111111111111,1.3224893857296677e+32,248,0.5798882599208758
