,error,flux_gap,flux_model,time,tpf_flags,tpf_time
0,6.628816194679833,1740.655016517078,1740.655016517078,2306.6309730313587,0,2306.6309730313587
1,6.628816194679833,1740.655016517078,1740.655016517078,2306.6514049914185,0,2306.6514049914185
2,6.628816194679833,1740.655016517078,1740.655016517078,2306.671837051479,0,2306.671837051479
3,6.628816194679833,1740.655016517078,1740.655016517078,2306.6922692110675,0,2306.6922692110675
4,6.628816194679833,1740.655016517078,1740.655016517078,2306.7127011697307,0,2306.7127011697303
5,6.628816194679833,1740.655016517078,1740.655016517078,2306.7331333283946,0,2306.7331333283946
6,6.628816194679833,1740.655016517078,1740.655016517078,2306.7535652865845,0,2306.7535652865845
7,6.628816194679833,1740.655016517078,1740.655016517078,2306.773997344317,0,2306.7739973443167
8,6.628816194679833,1740.655016517078,1740.655016517078,2306.7944295015773,0,2306.794429501577
9,6.628816194679833,1740.655016517078,1740.655016517078,2306.8148614588426,0,2306.8148614588426
10,6.628816194679833,1740.655016517078,1740.655016517078,2306.835293515178,0,2306.835293515178
11,6.628816194679833,1740.655016517078,1740.655016517078,2306.8557256710487,0,2306.8557256710483
12,6.628816194679833,1740.655016517078,1740.655016517078,2306.8761576269103,0,2306.87615762691
13,6.628816194679833,1740.655016517078,1740.655016517078,2306.896589681848,0,2306.896589681848
14,6.628816194679833,1740.655016517078,1740.655016517078,2306.91702183678,0,2306.91702183678
15,6.628816194679833,1740.655016517078,1740.655016517078,2306.937453890787,0,2306.937453890787
16,6.651038884774642,1740.655016517078,1740.655016517078,2306.957885944794,0,2306.957885944794
17,6.648828388929592,1740.655016517078,1740.655016517078,2306.978317998335,0,2306.978317998335
18,6.436097377657871,1740.655016517078,1740.655016517078,2306.9987500514035,0,2306.9987500514035
19,6.421828706250683,1740.655016517078,1740.655016517078,2307.019182104013,0,2307.0191821040135
20,6.413360959030924,1740.655016517078,1740.655016517078,2307.0396141561505,0,2307.0396141561505
21,6.442554932327192,1740.655016517078,1740.655016517078,2307.060046207829,0,2307.060046207829
22,6.374407906792513,1740.655016517078,1740.655016517078,2307.080478359043,0,2307.080478359043
23,6.433465477339863,1740.655016517078,1740.655016517078,2307.100910309789,0,2307.1009103097895
24,6.464041191460577,1740.655016517078,1740.655016517078,2307.121342360529,0,2307.1213423605295
25,6.870804475279822,1740.655016517078,1740.655016517078,2307.1417745103463,8192,2307.1417745103463
26,6.757379464726406,1740.655016517078,1740.655016517078,2307.1622064601543,0,2307.1622064601543
27,6.845752754319726,1740.655016517078,1740.655016517078,2307.1826386090397,0,2307.1826386090397
28,6.9318327576903656,1740.655016517078,1740.655016517078,2307.2030706579244,0,2307.2030706579244
29,7.0988277589027575,1740.655016517078,1740.655016517078,2307.223502606343,0,2307.2235026063427
30,7.151207501694564,1740.655016517078,1740.655016517078,2307.243934754289,0,2307.2439347542895
31,6.296435856541188,1740.655016517078,1740.655016517078,2307.264366801777,0,2307.264366801777
32,5.731157072933709,1740.655016517078,1740.655016517078,2307.2847987487908,0,2307.284798748791
33,5.722850422915702,1741.6084245859797,1740.655016517078,2307.3052308953484,0,2307.3052308953484
34,6.1227005562805585,1743.8305685515372,1740.655016517078,2307.325662941439,0,2307.325662941439
35,6.9483437469849525,1743.1239672316822,1740.655016517078,2307.346094887529,0,2307.346094887529
36,6.966276761582078,1742.371921537253,1740.655016517078,2307.366527032682,0,2307.366527032682
37,6.962933197641656,1745.706438190519,1740.655016517078,2307.386959077376,0,2307.3869590773756
38,6.857545895223434,1747.4270330135143,1740.655016517078,2307.407391122062,0,2307.407391122062
39,6.825662627689173,1755.6739667736456,1740.655016517078,2307.42782316629,0,2307.42782316629
40,6.702821042432142,1747.5431578155067,1740.655016517078,2307.448255209587,0,2307.448255209587
41,6.551687836704744,1748.067089021072,1740.655016517078,2307.4686872528764,0,2307.4686872528764
42,6.376626674070012,1748.311275391922,1740.655016517078,2307.4891192957075,0,2307.4891192957075
43,5.979424352070367,1752.1147724783816,1740.655016517078,2307.509551338073,0,2307.509551338073
44,5.764140831655004,1734.155815957508,1740.655016517078,2307.5504154213995,0,2307.5504154213995
45,5.676745905136608,1747.8900981101528,1740.655016517078,2307.5708474628336,0,2307.5708474628336
46,5.497249154005419,1743.3069790629452,1740.655016517078,2307.59127960333,0,2307.59127960333
47,5.523572720457567,1740.4076447862576,1740.655016517078,2307.611711543832,0,2307.611711543832
48,5.6014203022807445,1753.8960336767102,1740.655016517078,2307.632143583404,0,2307.6321435834034
49,5.926550485894879,1760.1923789715256,1740.655016517078,2307.6525757229683,0,2307.6525757229683
50,5.950618414070162,1740.005204067427,1740.655016517078,2307.673007662073,0,2307.6730076620734
51,6.102761365698012,1743.255268039395,1740.655016517078,2307.6934397002483,0,2307.693439700248
52,6.237250002918211,1747.9602044407925,1740.655016517078,2307.7138718384163,0,2307.713871838416
53,6.6685881634587565,1743.4771654768897,1740.655016517078,2307.734303776124,0,2307.734303776124
54,6.759348128877081,1738.6505954305374,1740.655016517078,2307.7547359133678,0,2307.7547359133678
55,6.349448744871317,1747.720924698665,1740.655016517078,2307.775167950604,0,2307.7751679506036
56,6.435722251581782,1740.797715437775,1740.655016517078,2307.795599886915,0,2307.7955998869147
57,6.365990774423584,1742.9403719993568,1740.655016517078,2307.8160320227616,0,2307.8160320227616
58,6.258876129508294,1741.7212741239905,1740.655016517078,2307.8364640586005,0,2307.8364640586005
59,5.975548274501859,1742.5072144270462,1740.655016517078,2307.8568959939803,0,2307.8568959939803
