,Unnamed: 0,Unnamed: 0.1,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0,0.3387463074883572,0.04086397750506876,821.7900484849444,180.25874466262943,399,401,399,401,399,401
1,1,1,0.23081776985747404,0.04086371848825365,523.4506056721364,117.44192230453699,612,614,612,614,612,614
