,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.037441651644356685,0.08172716327680972,159.2475242896406,30.606227311093807,705,709,705,709
1,1,0.00017482530673731408,0.04086329834535718,-6.446867506634554,35.051249614686114,1172,1173,1172,1173
2,2,0.0025182101436611194,0.04086349670978962,5.780517301853702,18.568284816233106,1177,1179,1177,1179
3,3,0.02125105274161819,0.06129499462986133,86.067099384424,20.107470693339636,2113,2116,2113,2116
4,4,0.029051105664558888,0.04086331614962546,88.73441049759121,21.353167922829442,2426,2428,2426,2428
