0,458
1,459
2,460
3,461
4,830
5,831
6,832
7,838
8,839
9,840
10,841
11,842
12,887
13,888
14,889
15,1278
16,1279
17,1280
18,1515
19,1516
20,1517
21,2593
22,2594
23,2595
24,2596
25,2597
26,2598
27,2599
