,Unnamed: 0,EPIC,angDist,col1,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,eSDSS_g,gKmag,e_gKmag,gFlags,rmag,eSDSS_r,rKmag,e_rKmag,rFlags,imag,eSDSS_i,iKmag,e_iKmag,iFlags,zmag,eSDSS_z,zKmag,e_zKmag,zFlags,ymag,eSDSS_y,yKmag,e_yKmag,yFlags,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J,eJ,H,eH,K,eK,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y,DM,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_Jackson,R_Rsun_err,Mbol_err,spectype_std,L_quiet_logL,L_quiet,L_planck,L_quiet_bol,L_quiet_err,L_quiet_bol_err,todrop,whydrop, Date of Run ,n_appa_flares, Filename , Total Exposure Time of LC in Days , BJD-2454833 days ,Ethresh,thresh20p
0,0,211700306,0.7410100000000001,784,AD 2136,0.35,16.21,12.48,,,2,,,,,,,,,,,,,,,,,15.42,,0,2,All,2M,Simbad,129.06053400000002,15.919901000000001,127101290604204288,129.06036668,15.91977263,0.012,0.006,90,503635968,60,55989.4053588,5,75,17.5412,0.0062,17.6143,0.0054,115000,16.2636,0.0027,16.336,0.0027,115000,15.2019,0.0025,15.2595,0.002,115000,14.7179,0.0039,14.7755,0.0014,115000,14.4723,0.0042,14.5183,0.0034,115000,KTWO211700306-C05,5,STAR,7,08 36 14.530,+15 55 11.64,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5048_GO5095,-46.2,5.3,-17.3,5.0,,,,,,,,,,,,,,,,,13.296,0.023,12.712,0.025,12.476,0.024,15.421,JHK,,,,530-047878,08361453+1555115,,2015-10-30 05:41:59,1.0,0.0,0.701,478.855,397.074,363.471,13,4,44,,,14,17.79451659453251,17.5412,16.29413150575257,16.2636,15.203370282870686,15.2019,14.635027461433632,14.7179,14.617008622701544,14.4723,6.020599913279625,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000255,0.369,0.0738,0.14499999999999955,5.068283733178324,6.638347629750242e+31,2.154128076781825e+30,6.361114917807284e+31,6.761763726573059e+31,9.38927071532123e+29,2.257582772077468e+31,True,CMD ,,,,,,1.980471041478824e+32,91.93840713675499
1,1,211707676,0.5487850000000001,760,AD 2848,0.16,20.17,14.31,0.31,0.0758,0,Y,0.008870000000000001,0.3926,0.0356,0.0,Y,M,N,,0.03363,0.06716,2,,,,,16.79,,0,2,All,2M,Simbad,130.22681,16.016886,127221302267040741,130.22665876,16.01684011,0.004,0.003,0,503635968,60,55915.30870369999,10,71,21.5463,0.0413,21.6783,0.0738,115000,20.1961,0.0126,20.3217,0.0246,115000,18.1771,0.0067,18.269000000000002,0.0087,115000,17.2422,0.0034,17.3251,0.0073,115000,16.7429,0.0044,16.8232,0.0142,115000,KTWO211707676-C05,5,STAR,7,08 40 54.433,+16 01 00.79,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.339,0.05,14.844,0.068,14.315,0.051,16.785999999999998,J,,,,,08405443+1601007,,2015-10-30 08:09:09,1.0,0.0,0.657,4390.535,3191.466,2498.013,13,3,43,,,22,21.87207922762269,21.5463,20.25188478456037,20.1961,18.19356719598533,18.1771,17.066514146450793,17.2422,17.114638006926366,16.7429,6.020599913279625,M5,3030,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.199,0.0398,0.25,11.213134040044293,1.2079806881608066e+31,2.8571025232039085e+29,1.1532894188270483e+31,1.2304387258962846e+31,9.087047495513704e+28,7.082974670228428e+30,True,CMD ,,,,,,1.6923021124996318e+33,5923.14101001147
2,2,211708110,0.748653,779,AD 2192,0.18,18.99,13.88,,,3,,,,,,,,,,,,,,,,,18.26,,0,2,All,2M,Simbad,129.15561100000002,16.022362,127221291554817285,129.15541153,16.02228144,0.006,0.003,90,503635968,60,55925.57065972,5,57,20.3442,0.0174,20.5415,0.0406,115000,19.0311,0.012,19.0945,0.0237,115000,17.3073,0.0024,17.3942,0.0175,115000,16.5188,0.0058,16.6007,0.0093,115000,16.1371,0.0024,16.1509,0.0116,115000,KTWO211708110-C05,5,STAR,7,08 36 37.346,+16 01 20.50,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,22.947,0.293,,,,,20.592,0.023,19.063,0.011,17.266,0.006,16.381,0.008,14.791,0.036000000000000004,14.224,0.032,13.877,0.047,18.264,gri,,,5080-301-3-0105-0396,,08363734+1601205,,2015-10-30 06:13:17,0.852,0.14800000000000002,0.613,3736.171,2916.853,2269.326,13,4,44,,,14,20.647388498812038,20.3442,19.07347939415921,19.0311,17.317905568082775,17.3073,16.38277681390386,16.5188,16.410115920746513,16.1371,6.020599913279625,M4.5,3100,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.44003745095898,0.243,0.0486,0.15499999999999936,7.171994143890526,1.9591152774737837e+31,4.988314402311465e+29,1.8841751121027363e+31,1.950113960413546e+31,1.9388935069428188e+29,6.95997016907608e+30,True,CMD ,,,,,,8.604856191744372e+32,1725.0027760393546
3,3,211725787,0.500683,781,AD 1724,0.16,19.46,14.24,2.06,0.2196,0,Y,0.00866,,,,N,N,N,,0.055560000000000005,1.54519,2,,,,,18.73,corner of K2 chip is bright; no apparent neighbors in archival image,0,2,All,2M,Simbad,128.298692,16.26428,127511282985907623,128.29855293,16.26424102,0.006,0.001,90,503635968,60,56047.27390046,5,67,20.7184,0.0487,20.8156,0.0622,115000,19.4732,0.0057,19.5261,0.0211,115000,17.7555,0.0049,17.8208,0.0039,115000,16.9377,0.0046,16.9962,0.0075,115000,16.5213,0.0067,16.596,0.013000000000000001,115000,KTWO211725787-C05,5,STAR,7,08 33 11.686,+16 15 51.41,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-34.0,5.0,-9.0,5.0,,,23.035,0.395,,,,,21.022,0.032,19.52,0.015,17.749000000000006,0.008,16.761,0.011,15.219,0.053,14.604,0.057,14.239,0.065,18.731,gri,,,5112-301-4-0125-0360,,08331168+1615514,,2015-10-30 06:52:20,0.7709999999999999,0.229,0.7879999999999999,6103.016,4680.292,3847.266,18,2,62,,,14,21.016489669906,20.7184,19.51338064553936,19.4732,17.76494377681201,17.7555,16.809082241683022,16.9377,16.776092665944862,16.5213,6.020599913279625,M5,3030,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.199,0.0398,0.25,6.450532923720334,1.2079806881608066e+31,2.8571025232039085e+29,1.1532894188270483e+31,1.2304387258962846e+31,9.087047495513704e+28,7.082974670228428e+30,True,CMD ,,,,,,2.5075469023149208e+33,8776.53805542476
4,4,211727975,0.579707,721,AD 2655,0.16,19.12,14.18,0.91,0.3663,0,Y,0.00828,,,,N,N,N,,0.03995,1.20584,2,,,,,17.27,,0,2,All,2M,Simbad,129.994275,16.296223,127551299941525957,129.99411265,16.2961824,0.004,0.003,90,503635968,60,55877.76355324,5,70,20.4488,0.0153,20.5378,0.0442,115000,19.1879,0.0053,19.2759,0.0204,115000,17.5013,0.0056,17.5764,0.0095,115000,16.7,0.0026,16.7633,0.0052,115000,16.3024,0.0069,16.3724,0.0091,115000,KTWO211727975-C05,5,STAR,7,08 39 58.626,+16 17 46.40,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,15.036,0.037000000000000005,14.402,0.044,14.184,0.059,17.268,JHK,,,,,08395862+1617464,,2015-10-30 09:16:11,1.0,0.0,0.738,4070.057,3184.092,2631.813,13,4,44,,,22,20.745824381818284,20.4488,19.22765584318156,19.1879,17.51050823457219,17.5013,16.572863191732814,16.7,16.553558315859217,16.3024,6.020599913279625,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.258,0.05160000000000002,0.375,3.5155902776063077,2.5238293779207718e+31,6.898182513586878e+29,2.411579869115559e+31,2.5945377341929524e+31,2.4771662549990842e+29,2.240303966236216e+31,True,CMD ,,,,,,2.555961434048542e+33,3705.2679151562597
5,5,211729756,0.501598,785,AD 1383,0.33,16.65,12.53,2.39,0.0612,0,Y,0.00656,,,,N,N,N,,0.03994,1.85951,2,,,,,15.46,,0,2,All,2M,Simbad,127.64651699999999,16.321543,127581276464526288,127.64640489,16.32145447,0.012,0.002,0,503636096,60,55978.83870369999,5,85,17.8854,0.005,17.9772,0.0116,115000,16.671,0.0069,16.7368,0.0116,115000,15.4179,0.0075,15.4889,0.0021,115000,14.8674,0.003,14.9201,0.002,115000,14.604000000000001,0.0045,14.6157,0.0057,115000,KTWO211729756-C05,5,STAR,7,08 30 35.165,+16 19 17.55,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,-34.9,6.4,4.9,6.3,,,,,,,,,,,,,,,,,13.35,0.024,12.777,0.022,12.535,0.027000000000000003,15.458,JHK,,,,532-046109,08303516+1619173,,2015-10-30 05:28:26,1.0,0.0,0.722,1236.192,1052.757,928.078,18,2,62,,,14,18.14825077614828,17.8854,16.702420585761566,16.671,15.420765190152187,15.4179,14.777233603832812,14.8674,14.76587416376922,14.604000000000001,6.020599913279625,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000255,0.369,0.0738,0.14499999999999955,5.61109392186586,6.638347629750242e+31,2.154128076781825e+30,6.361114917807284e+31,6.761763726573059e+31,9.38927071532123e+29,2.257582772077468e+31,True,CMD ,,,,,,4.8635905952261136e+33,2257.800103739472
6,6,211734093,0.541721,783,AD 2182,0.58,14.81,11.51,18.22,0.3548,0,N,0.0076,7.7446,0.34700000000000003,0.0,Y,N,N,,0.00773,0.23048,K,,,,15.87,14.65,,1,2,All,2M,Simbad,129.135678,16.383992000000006,127661291355681299,129.13552675,16.38395216,0.004,0.003,90,503635968,60,56021.64649306,10,89,15.9864,0.0024,16.0547,0.0024,115000,14.7883,0.0044,14.8428,0.0014,115000,14.0144,0.0025,14.075999999999999,0.0045,115000,13.6731,0.0033,13.7301,0.002,115000,13.4876,0.0037,13.5112,0.0012,115000,KTWO211734093-C05,5,STAR,7,08 36 32.562,+16 23 02.37,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5020_GO5024_GO5048_GO5054_GO5060_GO5095,-32.0,3.4,-5.9,3.6,,,,,16.839000000000002,0.09,15.369000000000002,0.05,16.152,0.04,14.79,0.05,14.001,0.02,,,12.347,0.021,11.698,0.022,11.508,0.02,14.646,gri,,,5080-301-4-0105-0207,532-046442,08363256+1623024,,2015-10-30 08:49:15,1.0,0.0,0.7929999999999999,273.936,245.091,220.172,13,4,44,,,14,16.211125790707847,15.9864,14.818414647747838,14.7883,14.01246923814784,14.0144,13.606681971052794,13.6731,13.594388666391682,13.4876,6.020599913279625,M1.5,3650,3.562,-1.57,9.97,-1.47,1.486,,1.03,1.17,0.978,2.089,4.12,0.607,0.228,0.105,,,,0.5,,,6.69,5.85,8.4,0.47,,0.46,M1.5V,,,,,,,,,,76.37626158016221,0.46,0.092,0.17499999999999982,4.553501400021746,1.3553766245568102e+32,5.17419873355543e+30,1.2976294779025415e+32,1.3742317915994988e+32,1.6878079218129225e+30,5.53749986589713e+31,True,CMD ,,,,,,2.3179314781184354e+32,44.79788267671888
7,7,211738707,0.546775,767,AD 3703,0.19,18.73,13.62,0.3,0.1439,0,Y,0.00788,0.1126,0.0221,1.0,M,M,N,,0.01541,0.05008,2,,,,,16.75,,0,2,All,2M,Simbad,132.334904,16.448442,127731323348058644,132.33474645,16.44842663,0.004,0.004,0,503635968,60,55994.18306713,5,78,20.0458,0.0123,20.139,0.0258,115000,18.781,0.0049,18.8904,0.008,115000,17.0336,0.0064,17.12,0.0042,115000,16.2177,0.0065,16.3012,0.006,115000,15.8073,0.0046,15.8558,0.0081,115000,KTWO211738707-C05,5,STAR,7,08 49 20.377,+16 26 54.39,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.487,0.028,13.895,0.029,13.625,0.033,16.750999999999998,JHK,,,,,08492037+1626543,,2015-10-30 08:45:46,1.0,0.0,0.747,1724.981,1300.161,1002.091,8,1,21,,,14,20.347290145733407,20.0458,18.822616059176433,18.781,17.043812219763588,17.0336,16.08420255408775,16.2177,16.074091573160448,15.8073,6.020599913279625,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.258,0.05160000000000002,0.375,10.123456672500753,2.5238293779207718e+31,6.898182513586878e+29,2.411579869115559e+31,2.5945377341929524e+31,2.4771662549990842e+29,2.240303966236216e+31,True,CMD ,,,,,,3.534756815310025e+32,512.4185694344642
8,8,211745306,0.519941,757,,0.19,18.39,13.62,1.04,0.1684,0,Y,0.00643,,,,N,M,N,,0.025710000000000004,0.8531799999999999,2,,,,,16.5,,0,1,All,2M,Simbad,131.048851,16.542360000000002,127851310487361308,131.04870098,16.54234666,0.004,0.002,0,503635968,60,55979.94951389,5,78,19.6978,0.0094,19.8119,0.0323,115000,18.4529,0.0069,18.5402,0.0072,115000,16.843,0.0026,16.9087,0.0063,115000,16.0962,0.003,16.1591,0.004,115000,15.7412,0.0029,15.8038,0.0049,115000,KTWO211745306-C05,5,STAR,7,08 44 11.724,+16 32 32.50,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.424,0.027000000000000003,13.829,0.035,13.618,0.03,16.500999999999998,JHK,,,,,08441172+1632324,,2015-10-30 04:49:25,1.0,0.0,0.665,1855.621,1543.245,1228.105,13,3,43,,,22,19.988378133761344,19.6978,18.490327127447667,18.4529,16.8508347231331,16.843,15.97755596048373,16.0962,15.971587304820268,15.7412,6.020599913279625,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.29100000000000004,0.058200000000000016,0.375,4.08503365959205,3.404552152809507e+31,9.817374889102762e+29,3.2642387909432743e+31,3.388909656562385e+31,4.1490775073572245e+29,2.926219821264045e+31,True,CMD ,,,,,,5.002459912565007e+32,509.5516845463152
9,9,211748286,0.739691,700,AD 1452,0.32,17.49,12.62,9.02,0.0514,0,N,0.00686,,,,N,Y,N,,0.0311,1.41995,2,,,,,15.97,,0,2,All,2M,Simbad,127.781644,16.584473000000006,127901277815081841,127.78144009,16.58440955,0.002,0.002,90,503635968,60,56001.85949074,5,70,18.7323,0.0089,18.8363,0.018000000000000002,115000,17.4724,0.0028,17.5426,0.006999999999999999,115000,15.9221,0.0022,15.9821,0.0027,115000,15.2024,0.0043,15.244000000000002,0.0036,115000,14.8284,0.0065,14.8346,0.0044,115000,KTWO211748286-C05,5,STAR,7,08 31 07.594,+16 35 04.10,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,,,,,,,,,,,,,,,,,,,,,13.54,0.024,12.858,0.033,12.62,0.023,15.970999999999998,JHK,,,,,08310759+1635041,,2015-10-30 07:25:12,1.0,0.0,0.795,1400.765,1201.764,993.821,18,2,62,,,14,19.01975435694849,18.7323,17.508841068879622,17.4724,15.92930044395198,15.9221,15.08759259644165,15.2024,15.049446880777849,14.8284,6.020599913279625,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.29100000000000004,0.058200000000000016,0.375,9.366662959667119,3.404552152809507e+31,9.817374889102762e+29,3.2642387909432743e+31,3.388909656562385e+31,4.1490775073572245e+29,2.926219821264045e+31,True,CMD ,,,,,,4.0712129706245366e+32,414.694662943305
