angDist,col1,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.573727,6,KW222,211988287,1.24,9.78,8.96,3.29,0.2073,0,N,0.00861,,,,M,Y,N,,0.00281,0.05792,2,,,,,10.08,peak splitting,1,1,All,2M,Simbad,129.979432,20.065025,132071299793848463,129.979271630, 20.064972970,0.001,0.001,90,1141006336,136,54634.614050930,5,38,10.2110,,,,114724,10.0150,,,,114724,9.9770,,,,114724,9.9930,,,,4,10.0100,,,,98340
1.560859,6,KW222,211988287,1.24,9.78,8.96,3.29,0.2073,0,N,0.00861,,,,M,Y,N,,0.00281,0.05792,2,,,,,10.08,peak splitting,1,1,All,2M,Simbad,129.979432,20.065025,132071299795618854,129.979816690, 20.065264620,0.015,0.015,90,268959744,32,55975.640752310,0,23,10.5736,0.0800,12.0829,0.0191,24,10.2768,0.1922,12.3103,0.0243,24,10.0397,0.0593,12.1533,0.0563,24,9.7997,0.0433,11.6021,0.0048,24,10.1855,0.2048,10.9102,0.1127,16
1.598445,6,KW222,211988287,1.24,9.78,8.96,3.29,0.2073,0,N,0.00861,,,,M,Y,N,,0.00281,0.05792,2,,,,,10.08,peak splitting,1,1,All,2M,Simbad,129.979432,20.065025,132071299799178899,129.979896270, 20.065108500,0.015,0.015,90,276901888,33,55215.833159720,0,4,,,,,0,14.0285,0.1201,12.1426,0.0225,16777240,14.3129,0.0011,13.0758,0.0010,16777240,,,,,0,,,,,0
0.424133,7,KW238,211971871,1.22,9.78,9.08,2.96,0.6674,0,Y,0.00747,,,,N,Y,N,,0.01633,0.68585,K,,,,2.99,10.22,,1,1,All,2M,Simbad,130.002601,19.806559,131761300025138357,130.002496490, 19.806494100,0.038,0.038,90,1409441792,168,53272.325358800,4,60,10.4130,,,,4,10.1990,,,,114724,10.1470,,,,114724,10.1450,,,,114724,10.1520,,,,114724
1.233337,7,KW238,211971871,1.22,9.78,9.08,2.96,0.6674,0,Y,0.00747,,,,N,Y,N,,0.01633,0.68585,K,,,,2.99,10.22,,1,1,All,2M,Simbad,130.002601,19.806559,131761300023078751,130.002389470, 19.806837860,0.009,0.009,90,268959744,32,56273.152152780,0,5,,,,,0,,,,,0,13.0496,0.1669,12.9219,0.1972,16,13.4825,0.0631,12.0689,0.0199,24,,,,,0
0.842195,8,KW239,211992776,1.4,9.55,8.62,1.18,0.3026,0,Y,0.00791,,,,M,Y,N,,0.00109,0.0278,2,,,,,9.73,,1,1,All,2M,Simbad,130.00539799999999,20.13563,132161300051002989,130.005150500, 20.135602940,0.001,0.001,90,135790592,16,56118.930370370,3,21,9.9831,0.0267,12.0526,0.0474,65592,9.7379,0.0105,12.9245,0.1934,16440,9.3371,0.0106,12.8940,0.0575,114744,9.4665,0.1342,12.3530,0.0238,16440,9.6981,0.0101,10.9589,0.0081,65584
1.539151,8,KW239,211992776,1.4,9.55,8.62,1.18,0.3026,0,Y,0.00791,,,,M,Y,N,,0.00109,0.0278,2,,,,,9.73,,1,1,All,2M,Simbad,130.00539799999999,20.13563,132161300057352957,130.005712720, 20.135321000,0.011,0.011,90,276897792,33,56408.236608800,0,3,,,,,0,,,,,0,11.5380,0.0010,11.6183,0.0010,16777232,13.7958,0.1113,11.9943,0.1505,16777240,,,,,0
0.519997,9,KW282,211990908,1.28,9.94,8.85,2.56,0.259,0,Y,0.00802,,,,Y,Y,Y,conf,0.00497,0.14016,K,,,,2.59,10.04,,1,1,All,2M,Simbad,130.092964,20.106772,132121300927268506,130.092879280, 20.106892560,0.187,0.187,90,1375809536,164,57009.674953700,3,31,10.2761,0.0341,12.0018,0.0094,114808,10.0198,0.0555,12.2025,0.1508,114808,9.7905,0.0531,12.2916,0.1929,114808,10.1005,0.2418,12.2724,0.0311,88,10.8859,0.0010,10.3738,0.0010,16778320
0.533093,9,KW282,211990908,1.28,9.94,8.85,2.56,0.259,0,Y,0.00802,,,,Y,Y,Y,conf,0.00497,0.14016,K,,,,2.59,10.04,,1,1,All,2M,Simbad,130.092964,20.106772,132121300929038779,130.092826120, 20.106700140,0.164,0.113,90,1141006336,136,53619.315682870,2,42,10.1350,,,,16420,9.9160,,,,16420,9.8870,,,,16420,9.9200,,,,65572,9.9460,,,,114724
1.787427,9,KW282,211990908,1.28,9.94,8.85,2.56,0.259,0,Y,0.00802,,,,Y,Y,Y,conf,0.00497,0.14016,K,,,,2.59,10.04,,1,1,All,2M,Simbad,130.092964,20.106772,132121300927318086,130.092581950, 20.106428770,0.097,0.097,90,268959744,32,56250.717002310,0,7,12.2895,0.2376,12.2207,0.0655,24,,,,,0,10.1246,0.0648,,,24,9.9005,0.0010,13.6658,0.0010,24,10.3381,0.0010,13.3375,0.0013,24
0.891859,10,KW275,211970750,1.42,9.43,8.58,,,2,,,,,,,,,cand,,,K,,,,6.69,9.85,there's a signal but the only detected one is a long-period trend,1,1,All,2M,Simbad,130.073432,19.787566,131741300734085768,130.073586410, 19.787766660,0.024,0.024,90,1409441792,168,55203.909745370,5,27,10.2130,,,,114724,9.8970,,,,114724,9.7910,,,,114724,9.7620,,,,114724,9.7600,,,,114724
0.958712,10,KW275,211970750,1.42,9.43,8.58,,,2,,,,,,,,,cand,,,K,,,,6.69,9.85,there's a signal but the only detected one is a long-period trend,1,1,All,2M,Simbad,130.073432,19.787566,131741300733115364,130.073196180, 19.787418750,0.119,0.119,90,268513280,32,55668.338194440,0,37,10.3604,0.0323,13.1629,0.0010,24,9.5276,0.0010,12.6653,0.0010,24,10.0231,0.0586,11.9946,0.0864,24,9.4012,0.0363,11.9474,0.0621,24,10.3437,0.3863,10.9102,0.0309,24
0.539845,11,KW392,211980688,1.16,10.57,9.33,6.78,0.678,0,Y,0.0083,,,,N,Y,Y,,0.01199,0.43691,K,,,,6.6,10.61,,1,1,All,2M,Simbad,130.35767099999998,19.943569,131931303574752760,130.357521410, 19.943516910,0.001,0.001,90,302063616,36,55623.511006940,0,55,10.8405,0.0699,12.5429,0.0795,24,10.5589,0.0216,12.7120,0.0659,24,10.5237,0.1460,13.0185,0.2255,24,10.8161,0.1284,12.0182,0.1015,24,10.8788,0.1163,10.6868,0.0525,16777752
0.617661,11,KW392,211980688,1.16,10.57,9.33,6.78,0.678,0,Y,0.0083,,,,N,Y,Y,,0.01199,0.43691,K,,,,6.6,10.61,,1,1,All,2M,Simbad,130.35767099999998,19.943569,131931303578192634,130.357736150, 19.943408730,0.012,0.012,90,1141006336,136,56098.115868060,5,4,11.0380,,,,65572,10.7100,,,,65572,10.5880,,,,65572,10.5430,,,,65572,10.5340,,,,114724
0.636515,11,KW392,211980688,1.16,10.57,9.33,6.78,0.678,0,Y,0.0083,,,,N,Y,Y,,0.01199,0.43691,K,,,,6.6,10.61,,1,1,All,2M,Simbad,130.35767099999998,19.943569,131931303580062915,130.357726180, 19.943738030,0.044,0.044,90,268959744,32,56440.336018520,0,12,11.7819,0.0328,12.3511,0.0508,24,10.7687,0.0010,12.1873,0.0010,24,10.3206,0.0000,12.4933,0.0000,24,10.2089,0.0644,12.0446,0.1220,24,10.0533,0.0000,12.1000,0.0000,24
0.223731,12,KW100,211990866,1.19,10.39,9.18,4.26,0.3217,0,Y,0.00788,,,,M,Y,N,conf,0.01358,0.28341,K,,,,4.3,10.41,complex peaks,0,1,All,2M,Simbad,129.60125,20.106063,132121296010347456,129.601185700, 20.106077710,0.001,0.001,90,1343750144,160,55941.954675930,4,4,10.5294,0.0010,13.1718,0.0010,114744,10.9002,0.0073,12.2092,0.2172,114744,10.9933,0.0010,12.1328,0.0010,114744,,,,,0,,,,,114720
