K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer
212024569,KTWO212024569-C05,5,STAR,7,08 30 57.604,+20 39 44.87,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5024_GO5032_GO5048_GO5095,-27.700,2.700,-7.100,3.000,,,,,,,,,,,,,,,,,12.595,0.022,11.905,0.025,11.722,0.020,14.894,JHK,,,6597-301-2-0218-0054,554-042770,08305760+2039448,,2015-10-30 08:15:12,1.000,0.000,0.935,285.139,218.849,175.953,19,1,65,,,14
212025000,KTWO212025000-C05,5,STAR,7,08 37 33.060,+20 40 10.07,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-33.000,3.000,-12.000,3.000,,,22.091,0.201,,,,,19.777,0.015,18.322,0.008,16.790,0.005,16.049,0.007,14.574,0.029,13.929,0.033,13.678,0.039,17.686,gri,,,5045-301-5-0126-0217,,08373305+2040100,,2015-10-30 07:18:24,0.893,0.107,0.836,1812.320,1375.336,1014.497,14,3,47,,,14
212025163,KTWO212025163-C05,5,STAR,7,08 41 40.009,+20 40 19.90,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5029_GO5032_GO5033_GO5048,-37.500,0.800,-15.100,0.800,,,,,10.071,0.030,9.629,0.028,10.242,0.040,9.831,0.040,9.387,0.080,,,8.794,0.026,8.635,0.017,8.586,0.016,9.643,gri,,1398-1829-1,,554-043299,08414001+2040199,,2015-10-30 05:34:39,0.999,0.002,1.000,68.191,66.014,66.097,14,4,48,,,14
212025207,KTWO212025207-C05,5,STAR,7,08 29 44.412,+20 40 23.17,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5020_GO5024_GO5029_GO5032_GO5048_GO5060_GO5095_GO5104_GO5106,-34.400,1.700,-13.200,1.900,,,,,12.629,0.343,11.836,0.218,12.384,0.040,11.717,0.030,11.430,0.060,,,10.353,0.023,9.909,0.027,9.808,0.018,11.716,gri,,1391-40-1,,554-042709,08294438+2040232,,2015-10-30 07:59:56,1.000,0.000,0.975,60.623,48.074,38.834,19,1,65,,,22
212025207,KTWO212025207-C16,16,STAR,23,08 29 44.412,+20 40 23.17,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16009_GO16020_GO16021_GO16022_GO16028_GO16031_GO16052_GO16060,-34.400,1.700,-13.200,1.900,,,,,12.629,0.343,11.836,0.218,12.384,0.040,11.717,0.030,11.430,0.060,,,10.353,0.023,9.909,0.027,9.808,0.018,11.716,gri,,1391-40-1,,554-042709,08294438+2040232,,2018-05-24 15:27:30,1.000,0.000,0.963,135.984,113.164,96.244,2,3,3,,,22
212025597,KTWO212025597-C05,5,STAR,7,08 36 19.361,+20 40 46.74,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048,-38.000,5.000,-20.000,5.000,,,23.978,0.588,,,,,21.076,0.030,19.480,0.014,17.554,0.007,16.524,0.008,14.832,0.045,14.296,0.054,13.891,0.044,18.611,gri,,,5037-301-6-0113-0024,,08361936+2040467,,2015-10-30 06:46:49,0.543,0.457,0.616,11062.301,10337.861,9271.096,14,3,47,,,14
212025613,KTWO212025613-C05,5,STAR,7,08 37 11.906,+20 40 47.54,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5032_GO5048_GO5095,-29.300,4.900,-13.000,4.700,,,,,,,,,,,,,,,,,13.226,0.023,12.578,0.026,12.294,0.019,15.685,JHK,,,5045-301-5-0125-0157,554-043092,08371189+2040473,,2015-10-30 08:21:05,1.000,0.000,0.795,812.800,715.921,611.535,14,3,47,,,14
212025814,KTWO212025814-C05,5,STAR,7,08 36 06.311,+20 40 59.95,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5018_GO5020_GO5024_GO5032_GO5048_GO5054_GO5060_GO5095,-38.700,2.700,-14.200,3.000,,,,,16.865,0.092,15.492,0.053,16.215,0.010,14.847,0.030,13.915,0.130,,,12.324,0.021,11.664,0.023,11.454,0.024,14.605,gri,,,,554-043026,08360631+2040599,,2015-10-30 05:32:49,1.000,0.000,0.862,442.520,394.923,346.561,14,3,47,,,14
212025985,KTWO212025985-C05,5,STAR,7,08 36 15.534,+20 41 09.76,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5032_GO5048_GO5054_GO5060_GO5095,-39.900,2.700,-12.500,3.000,,,,,17.065,0.020,15.593,0.050,16.414,0.020,14.952,0.020,14.139,0.020,,,12.507,0.023,11.872,0.023,11.634,0.022,14.821,gri,,,5037-301-6-0113-0003,554-043042,08361553+2041098,,2015-10-30 05:01:00,1.000,0.000,0.870,355.693,337.249,294.325,14,3,47,,,14
212026716,KTWO212026716-C05,5,STAR,7,08 48 59.904,+20 41 55.55,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-40.000,4.000,-19.000,4.000,,,23.103,0.281,,,,,20.575,0.021,19.021,0.011,17.197,0.006,16.134,0.008,14.595,0.032,13.869,0.040,13.718,0.039,18.210,gri,,,5037-301-3-0131-0269,,08485990+2041555,,2015-10-30 04:46:07,0.882,0.118,0.754,3880.450,3355.836,2545.647,9,3,27,,,14
