K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer
211700306,KTWO211700306-C05,5,STAR,7,08 36 14.530,+15 55 11.64,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5048_GO5095,-46.200,5.300,-17.300,5.000,,,,,,,,,,,,,,,,,13.296,0.023,12.712,0.025,12.476,0.024,15.421,JHK,,,,530-047878,08361453+1555115,,2015-10-30 05:41:59,1.000,0.000,0.701,478.855,397.074,363.471,13,4,44,,,14
211707676,KTWO211707676-C05,5,STAR,7,08 40 54.433,+16 01 00.79,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.339,0.050,14.844,0.068,14.315,0.051,16.786,J,,,,,08405443+1601007,,2015-10-30 08:09:09,1.000,0.000,0.657,4390.535,3191.466,2498.013,13,3,43,,,22
211707676,KTWO211707676-C16,16,STAR,23,08 40 54.433,+16 01 00.79,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16012_GO16018_GO16022_GO16060,,,,,,,,,,,,,,,,,,,,,15.339,0.050,14.844,0.068,14.315,0.051,16.786,J,,,,,08405443+1601007,,2018-05-24 15:57:44,1.000,0.000,0.853,,,,9,1,25,,,22
211708110,KTWO211708110-C05,5,STAR,7,08 36 37.346,+16 01 20.50,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,22.947,0.293,,,,,20.592,0.023,19.063,0.011,17.266,0.006,16.381,0.008,14.791,0.036,14.224,0.032,13.877,0.047,18.264,gri,,,5080-301-3-0105-0396,,08363734+1601205,,2015-10-30 06:13:17,0.852,0.148,0.613,3736.171,2916.853,2269.326,13,4,44,,,14
211725787,KTWO211725787-C05,5,STAR,7,08 33 11.686,+16 15 51.41,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-34.000,5.000,-9.000,5.000,,,23.035,0.395,,,,,21.022,0.032,19.520,0.015,17.749,0.008,16.761,0.011,15.219,0.053,14.604,0.057,14.239,0.065,18.731,gri,,,5112-301-4-0125-0360,,08331168+1615514,,2015-10-30 06:52:20,0.771,0.229,0.788,6103.016,4680.292,3847.266,18,2,62,,,14
211727975,KTWO211727975-C05,5,STAR,7,08 39 58.626,+16 17 46.40,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,15.036,0.037,14.402,0.044,14.184,0.059,17.268,JHK,,,,,08395862+1617464,,2015-10-30 09:16:11,1.000,0.000,0.738,4070.057,3184.092,2631.813,13,4,44,,,22
211727975,KTWO211727975-C16,16,STAR,23,08 39 58.626,+16 17 46.40,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16060,,,,,,,,,,,,,,,,,,,,,15.036,0.037,14.402,0.044,14.184,0.059,17.268,JHK,,,,,08395862+1617464,,2018-05-24 15:11:45,1.000,0.000,0.772,,,,9,1,25,,,22
211729756,KTWO211729756-C05,5,STAR,7,08 30 35.165,+16 19 17.55,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,-34.900,6.400,4.900,6.300,,,,,,,,,,,,,,,,,13.350,0.024,12.777,0.022,12.535,0.027,15.458,JHK,,,,532-046109,08303516+1619173,,2015-10-30 05:28:26,1.000,0.000,0.722,1236.192,1052.757,928.078,18,2,62,,,14
211734093,KTWO211734093-C05,5,STAR,7,08 36 32.562,+16 23 02.37,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5020_GO5024_GO5048_GO5054_GO5060_GO5095,-32.000,3.400,-5.900,3.600,,,,,16.839,0.090,15.369,0.050,16.152,0.040,14.790,0.050,14.001,0.020,,,12.347,0.021,11.698,0.022,11.508,0.020,14.646,gri,,,5080-301-4-0105-0207,532-046442,08363256+1623024,,2015-10-30 08:49:15,1.000,0.000,0.793,273.936,245.091,220.172,13,4,44,,,14
211738707,KTWO211738707-C05,5,STAR,7,08 49 20.377,+16 26 54.39,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.487,0.028,13.895,0.029,13.625,0.033,16.751,JHK,,,,,08492037+1626543,,2015-10-30 08:45:46,1.000,0.000,0.747,1724.981,1300.161,1002.091,8,1,21,,,14
211745306,KTWO211745306-C05,5,STAR,7,08 44 11.724,+16 32 32.50,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.424,0.027,13.829,0.035,13.618,0.030,16.501,JHK,,,,,08441172+1632324,,2015-10-30 04:49:25,1.000,0.000,0.665,1855.621,1543.245,1228.105,13,3,43,,,22
211745306,KTWO211745306-C16,16,STAR,23,08 44 11.724,+16 32 32.50,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16060,,,,,,,,,,,,,,,,,,,,,14.424,0.027,13.829,0.035,13.618,0.030,16.501,JHK,,,,,08441172+1632324,,2018-05-24 16:10:21,1.000,0.000,0.782,,,,9,2,26,,,22
211748286,KTWO211748286-C05,5,STAR,7,08 31 07.594,+16 35 04.10,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,,,,,,,,,,,,,,,,,,,,,13.540,0.024,12.858,0.033,12.620,0.023,15.971,JHK,,,,,08310759+1635041,,2015-10-30 07:25:12,1.000,0.000,0.795,1400.765,1201.764,993.821,18,2,62,,,14
211771406,KTWO211771406-C05,5,STAR,7,08 45 34.294,+16 54 39.65,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-39.000,4.000,-10.000,4.000,,,23.058,0.382,,,,,20.523,0.022,19.064,0.011,17.420,0.006,16.496,0.009,14.928,0.042,14.312,0.057,14.163,0.054,18.351,gri,,,5080-301-3-0120-0337,,08453429+1654396,,2015-10-30 06:42:47,0.880,0.120,0.588,3176.220,2605.770,2120.198,13,2,42,,,14
211773459,KTWO211773459-C05,5,STAR,7,08 48 32.710,+16 56 23.62,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5020_GO5024_GO5048_GO5054_GO5060_GO5095,-34.800,2.500,-9.700,2.600,,,,,17.240,0.106,15.759,0.110,16.527,0.040,15.225,0.030,14.300,0.060,,,12.328,0.023,11.703,0.021,11.468,0.021,14.968,gri,,,,535-048307,08483271+1656236,,2015-10-30 05:37:45,1.000,0.000,0.911,707.177,686.480,664.725,8,2,22,,,14
211776073,KTWO211776073-C05,5,STAR,7,08 38 24.871,+16 58 36.33,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5032_GO5048_GO5095_GO5097,-36.500,4.300,-6.600,4.200,,,,,,,,,,,,,,,,,13.224,0.023,12.604,0.022,12.347,0.023,15.535,JHK,,,,535-047844,08382489+1658360,,2015-10-30 05:32:50,1.000,0.000,0.605,680.526,582.527,475.928,13,1,41,,,14
211778044,KTWO211778044-C05,5,STAR,7,08 45 04.511,+17 00 17.08,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-31.000,3.000,-3.000,3.000,,,23.517,0.496,,,,,20.532,0.023,18.896,0.010,17.100,0.006,16.113,0.008,14.494,0.037,13.960,0.037,13.585,0.043,18.130,gri,,,5112-301-3-0144-0265,,08450450+1700170,,2015-10-30 08:35:26,0.867,0.133,0.588,2201.732,1677.231,1330.136,13,2,42,,,14
211781289,KTWO211781289-C05,5,STAR,7,08 38 07.728,+17 03 02.41,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5024_GO5032_GO5033_GO5035_GO5048_GO5060,-36.400,1.000,-10.500,1.000,,,,,10.230,0.037,9.904,0.039,10.197,0.180,9.716,0.110,9.620,0.040,,,8.943,0.039,8.792,0.034,8.704,0.021,9.793,gri,,1392-328-1,,536-048056,08380772+1703024,,2015-10-30 05:19:23,1.000,0.000,1.000,78.563,76.068,73.692,13,1,41,,,14
211781646,KTWO211781646-C05,5,STAR,7,08 41 17.794,+17 03 20.64,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048,-46.000,3.000,-12.000,3.000,,,21.881,0.150,,,,,19.775,0.014,18.277,0.008,16.594,0.006,15.652,0.007,14.115,0.036,13.500,0.034,13.254,0.031,17.548,gri,,,5112-301-4-0139-0084,,08411779+1703206,,2015-10-30 08:52:43,0.904,0.096,0.540,1737.397,1421.555,1226.490,13,2,42,,,14
211787610,KTWO211787610-C05,5,STAR,7,08 30 55.775,+17 08 22.65,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,-41.700,17.400,0.400,17.400,,,,,,,,,,,,,,,,,13.374,0.024,12.745,0.027,12.463,0.024,15.783,JHK,,,5071-301-3-0090-0262,536-047678,08305580+1708223,,2015-10-30 08:30:50,1.000,0.000,0.749,493.426,394.891,312.133,18,1,61,,,14
211789682,KTWO211789682-C05,5,STAR,7,08 53 16.645,+17 10 10.12,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,-30.100,5.300,-4.500,5.300,,,,,,,,,,,,,,,,,13.381,0.024,12.766,0.023,12.520,0.024,15.642,JHK,,,,536-048767,08531665+1710100,,2015-10-30 09:12:32,1.000,0.000,0.811,936.974,770.354,671.585,8,3,23,,,14
211790121,KTWO211790121-C05,5,STAR,7,08 39 56.632,+17 10 33.59,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,15.764,0.063,15.175,0.073,14.836,0.093,18.214,JHK,,,,,08395663+1710335,,2015-10-30 06:21:57,0.886,0.114,0.556,7657.356,5783.493,4758.335,13,1,41,,,14
211795051,KTWO211795051-C05,5,STAR,7,08 42 28.048,+17 14 48.51,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5032_GO5048,-38.000,3.000,-6.000,3.000,,,21.329,0.097,,,,,18.908,0.009,17.511,0.006,16.116,0.005,15.365,0.006,13.965,0.030,13.373,0.034,13.113,0.025,16.954,gri,,,5112-301-4-0141-0381,,08422804+1714485,,2015-10-30 05:19:22,1.000,0.000,0.629,1356.412,1154.239,1006.319,13,2,42,,,14
211795467,KTWO211795467-C05,5,STAR,7,08 38 55.666,+17 15 09.60,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5032_GO5048_GO5095_GO5097,-36.000,3.000,-13.000,3.000,,,21.143,0.083,,,,,18.476,0.007,17.071,0.005,15.723,0.004,14.999,0.005,13.652,0.026,13.079,0.031,12.707,0.023,16.549,gri,,,5071-301-1-0102-0224,,08385566+1715095,,2015-10-30 07:31:17,1.000,0.000,0.623,755.308,644.236,567.336,13,1,41,,,14
211795569,KTWO211795569-C05,5,STAR,7,08 38 13.643,+17 15 15.76,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5020_GO5024_GO5048_GO5060_GO5095,-43.300,2.200,-15.300,2.400,,,,,15.788,0.060,14.506,0.030,15.219,0.030,13.978,0.010,13.521,0.040,,,12.087,0.022,11.443,0.022,11.306,0.021,14.030,gri,,,,537-047137,08381365+1715158,,2015-10-30 05:57:26,1.000,0.000,0.846,241.088,222.458,201.037,13,1,41,,,14
211795614,KTWO211795614-C05,5,STAR,7,08 37 49.112,+17 15 18.01,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5011_GO5018_GO5020_GO5024_GO5032_GO5048,-29.700,2.400,-11.100,2.500,,,,,,,,,,,,,,,,,12.268,0.024,11.587,0.022,11.390,0.018,14.582,JHK,,,5061-301-2-0102-0185,537-047117,08374912+1715180,,2015-10-30 06:17:41,1.000,0.000,0.844,240.931,221.868,194.852,13,1,41,,,14
211795706,KTWO211795706-C05,5,STAR,7,08 38 04.531,+17 15 23.42,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.598,0.055,14.916,0.064,14.523,0.067,17.064,J,,,,,08380453+1715234,,2015-10-30 07:18:35,1.000,0.000,0.712,5493.365,4405.773,3671.128,13,1,41,,,14
211796017,KTWO211796017-C05,5,STAR,7,08 26 33.302,+17 15 39.02,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,13.153,0.024,12.527,0.024,12.279,0.020,15.455,JHK,,,,,08263330+1715390,,2015-10-30 06:15:29,1.000,0.000,0.745,536.920,442.681,351.490,18,4,64,,,14
211799258,KTWO211799258-C05,5,STAR,7,08 32 59.078,+17 18 23.57,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5032_GO5048_GO5054_GO5095_GO5097,-38.000,3.000,-10.000,3.000,,,20.667,0.054,,,,,17.947,0.006,16.517,0.005,15.135,0.005,14.432,0.005,13.017,0.022,12.420,0.026,12.185,0.025,15.979,gri,,,5061-301-3-0095-0387,,08325907+1718235,,2015-10-30 06:45:10,1.000,0.000,0.764,696.681,634.321,546.631,18,1,61,,,14
211799259,KTWO211799259-C05,5,STAR,7,08 31 34.453,+17 18 23.58,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,15.248,0.046,14.528,0.060,14.370,0.077,17.562,JHK,,,,,08313445+1718235,,2015-10-30 08:41:08,0.989,0.011,0.532,2814.995,2035.996,1599.060,18,1,61,,,14
211799551,KTWO211799551-C05,5,STAR,7,08 38 07.109,+17 18 38.07,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5032_GO5048_GO5095,-37.000,2.500,-10.100,2.600,,,,,,,,,,,,,,,,,12.682,0.024,12.000,0.023,11.811,0.021,14.975,JHK,,,5061-301-2-0103-0292,537-047133,08380711+1718381,,2015-10-30 06:58:34,1.000,0.000,0.806,250.496,205.422,172.698,13,1,41,,,14
211800408,KTWO211800408-C05,5,STAR,7,08 27 06.779,+17 19 21.33,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5020_GO5024_GO5048_GO5095,-34.400,3.100,-12.900,3.400,,,,,,,,,,,,,,,,,12.314,0.022,11.616,0.022,11.443,0.020,14.607,JHK,,,5037-301-1-0090-0026,537-046566,08270678+1719213,,2015-10-30 08:50:31,1.000,3.000e-4,0.887,164.659,139.321,115.054,18,4,64,,,14
211801146,KTWO211801146-C05,5,STAR,7,08 37 22.854,+17 19 59.74,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-36.000,4.000,-7.000,4.000,,,23.402,0.439,,,,,20.603,0.023,18.972,0.011,17.083,0.006,16.050,0.007,14.486,0.028,13.833,0.026,13.538,0.034,18.139,gri,,,5061-301-2-0102-0434,,08372285+1719597,,2015-10-30 09:47:20,0.914,0.086,0.406,3902.317,3077.935,2402.221,13,1,41,,,14
211803674,KTWO211803674-C05,5,STAR,7,08 40 00.062,+17 22 06.00,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-35.000,4.000,-14.000,4.000,,,23.279,0.463,,,,,20.799,0.030,19.216,0.013,17.488,0.007,16.504,0.008,15.009,0.036,14.441,0.042,14.055,0.045,18.481,gri,,,5071-301-1-0103-0337,,08400006+1722060,,2015-10-30 06:01:50,0.818,0.182,0.642,3815.212,2917.834,2395.707,13,1,41,,,14
211805435,KTWO211805435-C05,5,STAR,7,08 38 32.878,+17 23 38.05,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.791,0.034,14.134,0.036,14.017,0.047,16.760,JHK,,,,,08383287+1723380,,2015-10-30 09:36:42,1.000,0.000,0.506,2301.599,1784.473,1470.736,13,1,41,,,14
211810140,KTWO211810140-C05,5,STAR,7,08 41 14.906,+17 27 36.62,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048,-35.000,4.000,-10.000,4.000,,,22.799,0.310,,,,,20.398,0.023,18.916,0.011,17.261,0.006,16.368,0.008,14.835,0.038,14.233,0.046,13.954,0.040,18.202,gri,,,5071-301-1-0106-0420,,08411490+1727366,,2015-10-30 06:12:44,0.907,0.093,0.408,2833.520,2220.753,1716.534,13,2,42,,,22
211810140,KTWO211810140-C16,16,STAR,23,08 41 14.906,+17 27 36.62,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-35.000,4.000,-10.000,4.000,,,22.799,0.310,,,,,20.398,0.023,18.916,0.011,17.261,0.006,16.368,0.008,14.835,0.038,14.233,0.046,13.954,0.040,18.202,gri,,,5071-301-1-0106-0420,,08411490+1727366,,2018-05-24 16:21:09,0.905,0.095,0.622,,,,8,3,23,,,22
211810915,KTWO211810915-C05,5,STAR,7,08 30 38.653,+17 28 19.44,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5048_GO5054_GO5095,-26.800,2.900,-10.900,2.700,,,,,17.899,0.200,16.110,0.068,,,15.563,0.064,14.526,0.080,,,12.683,0.021,12.045,0.024,11.825,0.021,15.771,gri,,,5061-301-4-0092-0394,538-047406,08303865+1728194,,2015-10-30 06:10:19,1.000,0.000,0.854,338.744,278.768,215.364,18,1,61,,,14
211812724,KTWO211812724-C05,5,STAR,7,08 38 39.149,+17 29 48.57,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.944,0.035,14.323,0.044,13.962,0.049,17.481,JHK,,,,,08383915+1729485,,2015-10-30 05:29:20,0.914,0.086,0.755,3455.225,2924.606,2561.073,13,1,41,,,22
211812724,KTWO211812724-C16,16,STAR,23,08 38 39.149,+17 29 48.57,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,,,,,,,,,,,,,,,,,,,,,14.944,0.035,14.323,0.044,13.962,0.049,17.481,JHK,,,,,08383915+1729485,,2018-05-24 16:21:54,1.000,0.000,0.656,4442.542,3767.265,3104.550,8,3,23,,,22
211817992,KTWO211817992-C05,5,STAR,7,08 41 09.262,+17 34 17.05,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.740,0.038,14.221,0.044,13.862,0.042,17.054,JHK,,,,,08410926+1734170,,2015-10-30 09:07:33,1.000,0.000,0.509,2513.087,2067.428,1630.998,13,2,42,,,22
211817992,KTWO211817992-C16,16,STAR,23,08 41 09.262,+17 34 17.05,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,,,,,,,,,,,,,,,,,,,,,14.740,0.038,14.221,0.044,13.862,0.042,17.054,JHK,,,,,08410926+1734170,,2018-05-24 16:23:59,1.000,0.000,0.492,,,,8,3,23,,,22
211820823,KTWO211820823-C05,5,STAR,7,08 25 13.739,+17 36 45.36,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-34.000,5.000,-13.000,5.000,,,23.696,0.569,,,,,20.784,0.028,19.251,0.013,17.547,0.007,16.605,0.009,15.121,0.040,14.470,0.047,14.234,0.059,18.518,gri,,,5071-301-5-0083-0086,,08251373+1736453,,2015-10-30 07:02:48,0.796,0.204,0.789,4985.309,4103.952,3299.462,18,4,64,,,14
211822797,KTWO211822797-C05,5,STAR.Exoplanet,7,08 41 38.486,+17 38 24.02,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5020_GO5024_GO5032_GO5048_GO5054_GO5060_GO5095,-36.400,2.500,-11.800,2.700,,,,,16.708,0.070,15.256,0.010,16.025,0.030,14.684,0.040,13.944,0.060,,,12.277,0.025,11.605,0.034,11.429,0.018,14.568,gri,,,,539-046324,08413848+1738240,,2015-10-30 07:35:44,1.000,0.000,0.786,269.480,228.120,202.419,13,2,42,,,23
211822797,KTWO211822797-C16,16,STAR.Exoplanet,23,08 41 38.486,+17 38 24.02,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16011_GO16015_GO16022_GO16031_GO16052_GO16060_GO16075_GO16101_GO16902,-36.400,2.500,-11.800,2.700,,,,,16.708,0.070,15.256,0.010,16.025,0.030,14.684,0.040,13.944,0.060,,,12.277,0.025,11.605,0.034,11.429,0.018,14.568,gri,,,,539-046324,08413848+1738240,,2018-05-24 16:25:50,1.000,0.000,0.755,506.526,494.004,461.729,8,3,23,,,23
211826149,KTWO211826149-C05,5,STAR,7,08 37 22.836,+17 41 15.27,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5032_GO5048,,,,,,,,,,,,,,,,,,,,,13.918,0.029,13.333,0.027,13.101,0.034,16.033,JHK,,,,,08372283+1741152,,2015-10-30 05:25:17,0.916,0.084,0.761,1391.653,1145.270,969.956,13,1,41,,,14
211827123,KTWO211827123-C05,5,STAR,7,08 36 59.069,+17 42 06.30,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,15.537,0.053,14.731,0.050,14.718,0.095,17.659,JHK,,,,,08365906+1742063,,2015-10-30 07:31:18,1.000,0.000,0.584,4063.700,3016.695,2246.446,13,1,41,,,14
211827220,KTWO211827220-C05,5,STAR,7,08 29 17.808,+17 42 11.54,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5048_GO5095_GO5097,-34.000,3.000,-14.000,3.000,,,20.597,0.049,,,,,18.000,0.006,16.563,0.005,15.167,0.005,14.424,0.004,12.991,0.023,12.355,0.023,12.100,0.023,16.017,gri,,,5061-301-5-0091-0145,,08291780+1742115,,2015-10-30 05:21:57,1.000,0.000,0.810,772.338,674.828,576.723,18,1,61,,,14
211827466,KTWO211827466-C05,5,STAR,7,08 51 33.916,+17 42 24.39,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,14.963,0.037,14.379,0.047,14.184,0.049,16.949,JHK,,,,,08513391+1742243,,2015-10-30 05:33:54,0.942,0.058,0.731,2505.246,2030.529,1689.033,8,2,22,,,22
211827466,KTWO211827466-C16,16,STAR,23,08 51 33.916,+17 42 24.39,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16060,,,,,,,,,,,,,,,,,,,,,14.963,0.037,14.379,0.047,14.184,0.049,16.949,JHK,,,,,08513391+1742243,,2018-05-24 16:27:29,0.851,0.149,0.670,,,,13,2,42,,,22
211827577,KTWO211827577-C05,5,STAR,7,08 43 14.671,+17 42 30.19,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-36.000,3.000,-12.000,3.000,,,22.462,0.239,,,,,20.003,0.017,18.537,0.009,16.937,0.005,16.061,0.007,14.547,0.038,13.910,0.042,13.606,0.035,17.857,gri,,,5071-301-1-0109-0186,,08431467+1742301,,2015-10-30 07:47:07,0.893,0.107,0.664,2145.226,1741.010,1401.001,13,2,42,,,22
211827577,KTWO211827577-C16,16,STAR,23,08 43 14.671,+17 42 30.19,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-36.000,3.000,-12.000,3.000,,,22.462,0.239,,,,,20.003,0.017,18.537,0.009,16.937,0.005,16.061,0.007,14.547,0.038,13.910,0.042,13.606,0.035,17.857,gri,,,5071-301-1-0109-0186,,08431467+1742301,,2018-05-24 16:27:50,1.000,0.000,0.650,2403.857,2120.998,1840.521,8,2,22,,,22
211829936,KTWO211829936-C05,5,STAR,7,08 53 04.387,+17 44 31.15,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,-42.000,10.000,-2.000,10.000,,,21.994,0.283,,,,,19.047,0.010,17.628,0.006,16.118,0.005,15.294,0.006,13.795,0.023,13.190,0.025,12.865,0.025,16.997,gri,,,5112-301-3-0158-0250,,08530438+1744311,,2015-10-30 05:06:52,1.000,0.000,0.631,1003.832,823.851,642.851,8,3,23,,,22
211829936,KTWO211829936-C16,16,STAR,23,08 53 04.387,+17 44 31.15,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-42.000,10.000,-2.000,10.000,,,21.994,0.283,,,,,19.047,0.010,17.628,0.006,16.118,0.005,15.294,0.006,13.795,0.023,13.190,0.025,12.865,0.025,16.997,gri,,,5112-301-3-0158-0250,,08530438+1744311,,2018-05-24 16:28:23,1.000,0.000,0.696,,,,13,2,42,,,22
211832848,KTWO211832848-C05,5,STAR,7,08 38 07.163,+17 46 56.69,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5032_GO5048_GO5054_GO5095_GO5097,-37.000,3.000,-14.000,3.000,,,20.352,0.042,,,,,17.795,0.006,16.376,0.005,15.085,0.005,14.368,0.005,12.998,0.022,12.359,0.022,12.116,0.021,15.898,gri,,,5061-301-3-0104-0336,,08380716+1746566,,2015-10-30 05:25:39,1.000,0.000,0.746,1434.199,1223.351,1003.206,13,1,41,,,22
