,Unnamed: 0,EPIC,Tmax_x,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs,nobin,clr,age,Tmax_y,saturated1
596,83,211027607,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.4480419745952886,0.11516753938774447,2803,2810,32.694851438247014,0.15718464603550486,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,,
642,10,210911601,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.15615535837117722,0.1456418156158643,1074,1077,33.02731998260716,0.22071634860357456,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
641,112,211051561,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.16511020102410368,0.14548608001186406,734,736,33.01853046595399,0.2203545330018868,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
639,3,210887995,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.18248429709352632,0.14372935619043206,821,824,33.008224935238,0.216302820640252,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
638,188,211077833,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.19091746463038928,0.14375130135078984,780,782,33.00212193907418,0.21635310200403698,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
637,123,211053678,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.1991899905963792,0.1425660424787356,1497,1499,33.00032343920647,0.21364931467464696,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
636,113,211051561,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.20730788081855867,0.14254463205727094,1353,1355,32.99744478445316,0.2136006957265053,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
635,51,211006027,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.21527681048983394,0.1420788878491921,1591,1599,32.9924285826937,0.21254501645852847,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
634,120,211053031,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2231021480017905,0.14151283353192026,885,890,32.98879382876771,0.2112669312296236,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
633,21,210964488,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2307889766680815,0.13978042233810986,327,335,32.982621288808524,0.2073887838294368,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
632,153,211064435,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.23834211455852736,0.13828203934065966,615,618,32.98150269741775,0.20407453669841247,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
631,137,211059880,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2457661326377343,0.13686672389119334,742,745,32.980961094086226,0.2009774533302844,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
630,38,210978953,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2530653713792337,0.13682730326127612,1613,1615,32.970618984579026,0.20089164980640195,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
629,238,211118414,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.2602439560063572,0.1353030639371371,1354,1360,32.96153584703045,0.19759282114055846,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
628,50,211005799,3249.0,3000.0,-2.051605337445514,0.01985156194522109,34.899746382125585,0.6553974156033638,Pleiades,0.26730581049384394,0.1337627982222549,107,110,32.95247300857671,0.19429617553128287,6.024271647734759e+34,224,94,33.503168301772014,False,v,0.125,7000.0,0.0
