,Unnamed: 0,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,age,saturated
0,1524,211142460,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,296.8393684206211,65.96512427130615,5.925593003073746e+31,3.444497130685234e+31,2.0,1.770236181650174e+32,382.0,384.0,712,0.125,False
1,606,211029446,6.372813724560243e+27,2.274461611803033e+27,3100,7000.0,3000.0,737.1144671207443,163.509953308513,1.0919897435986824e+32,6.6575453341406825e+31,2.6666666666666665,1.7770938194514033e+32,1404.0,1406.0,712,0.125,False
2,801,211051985,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,324.74732619627963,71.11629130725152,6.482699697530758e+31,3.747364597266609e+31,2.2857142857142856,1.7861160224549095e+32,1632.0,1634.0,712,0.125,False
3,791,211051561,2.0152606473591297e+27,1.1600772812766656e+27,3030,7000.0,3000.0,786.4767746804756,171.89512227564637,6.677825088722361e+31,3.5801748754961136e+31,3.8,1.7871991691060584e+32,734.0,736.0,712,0.125,False
4,130,210886244,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,379.78462248016535,76.85069016336517,7.581370064278628e+31,4.256332111910191e+31,1.5,1.7888185903491282e+32,1376.0,1379.0,712,0.125,False
5,740,211046046,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,100.32437916414793,22.073719722554607,1.1657945224496933e+32,6.434678089607667e+31,2.142857142857143,1.792784708282561e+32,1518.0,1520.0,712,0.125,True
6,81,210863683,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,77.80395043514595,16.818144850481538,9.04101475612764e+31,4.955321577887623e+31,1.5882352941176472,1.7971508704902245e+32,1122.0,1124.0,712,0.125,False
7,22,210791550,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,459.0695336386354,94.53831267160358,9.164078305808888e+31,5.177715137299512e+31,1.7777777777777777,1.7975928247838477e+32,172.0,175.0,712,0.125,False
8,609,211030057,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,470.64346788622635,87.24652210933573,9.39512051614798e+31,5.115113845412612e+31,1.4285714285714286,1.800729568015829e+32,143.0,151.0,712,0.125,False
9,1068,211077649,6.372813724560243e+27,2.274461611803033e+27,3100,7000.0,3000.0,1680.4816502501822,349.48749151191527,2.4895301994912423e+32,1.4833002407510887e+32,2.2,1.8018221435561912e+32,1943.0,1946.0,712,0.125,False
10,647,211033487,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,103.99513742241531,19.435870047217428,6.6293688056226915e+31,4.1193083643095655e+31,2.6666666666666665,1.8086026460498e+32,1291.0,1295.0,712,0.125,False
