,Unnamed: 0,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs,nobin,clr,age,saturated,saturated1
0,1524,211142460,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6438971816950456,0.04569637615167377,382.0,384.0,32.24803121299716,0.05107614152801965,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
1,606,211029446,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6430207041384168,0.04575528759610359,1404.0,1406.0,32.24971035644597,0.05114976875738142,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
2,801,211051985,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.642142454128495,0.04579201305385494,1632.0,1634.0,32.251909666352844,0.051195679423283284,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
3,791,211051561,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6412624244820782,0.045842450009524686,734.0,736.0,32.25217295386199,0.0512587451360873,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
4,130,210886244,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6403806079722085,0.0458262642006515,1376.0,1379.0,32.252566299647796,0.0512385048153674,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
5,740,211046046,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6394969973278166,0.04589847837225847,1518.0,1520.0,32.25352813918919,0.051328821600002066,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,True,True
6,81,210863683,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6386115852333618,0.045953902197781726,1122.0,1124.0,32.25458453758255,0.051398161974154366,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,True
7,22,210791550,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6377243643284682,0.046024641737808736,172.0,175.0,32.25469132589806,0.051486692680766666,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
8,609,211030057,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6368353272075584,0.046090979414490814,143.0,151.0,32.255448495752866,0.051569743952299074,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
9,1068,211077649,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6359444664194824,0.046165786550716785,1943.0,1946.0,32.25571191989263,0.05166343282220387,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
10,647,211033487,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6350517744671413,0.046220285812016204,1291.0,1295.0,32.257343161893864,0.05173171089017625,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
11,552,211023807,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6341572438071115,0.0462582082666172,775.0,777.0,32.25806466576167,0.05177923250158978,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
12,131,210886244,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6332608668492603,0.04633134712469245,1625.0,1635.0,32.258723895024005,0.05187091111254638,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
13,917,211063361,7000.0,3000.0,-2.164310134666965,0.010237804512765243,38.24637609276592,0.33329990266540505,Pleiades,0.6323626359563601,0.04640563629781225,1075.0,1078.0,32.26038785882566,0.05196406725686576,1.800899822778249e+34,712,496,112.61195414099936,False,v,0.125,False,False
