,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
6,211955417,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,0.2257269216435176,0.1872642637964137,799.0,801.0,32.67152038042889,0.33638469525640136,6.27881922251924e+33,47,13,7.730657464445968
1,211924546,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,0.19096481538430576,0.18909492500261282,1328.0,1330.0,32.75795967748668,0.3425542484691637,6.27881922251924e+33,47,13,7.730657464445968
0,211841991,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,0.1531762544949058,0.17858593150550428,3146.0,3149.0,32.77996139672363,0.3086011622623074,6.27881922251924e+33,47,13,7.730657464445968
9,211955417,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,0.11178356933668088,0.18934576581901696,3230.0,3232.0,32.943625411030574,0.34340852775344755,6.27881922251924e+33,47,13,7.730657464445968
12,212013132,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,0.06602607877600575,0.1838430697321528,2191.0,2193.0,32.96695681513287,0.3251518783250468,6.27881922251924e+33,47,13,7.730657464445968
3,211939015,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,0.014873556328624415,0.18860468861945412,171.0,175.0,33.02983640619913,0.3408909212717628,6.27881922251924e+33,47,13,7.730657464445968
2,211938625,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,-0.04311839064906231,0.20184354586210518,3117.0,3119.0,33.033133989372296,0.3889517413178869,6.27881922251924e+33,47,13,7.730657464445968
4,211954582,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,-0.11006518027967549,0.21936556365063242,3418.0,3421.0,33.070534615742744,0.46491393577609286,6.27881922251924e+33,47,13,7.730657464445968
8,211955417,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,-0.18924642632730027,0.23899323186835153,2125.0,2129.0,33.0970498100091,0.5747543910574784,6.27881922251924e+33,47,13,7.730657464445968
7,211955417,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,-0.2861564393353567,0.26595719133289186,1051.0,1053.0,33.25679231632391,0.8092022146436703,6.27881922251924e+33,47,13,7.730657464445968
5,211955417,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,-0.4110951759436567,0.3010317681028069,342.0,347.0,33.474139444543205,2.778151250383644,6.27881922251924e+33,47,13,7.730657464445968
10,212009427,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,-0.5871864349993379,0.3639711571056761,2081.0,2085.0,33.490883862812986,2.6020599913279625,6.27881922251924e+33,47,13,7.730657464445968
13,212013132,4000.0,3750.0,-2.012838198015059,0.07907568621882509,33.39995394993042,2.6140725270182408,M44,-0.8882164306633191,0.3424226808222063,2477.0,2479.0,33.797877979189494,2.3010299956639813,6.27881922251924e+33,47,13,7.730657464445968
