,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin
61,211939462,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,137.46802049959706,30.238816408534646,8.67015625826264e+31,5.678539027021434e+31,2.2,1.7950212344385446e+32,2274.0,2276.0,90
66,211940224,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,162.7004748947603,32.130532962433634,1.0261576005128003e+32,6.490089998580438e+31,3.230769230769231,1.8438881918097195e+32,2727.0,2730.0,90
6,211832848,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,344.3939175152401,468.42113421269045,1.018415256418878e+32,1.8146241723774828e+32,3.5,1.8879650874018288e+32,801.0,813.0,90
14,211834355,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,336.1082796548242,67.50643924651442,9.93913604162386e+31,6.187381594868666e+31,4.428571428571429,1.893367287350386e+32,58.0,65.0,90
41,211921927,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,118.52751962803072,26.791504257997538,7.47557222650435e+31,4.941492688407152e+31,1.7272727272727273,1.9881530072973828e+32,2864.0,2866.0,90
56,211939462,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,153.22709534103583,44.873848560171886,9.664086634683025e+31,7.033917959981036e+31,2.375,2.0920573647317736e+32,1106.0,1109.0,90
59,211939462,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,157.9904763420182,33.56222165200112,9.964514744770475e+31,6.451170655639877e+31,2.375,2.0920573647317736e+32,1711.0,1714.0,90
115,212013619,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,177.67802183725323,48.884724689124106,1.1206215142906656e+32,7.9576842426852e+31,3.0,2.0990703060008473e+32,831.0,836.0,90
83,211971468,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,487.5927300831821,100.23377705319875,1.4418717926795862e+32,9.044118542363559e+31,2.692307692307692,2.1377805457598218e+32,2973.0,2976.0,90
132,212171351,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,292.9691558082418,58.78483178135848,1.847766739113113e+32,1.1745041969503279e+32,1.8571428571428572,2.233153231177071e+32,484.0,488.0,90
69,211945362,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,319.1810739269774,61.43036531525342,9.438577707546506e+31,5.796629257732101e+31,4.142857142857142,2.3117939171866622e+32,1665.0,1671.0,90
72,211946063,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,260.81641509189774,47.686340911779375,1.6449782759280163e+32,1.0162961925119283e+32,1.2727272727272727,2.3974834479470784e+32,980.0,987.0,90
55,211939462,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,215.2857713879778,45.97870918823291,1.3578149094827818e+32,8.806150593850889e+31,1.8571428571428572,2.411491070364318e+32,863.0,865.0,90
57,211939462,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,179.0804151949191,44.86890470876142,1.1294664583746232e+32,7.742879027496054e+31,1.8571428571428572,2.4296491313725046e+32,1115.0,1118.0,90
118,212013619,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,188.54680605857675,41.92640183826142,1.1891713175058e+32,7.817000030402884e+31,2.0,2.4386428382362923e+32,1396.0,1398.0,90
80,211970517,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,265.3247716650535,48.81762320587615,1.6734126389276207e+32,1.035799680005669e+32,1.1764705882352942,2.6251512739898876e+32,1626.0,1634.0,90
107,211993420,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,476.0319471879147,106.10529268982954,1.4076851329335824e+32,9.073588253959373e+31,3.2,2.8019358869853456e+32,995.0,997.0,90
85,211972472,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,447.3652545419807,79.22555140843296,2.821548347972161e+32,1.727002494222839e+32,1.1111111111111112,3.1530366595358265e+32,2976.0,2986.0,90
74,211949871,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,198.31021330917042,43.66147517353625,1.2507494694047354e+32,8.194285900648193e+31,4.625,3.2191354721959533e+32,2548.0,2550.0,90
40,211920850,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,376.6390657704664,72.85027329473498,2.375475795263652e+32,1.4927596360115169e+32,1.2,3.432156486812554e+32,3427.0,3433.0,90
78,211966707,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,1022.7237942943076,198.87334771166863,3.02432029789212e+32,1.8633878050626132e+32,1.909090909090909,4.178755147571748e+32,444.0,449.0,90
63,211939462,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,426.15891663107186,91.80828005415546,2.687799231134011e+32,1.748183679380911e+32,2.125,4.332255758317114e+32,3321.0,3323.0,90
62,211939462,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,402.075342775025,87.85029540664276,2.5359032862950094e+32,1.6571484531029953e+32,1.3076923076923077,4.517251270131066e+32,2604.0,2606.0,90
113,212007343,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,1227.9347260734323,269.88752838802856,3.6311543128934045e+32,2.329275140812541e+32,1.2727272727272727,4.60463094041501e+32,270.0,272.0,90
125,212082288,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,492.0364297785595,110.33941403226576,3.1032910166552432e+32,2.0457918481324457e+32,4.875,4.7190824541333896e+32,2088.0,2090.0,90
52,211939094,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,334.6839665132702,60.30406684505413,2.1108635130260706e+32,1.2985285590737145e+32,2.571428571428571,4.742397824277216e+32,2594.0,2603.0,90
51,211939094,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,520.4746603565884,100.43375337518818,3.282651934142766e+32,2.0613353598766418e+32,2.5555555555555554,5.3866269637051726e+32,2189.0,2194.0,90
20,211845034,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,849.6720931002637,175.81282878989134,2.512585090961654e+32,1.5794066040956452e+32,4.5,5.431357140442494e+32,1262.0,1264.0,90
126,212082288,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,334.79003920476686,77.75663773543019,2.111532517210948e+32,1.408893540796533e+32,4.0,5.697371989131203e+32,2245.0,2247.0,90
50,211939094,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,634.694996530242,51.20136681900147,4.003043599708189e+32,2.064182741431518e+32,2.272727272727273,7.476697302778935e+32,2082.0,2102.0,90
96,211982734,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,483.1367494351391,86.06923689578372,3.0471604206478104e+32,1.8683031627024024e+32,2.076923076923077,7.813655189266582e+32,2266.0,2275.0,90
133,212171351,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,1080.7786891244612,194.51044828855996,6.816509091535805e+32,4.191846405942213e+32,1.6666666666666667,8.64342540349417e+32,1244.0,1256.0,90
95,211982734,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,682.6844671224067,128.2140092128982,4.3057148735602685e+32,2.6815608859298417e+32,3.181818181818182,1.1943387771235607e+33,2015.0,2023.0,90
45,211929493,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,1238.961932587661,239.13933375576335,3.663763121523932e+32,2.2520994161594535e+32,3.25,1.323651839954963e+33,436.0,442.0,90
121,212018862,1.4266952797331432e+29,4.76337656086982e+28,3410,3499.0,3250.0,1277.00098663501,242.22123978906507,8.054090002782537e+32,5.031086083685767e+32,4.0,1.6382690347434638e+33,2797.0,2805.0,90
109,211994910,2.53706284034917e+28,2.190676153566424e+28,3250,3499.0,3250.0,7027.734922621317,1396.556721252924,2.0781878248324684e+33,1.2893088794698488e+33,2.5,3.4975329291328706e+33,2186.0,2191.0,90
