,Tmin,Tmax,color,Pleiades,M44,M67
0,3000,3249,red,1.23437764866363E+032,3.42631810553751E+032,
1,3250,3499,orange,1.72623384153911E+032,1.77793568579385E+032,
2,3500,3749,green,1.84593083186304E+032,1.12336495234264E+032,
3,3750,4000,c,2.43580785138255E+032,1.05282526197442E+032,1.36831314765975E+033
4,3000,7000,black,1.76814095742268E+032,1.98738026555527E+032,1.97631930046083E+033
