,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,corrected,myenerg,myenerg_err,L_bol,L_bol_err,myed,ED_true,count_true,energ_true
0,1.6327008231380484,0.2451868334028404,4709.591258079278,868.3331301189371,101,113,101,113,1.7,5.267833554503712e+33,3.159478993872523e+33,3.388909656562385e+31,2.926219821264045e+31,5365.827030147317,6555.353127229107,1.7,6.435635918046029e+33
1,0.04213835833808127,0.08172772090620127,182.5419120414935,340.4720548681811,752,756,752,756,5.0,1.4865799182239963e+32,3.108269843663841e+32,3.388909656562385e+31,2.926219821264045e+31,151.42336266226246,294.1617488209447,5.0,2.8878961662092967e+32
2,0.041881158987138435,0.04086306388489902,100.49558029552162,22.13213058105791,1884,1886,1884,1886,16.0,1.936436976944016e+32,1.1665927354632747e+32,3.388909656562385e+31,2.926219821264045e+31,197.24590318878944,463.9238550288472,16.0,4.5545144048159545e+32
3,-0.01243820817595748,0.04086315293534426,-96.39891352964467,156.38665546250058,2739,2741,2739,2741,,3.8348853162539155e+31,6.700378112844752e+31,3.388909656562385e+31,2.926219821264045e+31,39.06222752592059,183.50303644177802,,1.801518102037621e+32
4,0.0207941427688646,0.14302104894886725,188.22856426660184,29.739795746732153,2753,2759,2753,2759,1.625,2.9537290191321554e+32,1.6803881848426584e+32,3.388909656562385e+31,2.926219821264045e+31,300.8674979307126,670.7556717415042,1.625,6.585059888478299e+32
5,0.06676236412895402,0.04086336703039706,120.86342059786408,25.254629096983265,3077,3079,3077,3079,5.0,3.1660642012882355e+32,1.8782181684519816e+32,3.388909656562385e+31,2.926219821264045e+31,322.4960070336675,438.6195642272336,5.0,4.306092695713639e+32
6,-0.006716628255926503,0.1021581779787084,-73.95111962012393,73.04046932990411,3085,3090,3085,3090,,1.035034799904493e+32,1.3706506285104831e+32,3.388909656562385e+31,2.926219821264045e+31,105.42887600771735,183.50303644177802,,1.801518102037621e+32
