,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,corrected,myenerg,myenerg_err,L_bol,L_bol_err,myed,ED_true,count_true,energ_true
0,0.238012172472596,0.28605013988999417,1238.640060477566,229.30947321970922,282,290,282,290,5.666666666666666,5.0730010238325435e+33,2.57278855599454e+33,1.091591113123216e+32,3.141851780902868e+31,1307.6422113546907,2845.745127129972,5.666666666666666,1.104007489062389e+34
1,0.014098932875811869,0.04086383373942226,33.73119500886537,8.242738392290955,742,744,742,744,,2.5656718567873504e+32,1.3652823872195655e+32,1.091591113123216e+32,3.141851780902868e+31,66.13404579771384,127.56951704685532,,4.949062403836561e+32
2,0.00921492798401811,0.04086363757232903,22.465905996445365,5.464419089032197,852,854,852,854,,1.582247232990218e+32,8.4050350125808e+31,1.091591113123216e+32,3.141851780902868e+31,40.78479899643454,127.56951704685532,,4.949062403836561e+32
3,0.03564110682974486,0.061295578540011775,132.84203033190894,27.18341908483139,873,876,873,876,37.0,5.838908425417007e+32,2.9768237351046274e+32,1.091591113123216e+32,3.141851780902868e+31,150.5066348191193,295.6050618228198,37.0,1.1468005301876016e+33
4,0.012671651463036159,0.06129537201923085,36.37036092787486,24.92025267863963,1045,1047,1045,1047,10.333333333333334,6.612081663178452e+32,5.898361851965098e+32,1.091591113123216e+32,3.141851780902868e+31,170.43633634365847,407.9038312201971,10.333333333333334,1.5824638692731766e+33
5,0.003637991855265489,0.04086356388143031,10.505036963347699,26.908751739313768,1069,1071,1069,1071,,6.470543562679019e+31,1.5685080516753322e+32,1.091591113123216e+32,3.141851780902868e+31,16.678797921030636,127.56951704685532,,4.949062403836561e+32
6,0.025300078312943824,0.0612948383713956,65.53765692743508,13.240897913226155,1697,1700,1697,1700,30.0,4.418143389266774e+32,2.242553762270299e+32,1.091591113123216e+32,3.141851780902868e+31,113.88428199563516,263.4505145478643,30.0,1.0220568886698412e+33
7,0.01897098335406627,0.040863294270820916,49.67284413166517,10.79825433921032,1792,1794,1792,1794,,2.835178635783193e+32,1.4462445721982836e+32,1.091591113123216e+32,3.141851780902868e+31,73.08098783075445,127.56951704685532,,4.949062403836561e+32
8,-0.05993524523072233,0.0612947476838599,-330.42040142319,464.6967006046389,1900,1903,1900,1903,,1.3145554963843197e+32,2.038312759742682e+32,1.091591113123216e+32,3.141851780902868e+31,33.88464240722371,127.56951704685532,,4.949062403836561e+32
9,0.0068596794302898225,0.040863043737772387,17.907280179435848,21.682699621453324,2000,2002,2000,2002,,9.981310260416637e+31,1.3187813322410637e+32,1.091591113123216e+32,3.141851780902868e+31,25.72832640843424,127.56951704685532,,4.949062403836561e+32
10,0.03936869183601936,0.12258944495988545,184.67242278433378,54.40734334335446,2234,2236,2234,2236,30.0,3.68325369411394e+32,2.1111061606495934e+32,1.091591113123216e+32,3.141851780902868e+31,94.94139628445839,263.4505145478643,30.0,1.0220568886698412e+33
11,0.03099226462571793,0.04086324293166399,91.38378731943098,20.133743516930217,2948,2950,2948,2950,10.333333333333334,6.387568690208484e+32,3.2736419421927504e+32,1.091591113123216e+32,3.141851780902868e+31,164.64917724250637,407.9038312201971,10.333333333333334,1.5824638692731766e+33
