EPIC,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_z,g_i,J_K,r_z,J-K
211072835,0.721972,19.4313,18.1407,16.4304,15.6671,15.2702,13.931,13.325,13.019,56.41377383,24.1388829,M4.5,3100,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.440037450959,0.0486,0.154999999999999,1.4956048424712E+029,6.37281372456024E+027,5.80173368171505E+028,2.27446161180303E+027,3.7642,3.0009,0.911999999999999,2.4736,0.911999999999999
211073154,0.824592,20.3419,19.0307,17.1806,16.3519,15.912,14.565,13.895,13.655,56.49136551,24.14456232,M4.5,3100,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.440037450959,0.0486,0.154999999999999,1.4956048424712E+029,6.37281372456024E+027,5.80173368171505E+028,2.27446161180303E+027,3.99,3.1613,0.91,2.6788,0.91
211074151,0.738537,16.6059,15.3236,14.15,13.5493,13.2688,12.052,11.365,11.131,56.60586447,24.15993843,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,3.0566,2.4559,0.921000000000001,1.7743,0.921000000000001
211074500,0.820643,19.5276,18.2835,16.5635,15.7762,15.386,14.133,13.509,13.151,56.51909975,24.16538646,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.7514,2.9641,0.981999999999999,2.5073,0.981999999999999
211074799,0.740723,21.1989,19.8642,17.8198,16.9114,16.4298,15.033,14.465,14.034,55.50161762,24.17007722,M5,3030,3.481,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439077,0.0398,0.25,8.02121583191396E+028,2.01526064735913E+027,2.55112169392775E+028,1.16007728127667E+027,4.2875,3.3791,0.998999999999999,2.9528,0.998999999999999
211074858,0.731645,17.6409,16.382,15.0126,14.3801,14.0678,12.652,12.018,11.738,55.70468904,24.17088279,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.2608,2.6283,0.914,2.0019,0.914
211074888,0.767149,13.9129,12.829,12.404,12.152,11.998,10.836,10.146,10.025,56.11678359,24.1713566,K8,4000,3.602,-1.03,8.47,-1.1,1.356,1.562,0.751,1.216,0.843,1.632,3.487,0.623,0.176,0.081,,,,0.63,,,5.78,4.98,7.44,,,0.587,K8V,,,,,,,,,,65.0640709836545,0.1174,0.13,4.38882416325717E+030,7.6618072894805E+030,1.27393506398322E+030,2.29345522251962E+030,1.7609,1.5089,0.811,0.677,0.811
211075014,0.740724,18.8403,17.7251,16.1455,15.381,15.017,13.752,13.158,12.874,56.88339597,24.17341181,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.4593,2.6948,0.878,2.3441,0.878
211075627,0.664614,20.0685,18.7418,16.9593,16.1347,15.7107,14.388,13.698,13.417,55.64160112,24.18340067,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.9338,3.1092,0.971,2.6071,0.971
211075914,0.771653,19.721,18.3178,16.4942,15.6095,15.151,13.804,13.206,12.871,56.7305493,24.18781601,M5,3030,3.481,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439077,0.0398,0.25,8.02121583191396E+028,2.01526064735913E+027,2.55112169392775E+028,1.16007728127667E+027,4.1115,3.2268,0.933,2.7083,0.933
211076441,0.888719,20.187,18.9164,17.0873,16.2292,15.8072,14.459,13.782,13.472,57.49814688,24.19591672,M5,3030,3.481,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439077,0.0398,0.25,8.02121583191396E+028,2.01526064735913E+027,2.55112169392775E+028,1.16007728127667E+027,3.9578,3.0997,0.987,2.6872,0.987
