EPIC,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_z,g_i,J_K,r_z,J-K
210754915,0.683214,12.38,11.666,11.34,11.149,11.059,10.002,9.537,9.418,56.11709637,19.18482537,K4,4620,3.665,-0.55,7.04,-0.71,1.1,1.306,0.477,1.004,0.64,1.19,2.733,0.544,0.125,0.039,-0.073,-0.031,0.009,0.73,,,4.98,4.31,6.48,,,0.689,K4V,V  ,2.21,1,0.38,0.16,1.01,0.59,0.1,5.21,209.999999999145,0.1378,0.16,1.33939870130414E+031,6.98765129706233E+031,5.70097755537019E+030,2.574345873865E+031,1.231,1.04,0.584000000000001,0.516999999999998,0.584000000000001
210762863,0.673335,15.8199,14.5931,13.7533,13.3511,13.1332,11.954,11.253,11.048,56.04968318,19.3051877,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.3762615801565,0.0868,0.125,1.16202515496483E+030,4.72423207991954E+029,3.85714455820461E+029,1.35974329538337E+029,2.4688,2.0666,0.906000000000001,1.242,0.906000000000001
210769047,0.710693,19.058,17.7894,16.2031,15.4503,15.0679,13.764,13.104,12.891,59.09975737,19.39809525,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.6077,2.8549,0.873000000000001,2.3391,0.873000000000001
210776021,0.736155,17.3165,16.1235,14.7813,14.163,13.8412,12.615,11.936,11.721,58.80685642,19.50451217,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,3.1535,2.5352,0.894000000000002,1.9605,0.894000000000002
210779549,0.197686,9.562,9.331,9.26,9.243,9.236,8.404,8.225,8.152,56.256958,19.559372,G1,5880,3.769,-0.1,4.5,0.13,0.604,0.661,0.195,0.067,0.34,0.672,1.458,0.267,0.068,0.027,-0.044,-0.042,-0.01,1.07,9.8,,3.38,3.04,4.4,,,1.12,G1V,,,,,,,,,,77.6745346493424,0.224,0.165,1.11772168338427E+032,8.40100463596628E+033,2.84615939497311E+031,3.19176462675672E+033,0.319000000000001,0.302000000000001,0.251999999999999,0.087999999999999,0.251999999999999
210784223,0.907262,13.712,12.909,12.425,12.116,11.956,10.766,10.154,9.976,58.81568144,19.62936219,K9,3940,3.595,-1.1,8.69,-1.18,1.382,1.593,0.791,1.21,0.866,1.699,3.584,0.625,0.184,0.101,,,,0.61,,,5.92,5.11,7.59,,,0.552,K9V,,,,,,,,,,65.0640709836479,0.1104,0.13,3.44583313604648E+030,5.42414417135138E+030,1.00909876981435E+030,1.62364195645655E+030,1.596,1.287,0.789999999999997,0.793000000000001,0.789999999999997
210791550,0.751198,18.8014,17.5365,15.9606,15.2448,14.8836,13.61,12.959,12.695,59.81939593,19.74078657,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5566,2.8408,0.914999999999999,2.2917,0.914999999999999
210803812,0.811903,18.1235,16.8415,15.3888,14.7204,14.3899,13.125,12.497,12.214,54.79260466,19.92507123,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.4031,2.7347,0.911,2.1211,0.911
210804191,0.508585,17.6783,16.4284,15.0742,14.4618,14.1517,12.916,12.282,12.008,59.20820496,19.93028414,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,3.2165,2.6041,0.908000000000001,1.9666,0.908000000000001
210815768,0.803258,19.5327,18.2183,16.4637,15.6458,15.2302,13.785,13.274,12.917,57.39910562,20.10786974,M4.5,3100,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.440037450959,0.0486,0.154999999999999,1.4956048424712E+029,6.37281372456024E+027,5.80173368171505E+028,2.27446161180303E+027,3.8869,3.069,0.868,2.5725,0.868
210822528,0.611668,19.5526,18.096,16.4043,15.6125,15.2253,13.876,13.184,12.946,55.74420759,20.21240991,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.9401,3.1483,0.93,2.4835,0.93
210829886,0.879052,14.2989,13.142,12.55,12.151,11.958,10.697,10.045,9.854,57.42101175,20.32406655,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.3762615801565,0.0868,0.125,1.16202515496483E+030,4.72423207991954E+029,3.85714455820461E+029,1.35974329538337E+029,2.1479,1.7489,0.843,0.991000000000001,0.843
210830104,0.891453,21.4329,20.0813,17.9101,16.9167,16.4044,15.004,14.477,14.001,57.64116502,20.32721136,M5,3030,3.481,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439077,0.0398,0.25,8.02121583191396E+028,2.01526064735913E+027,2.55112169392775E+028,1.16007728127667E+027,4.5162,3.5228,1.003,3.1646,1.003
210832378,0.916981,18.9787,17.7297,16.0828,15.3344,14.9578,13.649,13.064,12.794,55.55798683,20.36200022,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.6443,2.8959,0.854999999999999,2.3953,0.854999999999999
210833049,0.815083,16.1354,14.9187,13.8859,13.4258,13.1828,11.813,11.139,10.906,60.26727288,20.37240764,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.3762615801565,0.0868,0.125,1.16202515496483E+030,4.72423207991954E+029,3.85714455820461E+029,1.35974329538337E+029,2.7096,2.2495,0.907,1.4929,0.907
210833622,0.96718,18.816,17.5676,15.9054,15.1477,14.7711,13.429,12.904,12.628,57.48371036,20.38108139,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.6683,2.9106,0.801,2.4199,0.801
210839388,0.676676,15.8476,14.5892,13.6559,13.2061,12.9884,11.756,11.09,10.862,61.03521876,20.46914564,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.3762615801565,0.0868,0.125,1.16202515496483E+030,4.72423207991954E+029,3.85714455820461E+029,1.35974329538337E+029,2.6415,2.1917,0.893999999999998,1.3831,0.893999999999998
210840112,0.704416,16.0325,14.8383,13.8086,13.3362,13.0644,11.831,11.16,10.92,58.49226643,20.48029548,M2.5,3500,3.544,-1.76,10.7,-1.68,1.522,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,0.44,,,7.01,6.27,8.94,0.57,,0.393,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.9459888433411,0.0786,0.145,8.91215555189887E+029,2.42287620280395E+029,2.89975291420029E+029,8.08937400878224E+028,2.6963,2.2239,0.911,1.5021,0.911
210846442,0.752954,17.4748,16.2475,14.8618,14.2414,13.9262,12.694,12.048,11.84,59.04726756,20.57484658,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,3.2334,2.613,0.854000000000001,2.0061,0.854000000000001
210854098,0.862399,20.5965,19.29,17.3778,16.4777,16.008,14.616,13.996,13.706,55.21284667,20.68800577,M5,3030,3.481,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439077,0.0398,0.25,8.02121583191396E+028,2.01526064735913E+027,2.55112169392775E+028,1.16007728127667E+027,4.1188,3.2187,0.91,2.8123,0.91
210855272,0.571171,15.3149,14.1132,13.4317,13.1639,12.9582,11.812,11.118,10.935,57.60400864,20.70486116,M1,3700,3.568,-1.44,9.69,-1.4,1.475,,0.983,1.172,0.959,2.019,4.02,0.613,0.225,0.137,,,,0.53,,,6.51,5.67,8.25,0.41,,0.496,M1V,V  ,2.72,1.33,0.78,0.46,1.2,0.67,0.25,6.04,76.3762615801693,0.0992,0.175,1.96714583835023E+030,1.18667344608522E+030,6.33412028648301E+029,4.78172902761347E+029,2.151,1.8832,0.876999999999999,0.949300000000001,0.876999999999999
210860152,0.811736,18.4657,17.1999,15.5757,14.8116,14.4542,13.121,12.499,12.242,57.04764813,20.77831625,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.6541,2.89,0.879,2.3883,0.879
210862226,0.822088,18.579,17.2667,15.696,14.968,14.5994,13.336,12.686,12.426,55.62381971,20.81091447,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.611,2.883,0.910000000000002,2.2987,0.910000000000002
210863683,0.70871,15.3941,14.1397,13.461,13.0485,12.8465,11.633,10.936,10.764,58.42931052,20.83329619,M1.5,3650,3.562,-1.57,9.97,-1.47,1.486,,1.03,1.17,0.978,2.089,4.12,0.607,0.228,0.105,,,,0.5,,,6.69,5.85,8.4,0.47,,0.46,M1.5V,,,,,,,,,,76.3762615801622,0.092,0.175,1.56655758642313E+030,8.40100463596628E+029,5.09650323030015E+029,3.38520490716622E+029,2.3456,1.9331,0.869,1.0912,0.869
210865020,0.490728,17.1326,15.8148,14.4019,13.7631,13.4439,12.119,11.47,11.239,55.30626229,20.85468816,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.3695,2.7307,0.880000000000001,2.0517,0.880000000000001
210866482,0.9307,18.7236,17.4672,15.8897,15.1595,14.7912,13.498,12.881,12.603,58.04682176,20.87584285,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5641,2.8339,0.895,2.3077,0.895
210866744,0.747707,12.001,11.435,11.18,11.041,10.984,9.995,9.609,9.519,56.58069297,20.87960424,K2,5040,3.702,-0.29,6.19,-0.47,0.884,1.035,0.326,0.581,0.482,0.92,2.132,0.427,0.098,0.031,-0.068,-0.037,-0.009,0.82,,,4.57,4.04,5.88,,,0.763,K2V,V  ,1.95,0.78,0.24,0.11,0.99,0.51,0.07,4.5,171.56145643174,0.1526,0.115,2.59084300171815E+031,2.78183408668796E+032,9.29518217182366E+030,7.36622115406896E+031,0.960000000000001,0.821,0.475999999999999,0.394000000000002,0.475999999999999
210871940,0.898879,18.9746,17.7204,16.1291,15.4102,15.0638,13.79,13.176,12.921,58.38158571,20.95731071,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.5644,2.8455,0.869,2.3102,0.869
210872505,0.760309,16.5854,15.3065,14.1843,13.6587,13.4093,12.185,11.519,11.295,55.14724197,20.96557759,M2.5,3500,3.544,-1.76,10.7,-1.68,1.522,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,0.44,,,7.01,6.27,8.94,0.57,,0.393,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.9459888433411,0.0786,0.145,8.91215555189887E+029,2.42287620280395E+029,2.89975291420029E+029,8.08937400878224E+028,2.9267,2.4011,0.890000000000001,1.6478,0.890000000000001
210872577,0.920992,18.4534,17.1546,15.6619,14.9495,14.6103,13.323,12.692,12.409,57.45999956,20.96653222,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5039,2.7915,0.914,2.2051,0.914
210873256,0.844267,20.1208,18.7805,17.0108,16.1936,15.8053,14.453,13.923,13.564,58.55634832,20.97717205,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.9272,3.11,0.888999999999999,2.5869,0.888999999999999
210875952,0.367677,17.2515,15.9321,14.8194,14.2901,14.0183,12.801,12.078,11.849,61.95455456,21.01811425,M2.5,3500,3.544,-1.76,10.7,-1.68,1.522,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,0.44,,,7.01,6.27,8.94,0.57,,0.393,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.9459888433411,0.0786,0.145,8.91215555189887E+029,2.42287620280395E+029,2.89975291420029E+029,8.08937400878224E+028,2.9614,2.4321,0.951999999999998,1.642,0.951999999999998
210876759,0.804155,19.4169,18.1419,16.4254,15.6324,15.2488,14.02,13.385,13.071,55.77397338,21.03023863,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.7845,2.9915,0.949,2.5095,0.949
210877263,0.886576,18.93,17.6682,15.9557,15.1594,14.7597,13.461,12.805,12.55,56.62394966,21.03786424,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.7706,2.9743,0.911,2.5088,0.911
210877423,0.641736,11.1423,10.6061,10.5367,10.3232,11.7721,9.44,9.074,8.967,59.05140273,21.04076786,K1,5170,3.713,-0.26,5.89,-0.36,0.847,0.976,0.301,0.491,0.457,0.879,2.021,0.402,0.094,0.03,-0.064,-0.038,-0.013,0.85,,,4.47,3.97,5.65,,,0.814,K1V,,,,,,,,,,120.138808604805,0.1628,0.1,3.18962810140597E+031,4.72423207991954E+032,9.77921386347374E+030,1.0877946363067E+032,0.819100000000001,0.605600000000001,0.472999999999999,0.2829,0.472999999999999
210878635,0.783125,18.4265,17.1547,15.6096,14.9107,14.5864,13.309,12.732,12.381,57.8193276,21.05955467,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5158,2.8169,0.928000000000001,2.244,0.928000000000001
210880560,0.935663,19.0143,17.7372,16.007,15.2124,14.8181,13.489,12.868,12.548,58.2432163,21.08875445,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.8019,3.0073,0.941000000000001,2.5248,0.941000000000001
210881103,0.765266,18.022,16.7831,15.356,14.6681,14.3504,13.111,12.442,12.247,56.541262,21.09780377,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.3539,2.666,0.864000000000001,2.115,0.864000000000001
210882573,0.872883,17.7322,16.5111,15.0921,14.4539,14.1322,12.938,12.308,12.016,59.09301661,21.12121198,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.2783,2.6401,0.922000000000002,2.0572,0.922000000000002
210886244,0.769315,17.5041,16.2704,14.8765,14.228,13.9108,12.654,12.016,11.761,58.98984473,21.177323,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5,0.558,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.291,M3.5V,,,,,,,,,,109.696551144313,0.0582,0.375,2.95712323773491E+029,2.53706284034917E+028,1.24695916365012E+029,2.19067615356642E+028,3.2761,2.6276,0.893000000000002,2.0424,0.893000000000002
210886447,0.869851,19.0174,17.8003,16.1569,15.3735,14.9949,13.702,13.147,12.82,56.87978557,21.18073304,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.6439,2.8605,0.882,2.4268,0.882
210887995,0.847997,19.5491,18.2852,16.5435,15.7168,15.3158,13.955,13.358,13.028,59.92781345,21.20405016,M4.5,3100,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.440037450959,0.0486,0.154999999999999,1.4956048424712E+029,6.37281372456024E+027,5.80173368171505E+028,2.27446161180303E+027,3.8323,3.0056,0.927,2.5684,0.927
210888723,0.830953,18.798,17.4381,15.8273,15.092,14.7228,13.45,12.791,12.487,55.20585438,21.21524803,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.706,2.9707,0.962999999999999,2.3461,0.962999999999999
210892321,0.968641,17.4129,16.1831,14.8366,14.2284,13.9382,12.743,12.09,11.844,59.88116884,21.27165478,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,3.1845,2.5763,0.899000000000001,1.9547,0.899000000000001
210892390,0.55785,15.8989,14.6387,13.7522,13.2984,13.0388,11.82,11.147,10.902,58.91467676,21.27264865,M1.5,3650,3.562,-1.57,9.97,-1.47,1.486,,1.03,1.17,0.978,2.089,4.12,0.607,0.228,0.105,,,,0.5,,,6.69,5.85,8.4,0.47,,0.46,M1.5V,,,,,,,,,,76.3762615801622,0.092,0.175,1.56655758642313E+030,8.40100463596628E+029,5.09650323030015E+029,3.38520490716622E+029,2.6005,2.1467,0.918000000000001,1.3403,0.918000000000001
210894583,0.663077,16.2744,15.0108,13.877,13.305,13.0324,11.808,11.162,10.921,57.46591491,21.30714985,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,2.9694,2.3974,0.887,1.7058,0.887
210901321,0.910087,18.725,17.4673,15.9175,15.1791,14.82,13.518,12.91,12.641,57.20099202,21.41110117,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5459,2.8075,0.877000000000002,2.2882,0.877000000000002
210905362,0.781325,10.043,9.781,9.692,9.656,9.644,8.797,8.604,8.526,55.60007287,21.47329099,G4,5680,3.754,-0.13,4.94,-0.04,0.674,0.757,0.222,0.175,0.374,0.733,1.621,0.307,0.075,0.028,-0.052,-0.041,-0.014,0.99,,,3.7,3.32,4.8,,,0.986,G4V,,,,,,,,,,30.5505046274121,0.1972,0.03,7.51679307629237E+031,3.34450018543135E+033,1.67521121401781E+031,2.31029888114704E+032,0.386999999999999,0.350999999999999,0.271000000000001,0.125,0.271000000000001
210907442,0.701354,17.0673,15.7894,14.5357,13.9602,13.6679,12.414,11.714,11.483,58.10249671,21.50614988,M2.5,3500,3.544,-1.76,10.7,-1.68,1.522,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,0.44,,,7.01,6.27,8.94,0.57,,0.393,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.9459888433411,0.0786,0.145,8.91215555189887E+029,2.42287620280395E+029,2.89975291420029E+029,8.08937400878224E+028,3.1071,2.5316,0.930999999999999,1.8292,0.930999999999999
210909923,0.726976,17.1303,15.8777,14.3766,13.6886,13.3503,12.061,11.458,11.164,59.01897298,21.544985,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.4417,2.7537,0.897,2.1891,0.897
