,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,824.8011461832151,180.919225636021,1.6464918136549102e+32,9.523563276027954e+31,,2.044999460725342e+31,452,0.5784154647503159
1,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,648.2933744890936,145.4517757593016,1.294141913941889e+32,7.550381147689358e+31,2.2857142857142856,4.463211782115331e+32,452,0.583427602981445
2,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,349.83028610583494,77.64384861793786,6.983412970595772e+31,4.057458971111469e+31,3.166666666666667,1.7384298265283365e+32,452,0.5810137518997845
3,2.53706284034917e+28,2.190676153566424e+28,3250.0,3500.0,3000.0,142.74357940109303,31.792352759380734,4.221103556844312e+31,2.720093195134413e+31,3.25,1.2150147650392163e+32,452,0.6444033316178457
4,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,487.86937102264136,985.984164124793,9.738988957992016e+31,2.3179445275181634e+32,2.0,1.8544997516919975e+32,452,2.380066901724958
5,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,223.4674612193104,49.44086102810671,4.460921850296628e+31,2.5887205899092423e+31,1.7999999999999998,1.1683326940214284e+32,452,0.5803106794478154
6,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,342.9055626968591,77.55038304686045,6.84517964663079e+31,4.005958219932256e+31,2.8,1.5734065758134492e+32,452,0.5852232412781155
7,2.4228762028039462e+29,8.089374008782233e+28,3500.0,3500.0,3000.0,87.8052357127343,95.22561136138657,7.825339189430341e+31,1.1032789491173903e+32,3.2,1.5680997921772557e+32,452,1.409880035114114
8,6.372813724560243e+27,2.274461611803033e+27,3100.0,3500.0,3000.0,1634.570831562299,318.98392165198925,2.4446720510467465e+32,1.4254083627555645e+32,2.428571428571429,5.825728699656425e+32,452,0.5830673125032214
9,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,225.2191738748957,349.5325335450676,4.495890043062162e+31,8.591792933254245e+31,,8.586447488860754e+31,452,1.9110327100887798
10,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,365.01863522309134,81.05687947042335,7.286607172012903e+31,4.234457776215137e+31,1.8333333333333335,2.6325632892469453e+32,452,0.581128867832926
11,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,194.49260203599732,39.67575292309794,3.8825173625253225e+31,2.186100976812762e+31,11.666666666666666,8.692968974820824e+31,452,0.563062768994508
12,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,100.75627700157767,31.42276904618572,2.011325833203845e+31,1.349470223648858e+31,,3.9168270212356233e+31,452,0.6709356591414549
13,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,90.99272006920333,30.919409326937053,1.8164228964693574e+31,1.269438884298147e+31,,3.9168270212356233e+31,452,0.6988674756113229
14,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,3500.0,3000.0,497.71146530750593,98.85704941361566,9.9354596799865e+31,5.5409042632687515e+31,14.666666666666668,2.1728850507718117e+32,452,0.557689773974935
15,2.0152606473591297e+27,1.1600772812766656e+27,3030.0,3500.0,3000.0,1053.6539670274815,232.34062099599336,8.451585881679782e+31,4.551653760706623e+31,4.25,1.9840290196793257e+32,452,0.5385561744776314
