,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,falsepos_corrected,ED_true,count_true,energ_true
0,-0.0056347498595502,0.0612953391901101,-105.67075326744437,194.92734473140663,830,833,833,833,1.5,,,,,,0.7272727272727273,6574.232148128211,1.5,5.859057953841288e+33
1,0.0458227735778933,0.04086354176979512,86.43214162263178,18.459363470990027,863,865,863,865,2.571428571428571,84.01868915654235,7.4878762702974445e+31,4.035524539290178e+31,2.4228762028039462e+29,8.089374008782233e+28,0.0,221.08457402312067,2.571428571428571,1.970340113819352e+32
2,0.04938292156063676,0.06129514105123235,130.9011845231242,38.33551708047461,1106,1109,1106,1109,3.5,142.19086552527105,1.2672271116203503e+32,7.834365354597156e+31,2.4228762028039462e+29,8.089374008782233e+28,0.0,367.8857584629011,3.5,3.2786551047496714e+32
3,0.0609088779978732,0.06129513569612755,117.54693989712759,29.451587094602388,1115,1118,1115,1118,2.2,121.18050306238834,1.0799794931493625e+32,6.219842284118513e+31,2.4228762028039462e+29,8.089374008782233e+28,0.0,279.1253841879757,2.2,2.4876088423667736e+32
4,0.024765320547361032,0.040863185065973084,56.11357214975492,12.406421978022875,1603,1605,1603,1605,9.0,70.89050219451644,6.317871827097589e+31,3.452498345291144e+31,2.4228762028039462e+29,8.089374008782233e+28,0.0,145.8860286009341,9.0,1.3001589797402925e+32
5,0.061768432924701834,0.06129490496095968,94.67722521471019,20.11246558415144,1711,1714,1711,1714,10.5,99.94092779979036,8.906890945528259e+31,4.790147991250159e+31,2.4228762028039462e+29,8.089374008782233e+28,0.0,211.3800721708245,10.5,1.8838520837579978e+32
6,0.016454766921460518,0.04086327589902794,40.932714150700285,9.645730819538096,2232,2234,2232,2234,4.6000000000000005,66.75788523444741,5.9495665752520825e+31,3.3378198897025028e+31,2.4228762028039462e+29,8.089374008782233e+28,0.0,208.14156062719343,4.6000000000000005,1.8549899651245374e+32
7,0.024045929304872232,0.0408633822662523,63.36312332987126,13.937975148546867,2274,2276,2274,2276,3.75,93.31923586113447,8.3167554597877e+31,4.535462504216567e+31,2.4228762028039462e+29,8.089374008782233e+28,0.0,201.1647835886578,3.75,1.7928118429061917e+32
8,0.08218156183512286,0.0408632651597145,228.24267321122286,49.86922631867801,2604,2606,2604,2606,4.25,277.3905819099772,2.472148014613462e+32,1.3445090173183746e+32,2.4228762028039462e+29,8.089374008782233e+28,0.125,190.8685853909575,4.25,1.701050522975106e+32
9,0.0909558821472428,0.04086381755041657,234.40713053398883,50.498803725338576,3321,3323,3321,3323,2.0,244.0937743987154,2.1754016866914623e+32,1.176462832740834e+32,2.4228762028039462e+29,8.089374008782233e+28,0.0,449.10549497309904,2.0,4.0024980304127955e+32
