,error,flux_gap,flux_model,time,tpf_flags,tpf_time
0,14.590822431215171,121510.39100765125,121510.39100765125,2306.6310758209656,0,2306.6310758209656
1,14.590822431215171,121510.39100765125,121510.39100765125,2306.6515078029115,0,2306.6515078029115
2,14.590822431215171,121510.39100765125,121510.39100765125,2306.671939883927,0,2306.671939883927
3,14.590822431215171,121510.39100765125,121510.39100765125,2306.692372064936,0,2306.6923720649356
4,14.590822431215171,121510.39100765125,121510.39100765125,2306.712804045019,0,2306.712804045019
5,14.590822431215171,121510.39100765125,121510.39100765125,2306.733236225104,0,2306.7332362251036
6,14.590822431215171,121510.39100765125,121510.39100765125,2306.753668204714,0,2306.753668204714
7,14.590822431215171,121510.39100765125,121510.39100765125,2306.7741002838666,0,2306.7741002838666
8,14.590822431215171,121510.39100765125,121510.39100765125,2306.794532462547,0,2306.794532462547
9,14.590822431215171,121510.39100765125,121510.39100765125,2306.814964440768,0,2306.8149644407677
10,14.590822431215171,121510.39100765125,121510.39100765125,2306.8353965185233,0,2306.8353965185233
11,14.590822431215171,121510.39100765125,121510.39100765125,2306.855828695814,0,2306.855828695814
12,14.590822431215171,121510.39100765125,121510.39100765125,2306.8762606726305,0,2306.8762606726305
13,14.590822431215171,121510.39100765125,121510.39100765125,2306.896692748989,0,2306.896692748989
14,14.590822431215171,121510.39100765125,121510.39100765125,2306.917124924876,0,2306.9171249248757
15,14.590822431215171,121510.39100765125,121510.39100765125,2306.937557000303,0,2306.937557000303
16,13.478962960225283,121510.39100765125,121510.39100765125,2306.9579890757304,0,2306.9579890757304
17,13.830876706167992,121510.39100765125,121510.39100765125,2306.9784211502265,0,2306.9784211502265
18,13.95984286647289,121510.39100765125,121510.39100765125,2306.9988532247157,0,2306.9988532247153
19,13.871284114103524,121510.39100765125,121510.39100765125,2307.01928529828,0,2307.01928529828
20,14.128152929153767,121510.39100765125,121510.39100765125,2307.039717371837,0,2307.0397173718375
21,14.012735401479919,121510.39100765125,121510.39100765125,2307.0601494449365,0,2307.0601494449365
22,14.649567903667553,121510.39100765125,121510.39100765125,2307.080581617105,0,2307.080581617105
23,14.294653656071038,121510.39100765125,121510.39100765125,2307.101013589272,0,2307.101013589272
24,14.056629880711943,121510.39100765125,121510.39100765125,2307.1214456609673,0,2307.121445660967
25,14.527939816809935,121510.39100765125,121510.39100765125,2307.141877832204,0,2307.141877832204
26,17.296822002958677,121510.39100765125,121510.39100765125,2307.162309802967,0,2307.162309802967
27,19.3699010126883,121510.39100765125,121510.39100765125,2307.182741973273,0,2307.1827419732726
28,21.808677643239676,121510.39100765125,121510.39100765125,2307.203174043112,0,2307.203174043112
29,21.80705299285473,121510.39100765125,121510.39100765125,2307.223606012485,0,2307.223606012485
30,21.499900114691247,121510.39100765125,121510.39100765125,2307.244038181387,0,2307.2440381813867
31,21.444876570624963,121510.39100765125,121510.39100765125,2307.2644702502953,0,2307.264470250295
32,22.109857546537587,121510.39100765125,121510.39100765125,2307.284902218264,0,2307.2849022182636
33,22.263783021454387,121504.13231531894,121510.39100765125,2307.3053343857755,0,2307.3053343857755
34,22.955933400997896,121518.99753221347,121510.39100765125,2307.3257664532866,0,2307.3257664532866
35,22.922909351292425,121504.83087396744,121510.39100765125,2307.3461984198652,0,2307.3461984198657
36,22.786916146234674,121529.99399959012,121510.39100765125,2307.366630586439,0,2307.366630586439
37,22.81778090180595,121516.65895635328,121510.39100765125,2307.387062652553,0,2307.387062652553
