,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,istart_no_sys_no_thruster.1,istop_no_sys_no_thruster.1,corrected,myed,myenerg,myenerg_err,L_bol,L_bol_err,falsepos_corrected,ED_true,count_true,energ_true
0,0.053704188777542114,0.2451815588574391,217.78468781689458,296.2158891114326,801,813,801,813,801,813,1.6666666666666667,291.12117897369797,8.608812033399074e+31,1.5339281607182466e+32,2.53706284034917e+28,2.190676153566424e+28,0.0,580.1533532139862,1.6666666666666667,1.7155849622389107e+32
1,0.01946895964123976,0.04086333955638111,56.27013626422667,20.014700317111693,1113,1115,1113,1115,1113,1115,8.0,81.48693556412383,2.4096691072847824e+31,1.8732029679061537e+31,2.53706284034917e+28,2.190676153566424e+28,0.0,123.72791425108714,8.0,3.6587869038836277e+31
2,0.04205928836054845,0.06129515362408711,101.84950504765308,26.754161456199352,1122,1125,1122,1125,1122,1125,6.0,119.43570874965758,3.5318610975895177e+31,2.417075351872604e+31,2.53706284034917e+28,2.190676153566424e+28,0.25,186.9902962206004,6.0,5.529533501848728e+31
3,0.013189744597221094,0.040863219059247065,40.421457793355714,8.792802893499186,1476,1478,1476,1478,1476,1478,2.5999999999999996,66.481810090559,1.9659490550547156e+31,1.256650184778177e+31,2.53706284034917e+28,2.190676153566424e+28,0.0,266.01775405436973,2.5999999999999996,7.866472821642282e+31
4,0.009700236872768614,0.04086339775676606,25.191794579402906,5.6045479982722615,1572,1574,1572,1574,1572,1574,18.0,58.67074447015963,1.7349662184791632e+31,1.117587075000822e+31,2.53706284034917e+28,2.190676153566424e+28,0.0,191.8897896875924,18.0,5.674417561692452e+31
5,0.031139117543788977,0.04086336249019951,78.32345274823504,16.54657722247856,1835,1837,1835,1837,1835,1837,3.25,101.81192181812989,3.010703998868423e+31,1.9055930546502263e+31,2.53706284034917e+28,2.190676153566424e+28,0.0,288.5541038046473,3.25,8.532900457044954e+31
6,0.02137544865480028,0.04086367459240137,48.064870197365906,11.764135754666633,3116,3118,3116,3118,3116,3118,18.0,57.483855472584466,1.699868448125749e+31,1.1328521579435791e+31,2.53706284034917e+28,2.190676153566424e+28,0.0,191.8897896875924,18.0,5.674417561692452e+31
7,-0.00021180661717765977,0.04086372198071332,-15.679191063272786,3.8144210012631015,3361,3363,3361,3363,3361,3363,18.0,42.32481255290419,1.2515968673296743e+31,8.322606086620794e+30,2.53706284034917e+28,2.190676153566424e+28,1.0,191.8897896875924,18.0,5.674417561692452e+31
